dist_id,year,unemployment
NY_11,2005,9.3
NY_12,2005,9.4
NY_13,2005,7
NY_14,2005,5.4
NY_15,2005,10.4
NY_16,2005,13.9
NY_17,2005,8.4
NY_18,2005,5.4
NY_19,2005,5.4
NY_20,2005,4.8
NY_21,2005,6.8
NY_22,2005,7.2
NY_23,2005,7.1
NY_24,2005,6.9
NY_25,2005,6.6
NY_26,2005,5.5
NY_27,2005,9.1
NY_28,2005,8.8
NY_29,2005,6.3
NC_1,2005,10.2
NC_2,2005,6.5
NC_3,2005,6.7
NC_4,2005,5.6
NC_5,2005,5.2
NC_6,2005,6.8
NC_7,2005,7.2
NC_8,2005,8.5
NC_9,2005,6.3
NC_10,2005,7.4
NC_11,2005,5.9
NC_12,2005,9.6
NC_13,2005,7.1
ND_1,2005,3.8
OH_1,2005,8
OH_2,2005,6.9
OH_3,2005,7.3
OH_4,2005,6.7
OH_5,2005,6.3
OH_6,2005,7.8
OH_7,2005,7.4
OH_8,2005,6.4
OH_9,2005,8.2
OH_10,2005,7.3
OH_11,2005,13.6
OH_12,2005,6.1
OH_13,2005,6.8
OH_14,2005,5.7
OH_15,2005,6.6
OH_16,2005,6.7
OH_17,2005,7.7
OH_18,2005,8.8
OK_1,2005,6
OK_2,2005,7.9
OK_3,2005,5.6
OK_4,2005,5.4
OK_5,2005,8.1
OR_1,2005,6.8
OR_2,2005,6.8
OR_3,2005,8.4
OR_4,2005,8
OR_5,2005,7.6
PA_1,2005,14.3
PA_2,2005,12.1
PA_3,2005,6.3
PA_4,2005,5.6
PA_5,2005,6.5
PA_6,2005,4.4
PA_7,2005,5.1
PA_8,2005,4.6
PA_9,2005,5.9
PA_10,2005,6.9
PA_11,2005,8.4
PA_12,2005,7.6
PA_13,2005,6.3
PA_14,2005,9
PA_15,2005,6.8
PA_16,2005,4.5
PA_17,2005,5.6
PA_18,2005,5.3
PA_19,2005,5.4
RI_1,2005,6.4
RI_2,2005,5.9
SC_1,2005,5.4
SC_2,2005,6.2
SC_3,2005,8.5
SC_4,2005,7.6
SC_5,2005,10.6
SC_6,2005,10.5
SD_1,2005,4.9
TN_1,2005,6.8
TN_2,2005,6.6
TN_3,2005,6.5
TN_4,2005,7.8
TN_5,2005,6.3
TN_6,2005,6.5
TN_7,2005,5.5
TN_8,2005,8.2
TN_9,2005,10.6
TX_1,2005,8.4
TX_2,2005,7.7
TX_3,2005,5.3
TX_4,2005,7.7
TX_5,2005,8.5
TX_6,2005,7.8
TX_7,2005,4.8
TX_8,2005,8.9
TX_9,2005,9.2
TX_10,2005,6.9
TX_11,2005,4.3
TX_12,2005,6.6
TX_13,2005,5.8
TX_14,2005,8.2
TX_15,2005,9.8
TX_16,2005,11.7
TX_17,2005,8.5
TX_18,2005,10.8
TX_19,2005,6.4
TX_20,2005,7.4
TX_21,2005,5
TX_22,2005,6.8
TX_23,2005,5.3
TX_24,2005,6.6
TX_25,2005,9.5
TX_26,2005,6.3
TX_27,2005,8
TX_28,2005,9.4
TX_29,2005,12
TX_30,2005,10.3
TX_31,2005,6.9
TX_32,2005,7.1
UT_1,2005,5.5
UT_2,2005,5.3
UT_3,2005,5.3
VT_1,2005,5.3
VA_1,2005,4.4
VA_2,2005,5.4
VA_3,2005,8.9
VA_4,2005,6.4
VA_5,2005,7
VA_6,2005,4.4
VA_7,2005,4.5
VA_8,2005,3.6
VA_9,2005,7
VA_10,2005,3.6
VA_11,2005,3.8
WA_1,2005,5.8
WA_2,2005,6
WA_3,2005,8.2
WA_4,2005,9.4
WA_5,2005,7.9
WA_6,2005,8
WA_7,2005,6.4
WA_8,2005,5.7
WA_9,2005,8
WV_1,2005,7.5
WV_2,2005,7.3
WV_3,2005,6.9
WI_1,2005,6
WI_2,2005,5.2
WI_3,2005,4.7
WI_4,2005,12.2
WI_5,2005,4.7
WI_6,2005,6
WI_7,2005,5.7
WI_8,2005,6.3
WY_1,2005,5.3
AL_1,2006,6.3
AL_2,2006,7.1
AL_3,2006,9.2
AL_4,2006,6.4
AL_5,2006,5.8
AL_6,2006,4
AL_7,2006,10.4
AK_1,2006,9.4
AZ_1,2006,5
AZ_2,2006,4.8
AZ_3,2006,4.1
AZ_4,2006,5.4
AZ_5,2006,3.8
AZ_6,2006,3.6
AZ_7,2006,8.4
AZ_8,2006,4.6
AR_1,2006,8.6
AR_2,2006,5.5
AR_3,2006,5.4
AR_4,2006,9
CA_1,2006,7.1
CA_2,2006,9.3
CA_3,2006,5.8
CA_4,2006,5.8
CA_5,2006,9
CA_6,2006,5.1
CA_7,2006,6.7
CA_8,2006,6.1
CA_9,2006,8.7
CA_10,2006,6.1
CA_11,2006,6.4
CA_12,2006,4.7
CA_13,2006,6.2
CA_14,2006,4.8
CA_15,2006,5.7
CA_16,2006,7.1
CA_17,2006,9.8
CA_18,2006,11.8
CA_19,2006,8.3
CA_20,2006,12.9
CA_21,2006,8.9
CA_22,2006,7.1
CA_23,2006,5.6
CA_24,2006,5
CA_25,2006,7.5
CA_26,2006,6
CA_27,2006,4.7
CA_28,2006,5.9
CA_29,2006,5.5
CA_30,2006,5.8
CA_31,2006,7.3
CA_32,2006,6.9
CA_33,2006,8.7
CA_34,2006,7.5
CA_35,2006,6.6
CA_36,2006,5.4
CA_37,2006,9.1
CA_38,2006,6.7
CA_39,2006,6.6
CA_40,2006,5
CA_41,2006,7.6
CA_42,2006,4.7
CA_43,2006,7
CA_44,2006,7.5
CA_45,2006,7.2
CA_46,2006,4.4
CA_47,2006,6
CA_48,2006,3.7
CA_49,2006,5.2
CA_50,2006,4.5
CA_51,2006,6.6
CA_52,2006,4.5
CA_53,2006,5.5
CO_1,2006,6.6
CO_2,2006,4.7
CO_3,2006,5.2
CO_4,2006,5.3
CO_5,2006,6.2
CO_6,2006,4.2
CO_7,2006,6.7
CT_1,2006,7
CT_2,2006,5.7
CT_3,2006,6.6
CT_4,2006,5.3
CT_5,2006,6.1
DE_1,2006,5.9
FL_1,2006,5.6
FL_2,2006,6.1
FL_3,2006,8.2
