bach_deg_num,black_pop,high_school_num,median_HH_income,median_age,mortgage_cost,total_pop,unemp_rate,white_pop,year,district_num,state_name
65122.0,48796.0,128334.0,24159.0,34.1,1146,761228.0,6.5,478038.0,2005,45,California
109426.0,12444.0,76232.0,34492.0,38.5,1425,652218.0,4.8,430303.0,2005,46,California
29350.0,12666.0,84756.0,19806.0,27.8,1168,634302.0,8.1,294524.0,2005,47,California
145503.0,9223.0,65960.0,41266.0,38.8,1715,673241.0,3.7,483637.0,2005,48,California
73811.0,25235.0,104806.0,26330.0,32.9,1338,706786.0,5.5,439326.0,2005,49,California
118927.0,10061.0,73502.0,32764.0,37.2,1592,688418.0,4.6,497127.0,2005,50,California
46802.0,43565.0,91688.0,21485.0,31.5,1046,664793.0,7.2,370005.0,2005,51,California
86973.0,38173.0,91490.0,31974.0,35.2,1433,675557.0,5.2,534162.0,2005,52,California
87954.0,39738.0,68725.0,27068.0,32.1,1115,566898.0,6.7,383740.0,2005,53,California
95879.0,58069.0,82493.0,26644.0,34.4,888,602608.0,6.8,439753.0,2005,1,Colorado
116348.0,7913.0,89087.0,30662.0,33.5,1221,658330.0,6.0,561217.0,2005,2,Colorado
77116.0,3209.0,128063.0,21653.0,37.0,721,643636.0,6.1,557143.0,2005,3,Colorado
90638.0,3113.0,109040.0,24384.0,33.4,934,658599.0,6.2,590808.0,2005,4,Colorado
82998.0,33625.0,102695.0,25553.0,34.5,956,641475.0,6.8,528883.0,2005,5,Colorado
147742.0,18178.0,81101.0,37360.0,36.1,1482,721347.0,4.5,642985.0,2005,6,Colorado
74760.0,41622.0,114194.0,28183.0,34.4,1006,636249.0,7.2,488265.0,2005,7,Colorado
86578.0,93328.0,138812.0,30937.0,39.6,989,677295.0,7.7,501664.0,2005,1,Connecticut
85436.0,17648.0,148604.0,32041.0,39.6,1102,674703.0,4.7,606874.0,2005,2,Connecticut
76656.0,83460.0,148471.0,30655.0,39.0,1113,668110.0,6.4,525793.0,2005,3,Connecticut
116243.0,76444.0,107680.0,33784.0,39.4,1551,676963.0,6.6,522665.0,2005,4,Connecticut
94186.0,38889.0,132134.0,29527.0,38.8,1127,697680.0,6.3,599085.0,2005,5,Connecticut
90574.0,163052.0,181831.0,27911.0,37.9,896,818587.0,5.6,602213.0,2005,1,Delaware
74565.0,292445.0,78164.0,31643.0,35.9,973,515118.0,9.1,166813.0,2005,1,District of Columbia
66245.0,87732.0,133252.0,22689.0,38.8,705,641007.0,6.7,511023.0,2005,1,Florida
67008.0,132682.0,123600.0,22091.0,37.0,710,648945.0,7.1,486981.0,2005,2,Florida
33680.0,317538.0,146153.0,19517.0,33.4,700,615663.0,9.0,244811.0,2005,3,Florida
80764.0,101348.0,130783.0,27715.0,36.5,854,665615.0,5.7,517175.0,2005,4,Florida
72878.0,37924.0,206353.0,20907.0,43.4,666,795671.0,6.2,710466.0,2005,5,Florida
69552.0,96612.0,157556.0,22568.0,38.7,744,717375.0,5.6,572005.0,2005,6,Florida
92161.0,70105.0,149061.0,24431.0,40.6,867,746836.0,4.7,630832.0,2005,7,Florida
90742.0,65081.0,133989.0,25306.0,36.9,927,724820.0,6.0,563787.0,2005,8,Florida
94172.0,33806.0,147408.0,26128.0,40.6,877,716257.0,4.8,632412.0,2005,9,Florida
80230.0,31317.0,138235.0,24763.0,45.0,799,630633.0,5.3,561347.0,2005,10,Florida
61718.0,185809.0,130855.0,21897.0,35.3,783,645231.0,7.3,398454.0,2005,11,Florida
57871.0,105260.0,169006.0,21947.0,37.1,763,722870.0,5.5,546357.0,2005,12,Florida
89300.0,32007.0,170930.0,23988.0,46.5,849,713669.0,5.1,638822.0,2005,13,Florida
97109.0,45159.0,182020.0,25628.0,44.9,936,769458.0,4.8,676739.0,2005,14,Florida
82129.0,66138.0,157713.0,22785.0,42.0,838,733821.0,6.1,607953.0,2005,15,Florida
69302.0,51104.0,175843.0,22685.0,44.1,828,728130.0,6.0,623927.0,2005,16,Florida
42535.0,394642.0,132292.0,17715.0,32.7,858,657770.0,11.6,207337.0,2005,17,Florida
80574.0,41519.0,112092.0,19342.0,41.2,899,621856.0,6.4,526561.0,2005,18,Florida
98482.0,64262.0,152691.0,25650.0,44.9,963,709119.0,5.7,578178.0,2005,19,Florida
103855.0,72029.0,125734.0,29082.0,39.3,1147,687558.0,5.8,548659.0,2005,20,Florida
78015.0,55344.0,114302.0,20737.0,38.9,1089,673259.0,6.4,553045.0,2005,21,Florida
114258.0,31599.0,119206.0,30609.0,44.6,1190,661636.0,4.7,574857.0,2005,22,Florida
43692.0,376709.0,143282.0,19728.0,32.7,880,668936.0,10.0,230233.0,2005,23,Florida
93934.0,51523.0,140018.0,24407.0,38.3,938,727351.0,5.1,600792.0,2005,24,Florida
76528.0,66379.0,127249.0,23355.0,33.9,1223,759025.0,6.6,598779.0,2005,25,Florida
52738.0,136901.0,138683.0,21566.0,34.6,638,640914.0,7.0,465592.0,2005,1,Georgia
37689.0,268894.0,127475.0,18685.0,34.2,546,603237.0,9.4,304684.0,2005,2,Georgia
32179.0,238348.0,143017.0,19269.0,35.4,555,604348.0,8.5,348410.0,2005,3,Georgia
90952.0,340666.0,96102.0,27540.0,34.2,990,626517.0,9.2,207550.0,2005,4,Georgia
112440.0,329344.0,86802.0,27170.0,34.1,943,616802.0,8.4,239963.0,2005,5,Georgia
173139.0,74240.0,70897.0,37459.0,36.6,1357,743367.0,3.8,585596.0,2005,6,Georgia
126742.0,100015.0,125111.0,32381.0,34.5,1215,794699.0,5.4,603000.0,2005,7,Georgia
83209.0,123585.0,149630.0,28545.0,35.4,963,742669.0,6.6,582653.0,2005,8,Georgia
57302.0,97435.0,155992.0,21943.0,35.8,699,702359.0,7.2,579380.0,2005,9,Georgia
62915.0,28822.0,155431.0,24026.0,34.6,765,748180.0,6.5,642538.0,2005,10,Georgia
52371.0,198910.0,141431.0,21143.0,33.6,745,644653.0,8.3,384194.0,2005,11,Georgia
43725.0,263497.0,122454.0,19119.0,32.0,688,609303.0,8.8,315633.0,2005,12,Georgia
67428.0,370739.0,156660.0,24860.0,31.5,922,744094.0,8.6,257727.0,2005,13,Georgia
89728.0,14970.0,117986.0,27225.0,41.0,1088,608588.0,3.8,110505.0,2005,1,Hawaii
66130.0,9269.0,135130.0,26291.0,35.9,1152,629570.0,5.0,198407.0,2005,2,Hawaii
72407.0,2687.0,146234.0,21445.0,35.8,779,735075.0,5.6,671680.0,2005,1,Idaho
67189.0,3244.0,113759.0,20513.0,33.4,653,660559.0,5.9,609599.0,2005,2,Idaho
48820.0,395584.0,120092.0,21939.0,35.4,849,633296.0,14.5,187754.0,2005,1,Illinois
58977.0,456478.0,123946.0,24245.0,34.3,930,671118.0,15.4,154565.0,2005,2,Illinois
59165.0,40282.0,128765.0,26134.0,35.5,953,646509.0,8.7,467850.0,2005,3,Illinois
41322.0,31849.0,96571.0,19162.0,28.6,899,647949.0,9.3,228534.0,2005,4,Illinois
98671.0,16392.0,99132.0,28035.0,36.1,1085,611050.0,6.9,447764.0,2005,5,Illinois
95461.0,18813.0,111907.0,32321.0,37.0,1281,650482.0,5.7,524837.0,2005,6,Illinois
78316.0,335000.0,78655.0,28017.0,34.1,1053,599066.0,10.6,202991.0,2005,7,Illinois
109293.0,28858.0,116549.0,32982.0,35.5,1340,716099.0,5.9,589816.0,2005,8,Illinois
109214.0,57869.0,75728.0,30583.0,39.9,1013,579451.0,6.6,399246.0,2005,9,Illinois
126806.0,27889.0,71570.0,36326.0,38.6,1419,646395.0,5.4,542595.0,2005,10,Illinois
62715.0,51351.0,156048.0,26065.0,34.7,881,696088.0,7.5,594042.0,2005,11,Illinois
52719.0,101653.0,129141.0,21324.0,36.2,601,629650.0,9.8,504924.0,2005,12,Illinois
139272.0,43825.0,98731.0,36382.0,35.8,1463,748189.0,5.6,603155.0,2005,13,Illinois
92241.0,34342.0,124631.0,27646.0,32.7,1222,752346.0,6.0,637957.0,2005,14,Illinois
67188.0,31286.0,139543.0,22345.0,35.7,644,634699.0,7.3,565713.0,2005,15,Illinois
69641.0,38857.0,158912.0,26769.0,36.4,911,702138.0,7.3,609209.0,2005,16,Illinois
44941.0,42445.0,155290.0,20607.0,38.8,551,606797.0,7.9,542228.0,2005,17,Illinois
67821.0,37724.0,148890.0,25011.0,38.7,665,635587.0,6.0,579153.0,2005,18,Illinois
57528.0,13116.0,148930.0,22985.0,39.4,594,633442.0,6.2,603699.0,2005,19,Illinois
54587.0,129624.0,166064.0,23923.0,36.6,797,684232.0,8.1,490482.0,2005,1,Indiana
45129.0,52680.0,167946.0,23381.0,36.1,710,660967.0,7.4,566821.0,2005,2,Indiana
56760.0,39015.0,161029.0,25110.0,35.2,712,690345.0,6.4,600965.0,2005,3,Indiana
73623.0,16000.0,162661.0,25736.0,34.9,838,703149.0,6.1,658922.0,2005,4,Indiana
107828.0,29639.0,151721.0,29931.0,35.9,891,756005.0,5.2,694864.0,2005,5,Indiana
46320.0,23427.0,183048.0,21831.0,38.3,652,651278.0,7.2,612187.0,2005,6,Indiana
56544.0,195688.0,127298.0,22250.0,34.5,709,624585.0,10.6,374641.0,2005,7,Indiana
48157.0,20796.0,169600.0,21835.0,38.0,617,650429.0,5.8,613909.0,2005,8,Indiana
45603.0,15508.0,178975.0,22496.0,36.2,658,672382.0,6.2,634813.0,2005,9,Indiana
59182.0,21504.0,142619.0,23045.0,39.0,621,564773.0,5.4,523240.0,2005,1,Iowa
69354.0,12932.0,125214.0,23480.0,37.6,681,575799.0,5.9,535258.0,2005,2,Iowa
76682.0,20236.0,136543.0,27559.0,37.3,761,596535.0,5.0,543281.0,2005,3,Iowa
61789.0,4619.0,136177.0,23492.0,39.2,607,563115.0,4.2,538786.0,2005,4,Iowa
50157.0,3536.0,151888.0,22484.0,40.4,572,562319.0,5.1,535313.0,2005,5,Iowa
56388.0,9553.0,139994.0,20923.0,38.7,522,630963.0,4.5,557423.0,2005,1,Kansas
63699.0,26626.0,144101.0,22201.0,36.0,646,647206.0,5.4,576329.0,2005,2,Kansas
131982.0,66772.0,97372.0,29163.0,34.8,941,712144.0,5.2,581047.0,2005,3,Kansas
68287.0,44504.0,139243.0,23265.0,36.0,665,672303.0,7.0,554683.0,2005,4,Kansas
37835.0,45443.0,170746.0,18491.0,39.1,485,651474.0,7.4,590361.0,2005,1,Kentucky
45815.0,35430.0,173001.0,20839.0,36.8,591,695283.0,7.1,637898.0,2005,2,Kentucky
74683.0,133658.0,129083.0,24850.0,38.6,732,668451.0,7.7,502325.0,2005,3,Kentucky
55604.0,18230.0,168797.0,23248.0,36.8,690,698326.0,6.9,663389.0,2005,4,Kentucky
27104.0,3706.0,161902.0,14521.0,37.8,375,668444.0,10.2,654789.0,2005,5,Kentucky
71443.0,55545.0,137964.0,22360.0,36.2,682,676655.0,6.6,597928.0,2005,6,Kentucky
80489.0,97728.0,130489.0,22607.0,37.6,735,656817.0,7.5,524680.0,2005,1,Louisiana
55312.0,386251.0,116162.0,18358.0,34.5,683,598453.0,13.3,181940.0,2005,2,Louisiana
37360.0,165235.0,167951.0,19478.0,35.5,549,641737.0,8.4,450028.0,2005,3,Louisiana
48921.0,209765.0,147399.0,19332.0,35.4,518,624942.0,9.0,391943.0,2005,4,Louisiana
42959.0,197526.0,140931.0,17001.0,35.9,504,599698.0,10.0,387958.0,2005,5,Louisiana
63258.0,209469.0,133825.0,22782.0,34.0,693,635075.0,7.1,404044.0,2005,6,Louisiana
46789.0,159711.0,140872.0,17963.0,35.2,512,633025.0,8.2,454670.0,2005,7,Louisiana
95347.0,5882.0,146871.0,25310.0,41.1,861,651227.0,4.3,627055.0,2005,1,Maine
57397.0,2906.0,178434.0,20189.0,41.3,582,632446.0,7.3,612470.0,2005,2,Maine
87924.0,73458.0,147730.0,29635.0,39.7,999,699018.0,4.5,596729.0,2005,1,Maryland
64671.0,220827.0,145919.0,27781.0,36.2,916,677610.0,6.5,412361.0,2005,2,Maryland
102664.0,112448.0,100296.0,33724.0,36.4,1074,664785.0,4.6,495777.0,2005,3,Maryland
82181.0,393095.0,107703.0,34416.0,35.4,1302,684109.0,6.8,191970.0,2005,4,Maryland
85599.0,252146.0,130145.0,36691.0,36.0,1349,719639.0,4.4,399468.0,2005,5,Maryland
82583.0,30964.0,152526.0,30003.0,38.3,1004,700023.0,4.5,637453.0,2005,6,Maryland
67089.0,366441.0,107209.0,24473.0,37.5,858,624405.0,10.0,213397.0,2005,7,Maryland
119060.0,115535.0,63567.0,37331.0,37.9,1409,691729.0,5.1,409334.0,2005,8,Maryland
72834.0,11218.0,128645.0,25864.0,39.2,845,611889.0,6.9,570828.0,2005,1,Massachusetts
71349.0,38985.0,137817.0,25925.0,37.7,887,639125.0,7.2,533183.0,2005,2,Massachusetts
93599.0,24010.0,122780.0,30115.0,37.7,1107,640062.0,6.0,563133.0,2005,3,Massachusetts
88855.0,15674.0,102058.0,31796.0,39.1,1159,613443.0,6.4,548629.0,2005,4,Massachusetts
84034.0,14557.0,114685.0,31440.0,37.2,1215,641884.0,5.0,506271.0,2005,5,Massachusetts
100757.0,16385.0,116306.0,31760.0,40.5,1254,626120.0,5.1,568069.0,2005,6,Massachusetts
100543.0,30454.0,111573.0,31349.0,39.7,1269,595119.0,6.2,485893.0,2005,7,Massachusetts
84609.0,120696.0,85499.0,26496.0,32.9,1232,555569.0,8.2,313595.0,2005,8,Massachusetts
92785.0,81210.0,111875.0,31375.0,37.4,1339,610988.0,6.6,467647.0,2005,9,Massachusetts
106606.0,9906.0,132828.0,31507.0,41.8,1254,648661.0,6.4,599178.0,2005,10,Massachusetts
53803.0,846.0,173627.0,19746.0,42.2,566,646075.0,8.5,615579.0,2005,1,Michigan
61343.0,27214.0,148398.0,23325.0,36.1,766,671485.0,8.2,605534.0,2005,2,Michigan
72812.0,54700.0,123312.0,24132.0,34.4,808,672650.0,7.7,565408.0,2005,3,Michigan
56508.0,10635.0,155651.0,21256.0,38.4,694,660152.0,8.5,620199.0,2005,4,Michigan
49212.0,118629.0,145255.0,22598.0,36.4,688,643726.0,9.1,495730.0,2005,5,Michigan
59890.0,56467.0,138997.0,21920.0,37.1,701,653621.0,8.9,566401.0,2005,6,Michigan
61860.0,32253.0,148770.0,24628.0,37.8,782,664267.0,7.9,600997.0,2005,7,Michigan
86312.0,32671.0,113274.0,28376.0,35.7,990,683207.0,6.7,613278.0,2005,8,Michigan
118132.0,64965.0,85028.0,35035.0,39.7,1179,659970.0,6.2,525819.0,2005,9,Michigan
59932.0,15243.0,160104.0,27184.0,37.8,952,710286.0,8.7,667805.0,2005,10,Michigan
96817.0,50653.0,122103.0,32566.0,37.8,1095,700201.0,6.4,590535.0,2005,11,Michigan
63632.0,105937.0,140371.0,26690.0,37.7,870,639254.0,8.7,498814.0,2005,12,Michigan
32968.0,354493.0,118794.0,17919.0,33.0,749,593816.0,17.3,188092.0,2005,13,Michigan
35968.0,373173.0,131958.0,21301.0,35.3,795,610728.0,17.0,212956.0,2005,14,Michigan
68124.0,81131.0,120817.0,26447.0,34.5,929,656145.0,8.0,523461.0,2005,15,Michigan
65760.0,7656.0,130314.0,24414.0,38.1,672,604740.0,4.6,569401.0,2005,1,Minnesota
108108.0,18374.0,108176.0,33613.0,34.9,1254,689400.0,4.7,622651.0,2005,2,Minnesota
128718.0,38217.0,89342.0,34821.0,39.0,1243,634853.0,4.3,539610.0,2005,3,Minnesota
86990.0,47771.0,96885.0,28725.0,36.4,950,576259.0,6.6,453799.0,2005,4,Minnesota
101416.0,76578.0,85988.0,27102.0,34.2,905,567479.0,7.9,400628.0,2005,5,Minnesota
88971.0,11377.0,125247.0,31112.0,34.4,1166,691691.0,4.7,645749.0,2005,6,Minnesota
52858.0,2584.0,137216.0,21557.0,39.0,587,600193.0,5.3,563350.0,2005,7,Minnesota
57661.0,2603.0,150384.0,21674.0,39.7,678,625233.0,6.6,594852.0,2005,8,Minnesota
49510.0,195395.0,166901.0,18824.0,35.9,555,732298.0,8.0,520078.0,2005,1,Mississippi
50000.0,432091.0,117668.0,16298.0,33.9,551,663479.0,12.8,216655.0,2005,2,Mississippi
66708.0,240403.0,135319.0,19655.0,36.2,567,709704.0,7.7,449688.0,2005,3,Mississippi
52133.0,162186.0,155673.0,19307.0,36.0,578,718675.0,9.1,530023.0,2005,4,Mississippi
55758.0,314002.0,112895.0,23236.0,36.5,745,583541.0,9.8,245043.0,2005,1,Missouri
116777.0,18728.0,102855.0,32040.0,38.5,1083,673242.0,4.1,622957.0,2005,2,Missouri
69729.0,61403.0,121338.0,26108.0,37.6,759,621291.0,6.5,534953.0,2005,3,Missouri
45106.0,14184.0,170316.0,20277.0,38.1,576,626263.0,6.8,589006.0,2005,4,Missouri
71374.0,147808.0,124016.0,24998.0,36.3,788,620470.0,7.7,429018.0,2005,5,Missouri
69567.0,18564.0,150294.0,24515.0,38.0,687,629878.0,5.9,585494.0,2005,6,Missouri
55051.0,8769.0,154764.0,20181.0,36.8,597,643983.0,5.6,604330.0,2005,7,Missouri
31907.0,25621.0,169508.0,16766.0,38.4,459,620501.0,8.4,576379.0,2005,8,Missouri
57480.0,18899.0,143765.0,21756.0,36.5,616,612741.0,6.1,573147.0,2005,9,Missouri
114067.0,4135.0,197873.0,20785.0,40.2,625,910651.0,5.3,824721.0,2005,1,Montana
69572.0,8400.0,116806.0,24034.0,35.8,702,572745.0,4.4,529147.0,2005,1,Nebraska
90872.0,57159.0,89696.0,26397.0,33.6,861,587927.0,6.5,482646.0,2005,2,Nebraska
48420.0,2830.0,133636.0,20618.0,39.9,533,546304.0,3.8,517678.0,2005,3,Nebraska
52972.0,96600.0,153248.0,25167.0,33.2,966,752152.0,6.3,532275.0,2005,1,Nevada
74574.0,18103.0,152305.0,26609.0,36.5,930,754420.0,5.1,625268.0,2005,2,Nevada
90807.0,56151.0,173119.0,28872.0,36.0,1151,874709.0,6.0,653992.0,2005,3,Nevada
87193.0,7171.0,136562.0,29653.0,39.8,1136,646143.0,4.7,615984.0,2005,1,New Hampshire
87358.0,3285.0,129060.0,27416.0,39.2,1008,626343.0,5.0,598632.0,2005,2,New Hampshire
73943.0,115503.0,151821.0,26617.0,36.4,1018,650916.0,7.2,455150.0,2005,1,New Jersey
68017.0,84073.0,154744.0,26815.0,38.2,1015,656659.0,7.2,498883.0,2005,2,New Jersey
97189.0,60999.0,157866.0,31075.0,40.2,1236,684357.0,6.1,575999.0,2005,3,New Jersey
88198.0,55031.0,147926.0,30129.0,38.8,1205,675532.0,5.1,563204.0,2005,4,New Jersey
116518.0,10770.0,118327.0,38307.0,40.5,1595,661926.0,4.0,571211.0,2005,5,New Jersey
