,Location,Incumbent,Inc_party,Inc_first_elected,Candidate,Cand_party,state_name,district_num,state_abb,dist_id,Cand_party_abb,is_incumbent,years_in_congress,District,Representative,Assumed office,Born,Female,Black,Hispanic,Asian,Age
37,Arkansas 4,Bruce Westerman,Republican,2014.0,Hayden Shamel,Democratic,Arkansas,4,AR,AR_4,D,0,0,,,,,,,,,
38,Arkansas 4,Bruce Westerman,Republican,2014.0,Bruce Westerman,Republican,Arkansas,4,AR,AR_4,R,1,4,Arkansas 4,Bruce Westerman,2015.0,1967.0,0.0,0.0,0.0,0.0,51.0
39,California 1,Doug LaMalfa,Republican,2012.0,Audrey Denney,Democratic,California,1,CA,CA_1,D,0,0,,,,,,,,,
40,California 1,Doug LaMalfa,Republican,2012.0,Doug LaMalfa,Republican,California,1,CA,CA_1,R,1,6,California 1,Doug LaMalfa,2013.0,1960.0,0.0,0.0,0.0,0.0,58.0
41,California 2,Jared Huffman,Democratic,2012.0,Jared Huffman,Democratic,California,2,CA,CA_2,D,1,6,California 2,Jared Huffman,2013.0,1964.0,0.0,0.0,0.0,0.0,54.0
42,California 2,Jared Huffman,Democratic,2012.0,Dale Mensing,Republican,California,2,CA,CA_2,R,0,0,,,,,,,,,
43,California 3,John Garamendi,Democratic,2009.0,John Garamendi,Democratic,California,3,CA,CA_3,D,1,9,California 3,John Garamendi,2009.0,1945.0,0.0,0.0,0.0,0.0,73.0
44,California 3,John Garamendi,Democratic,2009.0,Charlie Schaupp,Republican,California,3,CA,CA_3,R,0,0,,,,,,,,,
45,California 4,Tom McClintock,Republican,2008.0,Tom McClintock,Republican,California,4,CA,CA_4,R,1,10,California 4,Tom McClintock,2009.0,1956.0,0.0,0.0,0.0,0.0,62.0
46,California 4,Tom McClintock,Republican,2008.0,Jessica Morse,Democratic,California,4,CA,CA_4,D,0,0,,,,,,,,,
47,California 5,Mike Thompson,Democratic,1998.0,Mike Thompson,Democratic,California,5,CA,CA_5,D,1,20,California 5,Mike Thompson,1999.0,1951.0,0.0,0.0,0.0,0.0,67.0
48,California 6,Doris Matsui,Democratic,2005.0,Jrmar Jefferson,Democratic,California,6,CA,CA_6,D,0,0,,,,,,,,,
49,California 6,Doris Matsui,Democratic,2005.0,Doris Matsui,Democratic,California,6,CA,CA_6,D,1,13,California 6,Doris Matsui,2005.0,1944.0,1.0,0.0,0.0,1.0,74.0
50,California 7,Ami Bera,Democratic,2012.0,Ami Bera,Democratic,California,7,CA,CA_7,D,1,6,California 7,Ami Bera,2013.0,1965.0,0.0,0.0,0.0,1.0,53.0
51,California 7,Ami Bera,Democratic,2012.0,Andrew Grant,Republican,California,7,CA,CA_7,R,0,0,,,,,,,,,
52,California 8,Paul Cook,Republican,2012.0,Paul Cook,Republican,California,8,CA,CA_8,R,1,6,California 8,Paul Cook,2013.0,1943.0,0.0,0.0,0.0,0.0,75.0
53,California 8,Paul Cook,Republican,2012.0,Tim Donnelly,Republican,California,8,CA,CA_8,R,0,0,,,,,,,,,
54,California 9,Jerry McNerney,Democratic,2006.0,Marla Livengood,Republican,California,9,CA,CA_9,R,0,0,,,,,,,,,
55,California 9,Jerry McNerney,Democratic,2006.0,Jerry McNerney,Democratic,California,9,CA,CA_9,D,1,12,California 9,Jerry McNerney,2007.0,1951.0,0.0,0.0,0.0,0.0,67.0
56,California 10,Jeff Denham,Republican,2010.0,Jeff Denham,Republican,California,10,CA,CA_10,R,1,8,California 10,Jeff Denham,2011.0,1967.0,0.0,0.0,0.0,0.0,51.0
57,California 10,Jeff Denham,Republican,2010.0,Josh Harder,Democratic,California,10,CA,CA_10,D,0,0,,,,,,,,,
58,California 11,Mark DeSaulnier,Democratic,2014.0,Mark DeSaulnier,Democratic,California,11,CA,CA_11,D,1,4,California 11,Mark DeSaulnier,2015.0,1952.0,0.0,0.0,0.0,0.0,66.0
59,California 11,Mark DeSaulnier,Democratic,2014.0,John Fitzgerald,Republican,California,11,CA,CA_11,R,0,0,,,,,,,,,
60,California 12,Nancy Pelosi,Democratic,1987.0,Nancy Pelosi,Democratic,California,12,CA,CA_12,D,1,31,California 12,Nancy Pelosi,1987.0,1940.0,1.0,0.0,0.0,0.0,78.0
61,California 12,Nancy Pelosi,Democratic,1987.0,Lisa Remmer,Republican,California,12,CA,CA_12,R,0,0,,,,,,,,,
62,California 13,Barbara Lee,Democratic,1998.0,Barbara Lee,Democratic,California,13,CA,CA_13,D,1,20,California 13,Barbara Lee,1998.0,1946.0,1.0,1.0,0.0,0.0,72.0
63,California 14,Jackie Speier,Democratic,2008.0,Cristina Osmeña,Republican,California,14,CA,CA_14,R,0,0,,,,,,,,,
64,California 14,Jackie Speier,Democratic,2008.0,Jackie Speier,Democratic,California,14,CA,CA_14,D,1,10,California 14,Jackie Speier,2008.0,1950.0,1.0,0.0,0.0,0.0,68.0
65,California 15,Eric Swalwell,Democratic,2012.0,Rudy Peters,Republican,California,15,CA,CA_15,R,0,0,,,,,,,,,
66,California 15,Eric Swalwell,Democratic,2012.0,Eric Swalwell,Democratic,California,15,CA,CA_15,D,1,6,California 15,Eric Swalwell,2013.0,1980.0,0.0,0.0,0.0,0.0,38.0
67,California 16,Jim Costa,Democratic,2004.0,Jim Costa,Democratic,California,16,CA,CA_16,D,1,14,California 16,Jim Costa,2005.0,1952.0,0.0,0.0,0.0,0.0,66.0
68,California 16,Jim Costa,Democratic,2004.0,Elizabeth Heng,Republican,California,16,CA,CA_16,R,0,0,,,,,,,,,
69,California 17,Ro Khanna,Democratic,2016.0,Ron Cohen,Republican,California,17,CA,CA_17,R,0,0,,,,,,,,,
70,California 17,Ro Khanna,Democratic,2016.0,Ro Khanna,Democratic,California,17,CA,CA_17,D,1,2,California 17,Ro Khanna,2017.0,1976.0,0.0,0.0,0.0,1.0,42.0
71,California 18,Anna Eshoo,Democratic,1992.0,Anna Eshoo,Democratic,California,18,CA,CA_18,D,1,26,California 18,Anna Eshoo,1993.0,1942.0,1.0,0.0,0.0,0.0,76.0
72,California 18,Anna Eshoo,Democratic,1992.0,Christine Russell,Republican,California,18,CA,CA_18,R,0,0,,,,,,,,,
73,California 19,Zoe Lofgren,Democratic,1994.0,Justin Aguilera,Republican,California,19,CA,CA_19,R,0,0,,,,,,,,,
74,California 19,Zoe Lofgren,Democratic,1994.0,Zoe Lofgren,Democratic,California,19,CA,CA_19,D,1,24,California 19,Zoe Lofgren,1995.0,1947.0,1.0,0.0,0.0,0.0,71.0
75,California 20,Jimmy Panetta,Democratic,2016.0,Jimmy Panetta,Democratic,California,20,CA,CA_20,D,1,2,California 20,Jimmy Panetta,2017.0,1969.0,0.0,0.0,0.0,0.0,49.0
76,California 21,David Valadao,Republican,2012.0,T.J. Cox,Democratic,California,21,CA,CA_21,D,0,0,,,,,,,,,
77,California 21,David Valadao,Republican,2012.0,David Valadao,Republican,California,21,CA,CA_21,R,1,6,California 21,David Valadao,2013.0,1977.0,0.0,0.0,0.0,0.0,41.0
78,California 22,Devin Nunes,Republican,2002.0,Andrew Janz,Democratic,California,22,CA,CA_22,D,0,0,,,,,,,,,
79,California 22,Devin Nunes,Republican,2002.0,Devin Nunes,Republican,California,22,CA,CA_22,R,1,16,California 22,Devin Nunes,2003.0,1973.0,0.0,0.0,0.0,0.0,45.0
80,California 23,Kevin McCarthy,Republican,2006.0,Tatiana Matta,Democratic,California,23,CA,CA_23,D,0,0,,,,,,,,,
81,California 23,Kevin McCarthy,Republican,2006.0,Kevin McCarthy,Republican,California,23,CA,CA_23,R,1,12,California 23,Kevin McCarthy,2007.0,1965.0,0.0,0.0,0.0,0.0,53.0
82,California 24,Salud Carbajal,Democratic,2016.0,Salud Carbajal,Democratic,California,24,CA,CA_24,D,1,2,California 24,Salud Carbajal,2017.0,1964.0,0.0,0.0,1.0,0.0,54.0
83,California 24,Salud Carbajal,Democratic,2016.0,Justin Fareed,Republican,California,24,CA,CA_24,R,0,0,,,,,,,,,
84,California 25,Steve Knight,Republican,2014.0,Katie Hill,Democratic,California,25,CA,CA_25,D,0,0,,,,,,,,,
85,California 25,Steve Knight,Republican,2014.0,Steve Knight,Republican,California,25,CA,CA_25,R,1,4,California 25,Steve Knight,2015.0,1966.0,0.0,0.0,0.0,0.0,52.0
86,California 26,Julia Brownley,Democratic,2012.0,Julia Brownley,Democratic,California,26,CA,CA_26,D,1,6,California 26,Julia Brownley,2013.0,1952.0,1.0,0.0,0.0,0.0,66.0
87,California 26,Julia Brownley,Democratic,2012.0,Antonio Sabàto Jr.,Republican,California,26,CA,CA_26,R,0,0,,,,,,,,,
88,California 27,Judy Chu,Democratic,2009.0,Judy Chu,Democratic,California,27,CA,CA_27,D,1,9,California 27,Judy Chu,2009.0,1953.0,1.0,0.0,0.0,1.0,65.0
89,California 27,Judy Chu,Democratic,2009.0,Bryan Witt,Democratic,California,27,CA,CA_27,D,0,0,,,,,,,,,
90,California 28,Adam Schiff,Democratic,2000.0,Johnny Nalbandian,Republican,California,28,CA,CA_28,R,0,0,,,,,,,,,
91,California 28,Adam Schiff,Democratic,2000.0,Adam Schiff,Democratic,California,28,CA,CA_28,D,1,18,California 28,Adam Schiff,2001.0,1960.0,0.0,0.0,0.0,0.0,58.0
92,California 29,Tony Cárdenas,Democratic,2012.0,Benito Bernal,Republican,California,29,CA,CA_29,R,0,0,,,,,,,,,
93,California 29,Tony Cárdenas,Democratic,2012.0,Tony Cárdenas,Democratic,California,29,CA,CA_29,D,1,6,California 29,Tony Cárdenas,2013.0,1963.0,0.0,0.0,1.0,0.0,55.0
94,California 30,Brad Sherman,Democratic,1996.0,Mark Reed,Republican,California,30,CA,CA_30,R,0,0,,,,,,,,,
95,California 30,Brad Sherman,Democratic,1996.0,Brad Sherman,Democratic,California,30,CA,CA_30,D,1,22,California 30,Brad Sherman,1997.0,1954.0,0.0,0.0,0.0,0.0,64.0
96,California 31,Pete Aguilar,Democratic,2014.0,Pete Aguilar,Democratic,California,31,CA,CA_31,D,1,4,California 31,Pete Aguilar,2015.0,1979.0,0.0,0.0,1.0,0.0,39.0
97,California 31,Pete Aguilar,Democratic,2014.0,Sean Flynn,Republican,California,31,CA,CA_31,R,0,0,,,,,,,,,
98,California 32,Grace Napolitano,Democratic,1998.0,Grace Napolitano,Democratic,California,32,CA,CA_32,D,1,20,California 32,Grace Napolitano,1999.0,1936.0,1.0,0.0,1.0,0.0,82.0
99,California 32,Grace Napolitano,Democratic,1998.0,Joshua Scott,Republican,California,32,CA,CA_32,R,0,0,,,,,,,,,
100,California 33,Ted Lieu,Democratic,2014.0,Ted Lieu,Democratic,California,33,CA,CA_33,D,1,4,California 33,Ted Lieu,2015.0,1969.0,0.0,0.0,0.0,1.0,49.0
101,California 33,Ted Lieu,Democratic,2014.0,Kenneth Wright,Republican,California,33,CA,CA_33,R,0,0,,,,,,,,,
102,California 34,Jimmy Gomez,Democratic,2017.0,Jimmy Gomez,Democratic,California,34,CA,CA_34,D,1,1,California 34,Jimmy Gomez,2017.0,1974.0,0.0,0.0,1.0,0.0,44.0
103,California 35,Norma Torres,Democratic,2014.0,Norma Torres,Democratic,California,35,CA,CA_35,D,1,4,California 35,Norma Torres,2015.0,1965.0,1.0,0.0,1.0,0.0,53.0
104,California 35,Norma Torres,Democratic,2014.0,Christian Valiente,Republican,California,35,CA,CA_35,R,0,0,,,,,,,,,
105,California 36,Raul Ruiz,Democratic,2012.0,Kimberlin Brown Pelzer,Republican,California,36,CA,CA_36,R,0,0,,,,,,,,,
106,California 36,Raul Ruiz,Democratic,2012.0,Raul Ruiz,Democratic,California,36,CA,CA_36,D,1,6,California 36,Raul Ruiz,2013.0,1972.0,0.0,0.0,1.0,0.0,46.0
107,California 37,Karen Bass,Democratic,2010.0,Karen Bass,Democratic,California,37,CA,CA_37,D,1,8,California 37,Karen Bass,2011.0,1953.0,1.0,1.0,0.0,0.0,65.0
108,California 37,Karen Bass,Democratic,2010.0,Ron Bassilian,Republican,California,37,CA,CA_37,R,0,0,,,,,,,,,
109,California 38,Linda Sánchez,Democratic,2002.0,Ryan Downing,Republican,California,38,CA,CA_38,R,0,0,,,,,,,,,
110,California 38,Linda Sánchez,Democratic,2002.0,Linda Sánchez,Democratic,California,38,CA,CA_38,D,1,16,California 38,Linda Sánchez,2003.0,1969.0,1.0,0.0,1.0,0.0,49.0
111,California 39,Ed Royce,Republican,1992.0,Gil Cisneros,Democratic,California,39,CA,CA_39,D,0,0,,,,,,,,,
112,California 39,Ed Royce,Republican,1992.0,Young Kim,Republican,California,39,CA,CA_39,R,0,0,,,,,,,,,
113,California 40,Lucille Roybal-Allard,Democratic,1992.0,Lucille Roybal-Allard,Democratic,California,40,CA,CA_40,D,1,26,California 40,Lucille Roybal-Allard,1993.0,1941.0,1.0,0.0,1.0,0.0,77.0
114,California 41,Mark Takano,Democratic,2012.0,Aja Smith,Republican,California,41,CA,CA_41,R,0,0,,,,,,,,,
115,California 41,Mark Takano,Democratic,2012.0,Mark Takano,Democratic,California,41,CA,CA_41,D,1,6,California 41,Mark Takano,2013.0,1960.0,0.0,0.0,0.0,1.0,58.0
116,California 42,Ken Calvert,Republican,1992.0,Ken Calvert,Republican,California,42,CA,CA_42,R,1,26,California 42,Ken Calvert,1993.0,1953.0,0.0,0.0,0.0,0.0,65.0
117,California 42,Ken Calvert,Republican,1992.0,Julia Peacock,Democratic,California,42,CA,CA_42,D,0,0,,,,,,,,,
118,California 43,Maxine Waters,Democratic,1990.0,Omar Navarro,Republican,California,43,CA,CA_43,R,0,0,,,,,,,,,
119,California 43,Maxine Waters,Democratic,1990.0,Maxine Waters,Democratic,California,43,CA,CA_43,D,1,28,California 43,Maxine Waters,1991.0,1938.0,1.0,1.0,0.0,0.0,80.0
120,California 44,Nanette Barragán,Democratic,2016.0,Nanette Barragán,Democratic,California,44,CA,CA_44,D,1,2,California 44,Nanette Barragán,2017.0,1976.0,0.0,0.0,1.0,0.0,42.0
121,California 44,Nanette Barragán,Democratic,2016.0,Aja Brown,Democratic,California,44,CA,CA_44,D,0,0,,,,,,,,,
122,California 45,Mimi Walters,Republican,2014.0,Katie Porter,Democratic,California,45,CA,CA_45,D,0,0,,,,,,,,,
123,California 45,Mimi Walters,Republican,2014.0,Mimi Walters,Republican,California,45,CA,CA_45,R,1,4,California 45,Mimi Walters,2015.0,1962.0,1.0,0.0,0.0,0.0,56.0
124,California 46,Lou Correa,Democratic,2016.0,Lou Correa,Democratic,California,46,CA,CA_46,D,1,2,California 46,Lou Correa,2017.0,1958.0,0.0,0.0,1.0,0.0,60.0
125,California 46,Lou Correa,Democratic,2016.0,Russell Lambert,Republican,California,46,CA,CA_46,R,0,0,,,,,,,,,
126,California 47,Alan Lowenthal,Democratic,2012.0,John Briscoe,Republican,California,47,CA,CA_47,R,0,0,,,,,,,,,
127,California 47,Alan Lowenthal,Democratic,2012.0,Alan Lowenthal,Democratic,California,47,CA,CA_47,D,1,6,California 47,Alan Lowenthal,2013.0,1941.0,0.0,0.0,0.0,0.0,77.0
128,California 48,Dana Rohrabacher,Republican,1988.0,Harley Rouda,Democratic,California,48,CA,CA_48,D,0,0,,,,,,,,,
129,California 48,Dana Rohrabacher,Republican,1988.0,Dana Rohrabacher,Republican,California,48,CA,CA_48,R,1,30,California 48,Dana Rohrabacher,1989.0,1947.0,0.0,0.0,0.0,0.0,71.0
130,California 49,Darrell Issa,Republican,2000.0,Diane Harkey,Republican,California,49,CA,CA_49,R,0,0,,,,,,,,,
131,California 49,Darrell Issa,Republican,2000.0,Mike Levin,Democratic,California,49,CA,CA_49,D,0,0,,,,,,,,,
132,California 50,Duncan Hunter,Republican,2008.0,Ammar Campa-Najjar,Democratic,California,50,CA,CA_50,D,0,0,,,,,,,,,
133,California 50,Duncan Hunter,Republican,2008.0,Duncan Hunter,Republican,California,50,CA,CA_50,R,1,10,,,,,,,,,
134,California 51,Juan Vargas,Democratic,2012.0,Juan Hidalgo Jr.,Republican,California,51,CA,CA_51,R,0,0,,,,,,,,,
135,California 51,Juan Vargas,Democratic,2012.0,Juan Vargas,Democratic,California,51,CA,CA_51,D,1,6,California 51,Juan Vargas,2013.0,1961.0,0.0,0.0,1.0,0.0,57.0
136,California 52,Scott Peters,Democratic,2012.0,Scott Peters,Democratic,California,52,CA,CA_52,D,1,6,California 52,Scott Peters,2013.0,1958.0,0.0,0.0,0.0,0.0,60.0
137,California 52,Scott Peters,Democratic,2012.0,Omar Qudrat,Republican,California,52,CA,CA_52,R,0,0,,,,,,,,,
138,California 53,Susan Davis,Democratic,2000.0,Susan Davis,Democratic,California,53,CA,CA_53,D,1,18,California 53,Susan Davis,2001.0,1944.0,1.0,0.0,0.0,0.0,74.0
139,California 53,Susan Davis,Democratic,2000.0,Morgan Murtaugh,Republican,California,53,CA,CA_53,R,0,0,,,,,,,,,
140,Colorado 1,Diana DeGette,Democratic,1996.0,Diana DeGette,Democratic,Colorado,1,CO,CO_1,D,1,22,Colorado 1,Diana DeGette,1997.0,1957.0,1.0,0.0,0.0,0.0,61.0
141,Colorado 1,Diana DeGette,Democratic,1996.0,Casper Stockham,Republican,Colorado,1,CO,CO_1,R,0,0,,,,,,,,,
142,Colorado 2,Jared Polis,Democratic,2008.0,Joe Neguse,Democratic,Colorado,2,CO,CO_2,D,0,0,,,,,,,,,
143,Colorado 2,Jared Polis,Democratic,2008.0,Peter Yu,Republican,Colorado,2,CO,CO_2,R,0,0,,,,,,,,,
144,Colorado 3,Scott Tipton,Republican,2010.0,Diane Mitsch Bush,Democratic,Colorado,3,CO,CO_3,D,0,0,,,,,,,,,
145,Colorado 3,Scott Tipton,Republican,2010.0,Scott Tipton,Republican,Colorado,3,CO,CO_3,R,1,8,Colorado 3,Scott Tipton,2011.0,1956.0,0.0,0.0,0.0,0.0,62.0
146,Colorado 4,Ken Buck,Republican,2014.0,Ken Buck,Republican,Colorado,4,CO,CO_4,R,1,4,Colorado 4,Ken Buck,2015.0,1959.0,0.0,0.0,0.0,0.0,59.0
147,Colorado 4,Ken Buck,Republican,2014.0,Karen McCormick,Democratic,Colorado,4,CO,CO_4,D,0,0,,,,,,,,,
148,Colorado 5,Doug Lamborn,Republican,2006.0,Doug Lamborn,Republican,Colorado,5,CO,CO_5,R,1,12,Colorado 5,Doug Lamborn,2007.0,1954.0,0.0,0.0,0.0,0.0,64.0
149,Colorado 5,Doug Lamborn,Republican,2006.0,Stephany Rose Spaulding,Democratic,Colorado,5,CO,CO_5,D,0,0,,,,,,,,,
150,Colorado 6,Mike Coffman,Republican,2008.0,Mike Coffman,Republican,Colorado,6,CO,CO_6,R,1,10,Colorado 6,Mike Coffman,2009.0,1955.0,0.0,0.0,0.0,0.0,63.0
151,Colorado 6,Mike Coffman,Republican,2008.0,Jason Crow,Democratic,Colorado,6,CO,CO_6,D,0,0,,,,,,,,,
152,Colorado 7,Ed Perlmutter,Democratic,2006.0,Mark Barrington,Republican,Colorado,7,CO,CO_7,R,0,0,,,,,,,,,
153,Colorado 7,Ed Perlmutter,Democratic,2006.0,Ed Perlmutter,Democratic,Colorado,7,CO,CO_7,D,1,12,Colorado 7,Ed Perlmutter,2007.0,1953.0,0.0,0.0,0.0,0.0,65.0
154,Connecticut 1,John Larson,Democratic,1998.0,John Larson,Democratic,Connecticut,1,CT,CT_1,D,1,20,,,,,,,,,
155,Connecticut 1,John Larson,Democratic,1998.0,Jennifer Nye,Republican,Connecticut,1,CT,CT_1,R,0,0,,,,,,,,,
156,Connecticut 2,Joe Courtney,Democratic,2006.0,Joe Courtney,Democratic,Connecticut,2,CT,CT_2,D,1,12,Connecticut 2,Joe Courtney,2007.0,1953.0,0.0,0.0,0.0,0.0,65.0
157,Connecticut 2,Joe Courtney,Democratic,2006.0,Danny Postemski,Republican,Connecticut,2,CT,CT_2,R,0,0,,,,,,,,,
158,Connecticut 3,Rosa DeLauro,Democratic,1990.0,Angel Cadena,Republican,Connecticut,3,CT,CT_3,R,0,0,,,,,,,,,
159,Connecticut 3,Rosa DeLauro,Democratic,1990.0,Rosa DeLauro,Democratic,Connecticut,3,CT,CT_3,D,1,28,Connecticut 3,Rosa DeLauro,1991.0,1943.0,1.0,0.0,0.0,0.0,75.0
160,Connecticut 4,Jim Himes,Democratic,2008.0,Harry Arora,Republican,Connecticut,4,CT,CT_4,R,0,0,,,,,,,,,
161,Connecticut 4,Jim Himes,Democratic,2008.0,Jim Himes,Democratic,Connecticut,4,CT,CT_4,D,1,10,Connecticut 4,Jim Himes,2009.0,1966.0,0.0,0.0,0.0,0.0,52.0
162,Connecticut 5,Elizabeth Esty,Democratic,2012.0,Jahana Hayes,Democratic,Connecticut,5,CT,CT_5,D,0,0,,,,,,,,,
163,Connecticut 5,Elizabeth Esty,Democratic,2012.0,Manny Santos,Republican,Connecticut,5,CT,CT_5,R,0,0,,,,,,,,,
