year,dist_id,congress,icpsr,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,age,dem_incumbent,dem_prior_vote_share,president,house,senate,median_HH_income,median_age,mortgage_cost,unemp_rate,bachelor_deg_perc,black_perc,HS_diploma_perc,white_perc,redistricted,dem_won_2016,dem_vote_share_2016
2008,AL_2,110.0,29300.0,0.414,0.528,0.388,0.401,71.0,0,0.3046119763694952,0,0.535632184,0.5,21318.0,37.0,638.0,6.6,0.08097059757764917,0.3102545570608933,0.218682146633092,0.6581134021093142,0.0,0.0,0.4538475554205891
2010,AL_2,111.0,20900.0,0.067,0.6709999999999999,0.069,0.547,58.0,1,0.5031190537592439,1,0.590804598,0.581632653,21548.0,37.7,684.0,9.3,0.08039095412423007,0.3093018826327764,0.2172713897708236,0.6473899147993563,0.0,0.0,0.4538475554205891
2012,AL_2,112.0,21192.0,0.3670000000000001,0.659,0.36,0.59,36.0,0,0.4890622854789254,1,0.443678161,0.5204081629999999,21499.0,37.8,683.0,9.1,0.09392815606416363,0.2990439826497846,0.22150197859749987,0.6600337934212548,1.0,0.0,0.4538475554205891
2014,AL_2,113.0,21192.0,0.3670000000000001,0.659,0.316,0.7340000000000001,38.0,0,0.3634056323431436,1,0.462068966,0.540816327,22063.0,38.0,698.0,9.2,0.08801070404437228,0.3085090079602489,0.2161114729554892,0.6539428429965429,0.0,0.0,0.4538475554205891
2016,AL_2,114.0,21192.0,0.3670000000000001,0.659,0.398,0.7070000000000001,40.0,0,0.3259453499806311,1,0.432183908,0.448979592,23108.0,38.2,724.0,6.1,0.09437649368197283,0.32195310883907624,0.21739793815037972,0.6302065223929427,0.0,0.0,0.4538475554205891
2006,AL_3,109.0,20301.0,0.338,0.446,0.345,0.35100000000000003,48.0,0,0.3877045076144612,0,0.464367816,0.484848485,17839.0,35.8,594.0,9.2,0.07112496845612894,0.3200707190786453,0.20887819353191026,0.6515321960310969,0.0,0.0,0.3297687931834273
2008,AL_3,110.0,20301.0,0.338,0.446,0.343,0.348,50.0,0,0.3927856330647155,0,0.535632184,0.5,20190.0,36.9,654.0,8.0,0.07493709298220576,0.32835285015736143,0.2031472287111385,0.6462274567537726,0.0,0.0,0.3297687931834273
2010,AL_3,111.0,20301.0,0.338,0.446,0.29,0.532,52.0,0,0.4590049585273022,1,0.590804598,0.581632653,18407.0,36.7,677.0,13.9,0.07633741546282248,0.3204609313979084,0.20761765647800765,0.6455474067536999,0.0,0.0,0.3297687931834273
2012,AL_3,112.0,20301.0,0.338,0.446,0.29100000000000004,0.659,54.0,0,0.40519349297767,1,0.443678161,0.5204081629999999,20905.0,37.3,676.0,10.3,0.08019975612173233,0.2598754181334551,0.2111414163611007,0.7029568444622541,1.0,0.0,0.3297687931834273
2014,AL_3,113.0,20301.0,0.338,0.446,0.451,0.659,56.0,0,0.3589031878206746,1,0.462068966,0.540816327,21601.0,38.0,684.0,9.1,0.08237212238208595,0.2595623388349982,0.2184427958005814,0.697205105197757,0.0,0.0,0.3297687931834273
2016,AL_3,114.0,20301.0,0.338,0.446,0.389,0.33,58.0,0,0.337754358141379,1,0.432183908,0.448979592,22907.0,38.3,694.0,6.6,0.09025035166501758,0.2625013742420527,0.203049548825763,0.6945884462185087,0.0,0.0,0.3297687931834273
2006,AL_4,109.0,29701.0,0.361,0.5870000000000001,0.384,0.243,41.0,0,0.2516876282362523,0,0.464367816,0.484848485,18103.0,38.7,507.0,6.4,0.05246213136985987,0.05151206356260104,0.2359202249515389,0.9150715998682164,0.0,0.0,0.0
2008,AL_4,110.0,29701.0,0.361,0.5870000000000001,0.36,0.435,43.0,0,0.2973871578095436,0,0.535632184,0.5,20120.0,38.7,556.0,6.4,0.056540859821815476,0.04624100702842409,0.2301309493443313,0.9169803898670223,0.0,0.0,0.0
2010,AL_4,111.0,29701.0,0.361,0.5870000000000001,0.328,0.623,45.0,0,0.2514173306242343,1,0.590804598,0.581632653,19149.0,40.2,587.0,13.3,0.05314859091681433,0.05191063669684686,0.2336001407869505,0.9114893074738452,0.0,0.0,0.0
2012,AL_4,112.0,29701.0,0.361,0.5870000000000001,0.327,0.601,47.0,0,0.0,1,0.443678161,0.5204081629999999,20189.0,40.6,566.0,9.4,0.0648431786609023,0.07275546796756373,0.23369448694942185,0.8795666744007777,1.0,0.0,0.0
