,year_x,district,total_pop_x,white_pop_x,black_pop_x,year_y,mortgage_cost_x,year_x,median_age_x,year_y,high_school_num_x,bach_deg_num_x,median_HH_income_x,year_x,unemp_rate_x,year_y,total_pop_y,white_pop_y,black_pop_y,year_x,mortgage_cost_y,year_y,median_age_y,year_x,high_school_num_y,bach_deg_num_y,median_HH_income_y,year_y,unemp_rate_y,year_x,total_pop_x,white_pop_x,black_pop_x,year_y,mortgage_cost_x,year_x,median_age_x,year_y,high_school_num_x,bach_deg_num_x,median_HH_income_x,year_x,unemp_rate_x,year_y,total_pop_y,white_pop_y,black_pop_y,year_x,mortgage_cost_y,year_y,median_age_y,year_x,high_school_num_y,bach_deg_num_y,median_HH_income_y,year_y,unemp_rate_y,year_x,mortgage_cost_x,year_y,median_age_x,year_x,high_school_num_x,bach_deg_num_x,median_HH_income_x,year_y,unemp_rate_x,year_x,total_pop_x,white_pop_x,black_pop_x,year_y,mortgage_cost_y,year_x,median_age_y,year_y,high_school_num_y,bach_deg_num_y,median_HH_income_y,year_x,unemp_rate_y,year_y,total_pop_y,white_pop_y,black_pop_y,year_x,mortgage_cost_x,year_y,median_age_x,year_x,high_school_num_x,bach_deg_num_x,median_HH_income_x,year_y,unemp_rate_x,year_x,total_pop_x,white_pop_x,black_pop_x,year_y,mortgage_cost_y,year_x,median_age_y,year_y,high_school_num_y,bach_deg_num_y,median_HH_income_y,year_x,unemp_rate_y,year_y,total_pop_y,white_pop_y,black_pop_y,year_x,mortgage_cost_x,year_y,median_age_x,year_x,high_school_num_x,bach_deg_num_x,median_HH_income_x,year_y,unemp_rate_x,year_x,total_pop_x,white_pop_x,black_pop_x,year_y,mortgage_cost_y,year_x,median_age_y,year_y,high_school_num_y,bach_deg_num_y,median_HH_income_y,year_x,unemp_rate_y,year_y,total_pop_y,white_pop_y,black_pop_y,year_x,mortgage_cost_x,year_y,median_age_x,year_x,high_school_num_x,bach_deg_num_x,median_HH_income_x,year_y,unemp_rate_x,year_x,total_pop_x,white_pop_x,black_pop_x,year_y,mortgage_cost_y,year_x,median_age_y,year_y,high_school_num_y,bach_deg_num_y,median_HH_income_y,year_x,unemp_rate_y,year_y,total_pop_y,white_pop_y,black_pop_y,year_x,mortgage_cost,year_y,median_age,year_x,high_school_num,bach_deg_num,median_HH_income,year_y,unemp_rate
10,2005,"Congressional District 3 (109th Congress), Arizona",654168,544038,19424,2005,944,2005,36.9,2005.0,437533.0,104771.0,29186.0,2005,4.2,2006,699585,602443,20980,2006,1082,2006,39.0,2006.0,42653.0,67184.0,210587.0,2006,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2005,"Congressional District 4 (109th Congress), Arizona",676666,441828,44527,2005,747,2005,54.7,2005.0,373897.0,102778.0,20099.0,2005,8.0,2006,707088,479842,54889,2006,815,2006,54.1,2006.0,50050.0,67680.0,312777.0,2006,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2005,"Congressional District 5 (109th Congress), Arizona",676482,566335,21953,2005,985,2005,35.3,2005.0,440320.0,82158.0,29083.0,2005,5.1,2006,671465,563872,20355,2006,1074,2006,29.8,2006.0,46403.0,65960.0,230252.0,2006,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2005,"Congressional District 6 (109th Congress), Arizona",869666,720093,23043,2005,1016,2005,49.7,2005.0,552509.0,135136.0,29250.0,2005,4.5,2006,948360,803001,22093,2006,1132,2006,50.5,2006.0,57067.0,91827.0,217144.0,2006,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2005,"Congressional District 7 (109th Congress), Arizona",730215,436932,17418,2005,676,2005,52.2,2005.0,427172.0,127400.0,20044.0,2005,9.1,2006,787055,477148,28494,2006,727,2006,49.3,2006.0,64304.0,75071.0,244355.0,2006,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2005,"Congressional District 8 (109th Congress), Arizona",699470,584072,22058,2005,772,2005,38.7,2005.0,476957.0,105770.0,24927.0,2005,5.3,2006,725077,595934,23505,2006,831,2006,36.8,2006.0,55843.0,69807.0,201541.0,2006,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2005,"Congressional District 1 (109th Congress), Arkansas",658744,534459,108653,2005,504,2005,40.5,2005.0,437638.0,166285.0,17111.0,2005,7.7,2006,675114,543111,114255,2006,524,2006,41.0,2006.0,68397.0,63299.0,196494.0,2006,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2005,"Congressional District 2 (109th Congress), Arkansas",678284,509029,135452,2005,672,2005,39.9,2005.0,444432.0,146581.0,22591.0,2005,6.1,2006,704974,528939,146392,2006,701,2006,39.0,2006.0,58250.0,69278.0,199668.0,2006,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2005,"Congressional District 3 (109th Congress), Arkansas",722962,630985,15984,2005,598,2005,40.5,2005.0,470194.0,157963.0,20687.0,2005,5.3,2006,765390,663180,18283,2006,641,2006,41.0,2006.0,65906.0,84930.0,221998.0,2006,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2005,"Congressional District 4 (109th Congress), Arkansas",641441,460596,154171,2005,473,2005,40.6,2005.0,424978.0,161024.0,17210.0,2005,9.0,2006,665394,472994,158750,2006,508,2006,39.2,2006.0,64163.0,60765.0,180598.0,2006,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
