"state_name","Location","Incumbent","Inc_party","Inc_first_elected","Candidate","Cand_party","district_num","state_abb","dist_id","Cand_party_abb","is_incumbent","years_in_congress"
"California","California 8","Paul Cook","Republican",2012,"Tim Donnelly","Republican","8","CA","CA_8","R",0,0
"California","California 9","Jerry McNerney","Democratic",2006,"Marla Livengood","Republican","9","CA","CA_9","R",0,0
"California","California 9","Jerry McNerney","Democratic",2006,"Jerry McNerney","Democratic","9","CA","CA_9","D",1,12
"California","California 10","Jeff Denham","Republican",2010,"Jeff Denham","Republican","10","CA","CA_10","R",1,8
"California","California 10","Jeff Denham","Republican",2010,"Josh Harder","Democratic","10","CA","CA_10","D",0,0
"California","California 11","Mark DeSaulnier","Democratic",2014,"Mark DeSaulnier","Democratic","11","CA","CA_11","D",1,4
"California","California 11","Mark DeSaulnier","Democratic",2014,"John Fitzgerald","Republican","11","CA","CA_11","R",0,0
"California","California 12","Nancy Pelosi","Democratic",1987,"Nancy Pelosi","Democratic","12","CA","CA_12","D",1,31
"California","California 12","Nancy Pelosi","Democratic",1987,"Lisa Remmer","Republican","12","CA","CA_12","R",0,0
"California","California 13","Barbara Lee","Democratic",1998,"Barbara Lee","Democratic","13","CA","CA_13","D",1,20
"California","California 14","Jackie Speier","Democratic",2008,"Cristina Osmeña","Republican","14","CA","CA_14","R",0,0
"California","California 14","Jackie Speier","Democratic",2008,"Jackie Speier","Democratic","14","CA","CA_14","D",1,10
"California","California 15","Eric Swalwell","Democratic",2012,"Rudy Peters","Republican","15","CA","CA_15","R",0,0
"California","California 15","Eric Swalwell","Democratic",2012,"Eric Swalwell","Democratic","15","CA","CA_15","D",1,6
"California","California 16","Jim Costa","Democratic",2004,"Jim Costa","Democratic","16","CA","CA_16","D",1,14
"California","California 16","Jim Costa","Democratic",2004,"Elizabeth Heng","Republican","16","CA","CA_16","R",0,0
"California","California 17","Ro Khanna","Democratic",2016,"Ron Cohen","Republican","17","CA","CA_17","R",0,0
"California","California 17","Ro Khanna","Democratic",2016,"Ro Khanna","Democratic","17","CA","CA_17","D",1,2
"California","California 18","Anna Eshoo","Democratic",1992,"Anna Eshoo","Democratic","18","CA","CA_18","D",1,26
"California","California 18","Anna Eshoo","Democratic",1992,"Christine Russell","Republican","18","CA","CA_18","R",0,0
"California","California 19","Zoe Lofgren","Democratic",1994,"Justin Aguilera","Republican","19","CA","CA_19","R",0,0
"California","California 19","Zoe Lofgren","Democratic",1994,"Zoe Lofgren","Democratic","19","CA","CA_19","D",1,24
"California","California 20","Jimmy Panetta","Democratic",2016,"Jimmy Panetta","Democratic","20","CA","CA_20","D",1,2
"California","California 21","David Valadao","Republican",2012,"T.J. Cox","Democratic","21","CA","CA_21","D",0,0
"California","California 21","David Valadao","Republican",2012,"David Valadao","Republican","21","CA","CA_21","R",1,6
"California","California 22","Devin Nunes","Republican",2002,"Andrew Janz","Democratic","22","CA","CA_22","D",0,0
