congress,year,delsouth,state_fips,contest_uid,inc,king_dist,lewis_dist,state_name,turnout,inc,vote_share,geom_uid
114.0,2014.0,0.0,32.0,114032001,1,,1.0,nevada,76056.0,1,0.6001235931418955,032113114001
114.0,2014.0,0.0,32.0,114032002,-1,,2.0,nevada,174418.0,-1,0.2982261005171485,032113114002
114.0,2014.0,0.0,32.0,114032003,-1,,3.0,nevada,141172.0,-1,0.3729068087156093,032113114003
114.0,2014.0,0.0,32.0,114032004,1,,4.0,nevada,123310.0,1,0.4853134376773984,032113114004
114.0,2014.0,0.0,33.0,114033001,1,,1.0,new hampshire,242277.0,1,0.4819648584058743,033113114001
114.0,2014.0,0.0,33.0,114033002,1,,2.0,new hampshire,237571.0,1,0.5501513231833852,033113114002
114.0,2014.0,0.0,34.0,114034001,0,,1.0,new jersey,157388.0,0,0.5928978066942842,034113114001
114.0,2014.0,0.0,34.0,114034002,-1,,2.0,new jersey,174901.0,-1,0.377504988536372,034113114002
114.0,2014.0,0.0,34.0,114034003,0,,3.0,new jersey,183008.0,0,0.4510021419828642,034113114003
114.0,2014.0,0.0,34.0,114034004,-1,,4.0,new jersey,163290.0,-1,0.33324147222732564,034113114004
114.0,2014.0,0.0,34.0,114034005,-1,,5.0,new jersey,186486.0,-1,0.4386817240972513,034113114005
114.0,2014.0,0.0,40.0,114040001,-1,,1.0,oklahoma,,-1,0.0,040113114001
114.0,2014.0,0.0,40.0,114040002,-1,,2.0,oklahoma,149889.0,-1,0.2599523647499149,040113114002
114.0,2014.0,0.0,40.0,114040003,-1,,3.0,oklahoma,169605.0,-1,0.21384982754046167,040113114003
114.0,2014.0,0.0,40.0,114040004,-1,,4.0,oklahoma,158719.0,-1,0.2583055588807893,040113114004
114.0,2014.0,0.0,40.0,114040005,0,,5.0,oklahoma,153422.0,0,0.37667348880864543,040113114005
114.0,2014.0,0.0,41.0,114041001,1,,1.0,oregon,256283.0,1,0.6244581185642434,041113114001
114.0,2014.0,0.0,41.0,114041002,-1,,2.0,oregon,276159.0,-1,0.26718303585977643,041113114002
114.0,2014.0,0.0,41.0,114041003,1,,3.0,oregon,269172.0,1,0.7866642890047999,041113114003
114.0,2014.0,0.0,41.0,114041004,1,,4.0,oregon,298158.0,1,0.6091535360446475,041113114004
114.0,2014.0,0.0,41.0,114041005,1,,5.0,oregon,261276.0,1,0.5777185811172859,041113114005
114.0,2014.0,0.0,42.0,114042001,1,,1.0,pennsylvania,158441.0,1,0.8283714442600084,042113114001
114.0,2014.0,0.0,42.0,114042002,1,,2.0,pennsylvania,206538.0,1,0.8770347345282709,042113114002
114.0,2014.0,0.0,42.0,114042003,-1,,3.0,pennsylvania,187790.0,-1,0.39368975983811705,042113114003
114.0,2014.0,0.0,42.0,114042004,-1,,4.0,pennsylvania,197340.0,-1,0.2546366676801459,042113114004
114.0,2014.0,0.0,42.0,114042005,-1,,5.0,pennsylvania,180857.0,-1,0.3640389921319053,042113114005
114.0,2014.0,0.0,42.0,114042006,0,,6.0,pennsylvania,212544.0,0,0.4370906729900632,042113114006
114.0,2014.0,0.0,42.0,114042007,-1,,7.0,pennsylvania,235125.0,-1,0.37961084529505584,042113114007
114.0,2014.0,0.0,42.0,114042008,-1,,8.0,pennsylvania,222498.0,-1,0.3809787054265656,042113114008
114.0,2014.0,0.0,42.0,114042009,-1,,9.0,pennsylvania,173317.0,-1,0.364782450654004,042113114009
114.0,2014.0,0.0,42.0,114042010,-1,,10.0,pennsylvania,157588.0,-1,0.28388582887021857,042113114010
114.0,2014.0,0.0,42.0,114042011,-1,,11.0,pennsylvania,184692.0,-1,0.3369285080025123,042113114011
114.0,2014.0,0.0,42.0,114042012,-1,,12.0,pennsylvania,215921.0,-1,0.4072230121201736,042113114012
114.0,2014.0,0.0,42.0,114042013,0,,13.0,pennsylvania,184150.0,0,0.6711973934292697,042113114013
114.0,2014.0,0.0,42.0,114042014,1,,14.0,pennsylvania,148351.0,1,1.0,042113114014
114.0,2014.0,0.0,42.0,114042015,-1,,15.0,pennsylvania,128285.0,-1,0.0,042113114015
114.0,2014.0,0.0,42.0,114042016,-1,,16.0,pennsylvania,176235.0,-1,0.4228047777115783,042113114016
114.0,2014.0,0.0,42.0,114042017,1,,17.0,pennsylvania,165051.0,1,0.5675821412775445,042113114017
114.0,2014.0,0.0,42.0,114042018,-1,,18.0,pennsylvania,166076.0,-1,0.0,042113114018
114.0,2014.0,0.0,44.0,114044001,1,,1.0,rhode island,145937.0,1,0.596558789066515,044113114001
114.0,2014.0,0.0,44.0,114044002,1,,2.0,rhode island,169560.0,1,0.6234725171030904,044113114002
114.0,2014.0,1.0,45.0,114045001,-1,,1.0,south carolina,119392.0,-1,0.0,045113114001
114.0,2014.0,1.0,45.0,114045002,-1,,2.0,south carolina,190368.0,-1,0.3609797865187426,045113114002
114.0,2014.0,1.0,45.0,114045003,-1,,3.0,south carolina,163922.0,-1,0.2878259172045241,045113114003
114.0,2014.0,1.0,45.0,114045004,-1,,4.0,south carolina,126452.0,-1,0.0,045113114004
114.0,2014.0,1.0,45.0,114045005,-1,,5.0,south carolina,169880.0,-1,0.3932305156581116,045113114005
114.0,2014.0,1.0,45.0,114045006,1,,6.0,south carolina,170058.0,1,0.7394359571440332,045113114006
114.0,2014.0,1.0,45.0,114045007,-1,,7.0,south carolina,171409.0,-1,0.4000723415923318,045113114007
114.0,2014.0,0.0,46.0,114046000,-1,,0.0,south dakota,276319.0,-1,0.33470373010904064,046108114000
114.0,2014.0,0.0,47.0,114047001,-1,,1.0,tennessee,115533.0,-1,0.0,047113114001
114.0,2014.0,0.0,47.0,114047002,-1,,2.0,tennessee,158495.0,-1,0.2373071705732042,047113114002
114.0,2014.0,0.0,47.0,114047003,-1,,3.0,tennessee,151327.0,-1,0.3567307882929021,047113114003
114.0,2014.0,0.0,47.0,114047004,-1,,4.0,tennessee,136172.0,-1,0.3771480186822548,047113114004
114.0,2014.0,0.0,47.0,114047005,1,,5.0,tennessee,151226.0,1,0.6357901419068149,047113114005
114.0,2014.0,0.0,47.0,114047006,-1,,6.0,tennessee,152463.0,-1,0.2442035116716843,047113114006
114.0,2014.0,0.0,47.0,114047007,-1,,7.0,tennessee,152814.0,-1,0.2766762207651132,047113114007
114.0,2014.0,0.0,47.0,114047008,-1,,8.0,tennessee,164688.0,-1,0.25765690274944136,047113114008
114.0,2014.0,0.0,47.0,114047009,1,,9.0,tennessee,114549.0,1,0.7627827392644196,047113114009
114.0,2014.0,1.0,48.0,114048001,-1,,1.0,texas,148560.0,-1,0.22533656435110394,048113114001
114.0,2014.0,1.0,48.0,114048002,-1,,2.0,texas,146398.0,-1,0.30370633478599435,048113114002
114.0,2014.0,1.0,48.0,114048003,-1,,3.0,texas,113404.0,-1,0.0,048113114003
114.0,2014.0,1.0,48.0,114048004,0,,4.0,texas,115085.0,0,0.0,048113114004
114.0,2014.0,1.0,48.0,114048005,-1,,5.0,texas,88998.0,-1,0.0,048113114005
114.0,2014.0,1.0,48.0,114048006,-1,,6.0,texas,147361.0,-1,0.3734163041781747,048113114006
114.0,2014.0,1.0,48.0,114048007,-1,,7.0,texas,140084.0,-1,0.3532023642957083,048113114007
114.0,2014.0,1.0,48.0,114048008,-1,,8.0,texas,125066.0,-1,0.0,048113114008
114.0,2014.0,1.0,48.0,114048009,1,,9.0,texas,78109.0,1,1.0,048113114009
114.0,2014.0,1.0,48.0,114048010,-1,,10.0,texas,169969.0,-1,0.3544352205402161,048113114010
114.0,2014.0,1.0,48.0,114048011,-1,,11.0,texas,107939.0,-1,0.0,048113114011
114.0,2014.0,1.0,48.0,114048012,-1,,12.0,texas,154943.0,-1,0.2694991061228968,048113114012
114.0,2014.0,1.0,48.0,114048013,-1,,13.0,texas,127664.0,-1,0.13176776538413335,048113114013
114.0,2014.0,1.0,48.0,114048014,-1,,14.0,texas,142661.0,-1,0.368320704327041,048113114014
114.0,2014.0,1.0,48.0,114048015,1,,15.0,texas,87724.0,1,0.5552414390588665,048113114015
114.0,2014.0,1.0,48.0,114048016,1,,16.0,texas,70662.0,1,0.6982253545045427,048113114016
114.0,2014.0,1.0,48.0,114048017,-1,,17.0,texas,128856.0,-1,0.3340861116284845,048113114017
114.0,2014.0,1.0,48.0,114048018,1,,18.0,texas,102346.0,1,0.7435268598675082,048113114018
114.0,2014.0,1.0,48.0,114048019,-1,,19.0,texas,111618.0,-1,0.1922449784085004,048113114019
114.0,2014.0,1.0,48.0,114048020,1,,20.0,texas,66554.0,1,1.0,048113114020
114.0,2014.0,1.0,48.0,114048021,-1,,21.0,texas,135660.0,-1,0.0,048113114021
114.0,2014.0,0.0,36.0,114036009,1,,9.0,new york,70997.0,1,1.0,036113114009
114.0,2014.0,0.0,36.0,114036010,1,,10.0,new york,73945.0,1,1.0,036113114010
114.0,2014.0,0.0,36.0,114036011,-1,,11.0,new york,89720.0,-1,0.4617588051716451,036113114011
114.0,2014.0,0.0,36.0,114036012,1,,12.0,new york,98004.0,1,0.8003754948777599,036113114012
114.0,2014.0,0.0,36.0,114036017,1,,17.0,new york,152844.0,1,0.5842231294653372,036113114017
114.0,2014.0,0.0,36.0,114036018,1,,18.0,new york,142758.0,1,0.5340156068311408,036113114018
114.0,2014.0,0.0,36.0,114036019,-1,,19.0,new york,162651.0,-1,0.3721649421153267,036113114019
114.0,2014.0,0.0,36.0,114036020,1,,20.0,new york,165257.0,1,0.6259159975069135,036113114020
114.0,2014.0,0.0,36.0,114036013,1,,13.0,new york,63437.0,1,1.0,036113114013
114.0,2014.0,0.0,36.0,114036014,1,,14.0,new york,45370.0,1,1.0,036113114014
114.0,2014.0,1.0,37.0,114037002,-1,,2.0,north carolina,207607.0,-1,0.4117346717596228,037113114002
