year,dist_id,redistricted
2002,NY_14,True
2002,NY_15,True
2002,NY_16,True
2002,NY_17,True
2002,NY_18,True
2002,NY_19,True
2002,NY_2,True
2002,NY_20,True
2002,NY_21,True
2002,NY_22,True
2002,NY_23,True
2002,NY_24,True
2002,NY_25,True
2002,NY_26,True
2002,NY_27,True
2002,NY_28,True
2002,NY_29,True
2002,NY_3,True
2002,NY_4,True
2002,NY_5,True
2002,NY_6,True
2002,NY_7,True
2002,NY_8,True
2002,NY_9,True
2002,OH_1,True
2002,OH_10,True
2002,OH_11,True
2002,OH_12,True
2002,OH_13,True
2002,OH_14,True
2002,OH_15,True
2002,OH_16,True
2002,OH_17,True
2002,OH_18,True
2002,OH_2,True
2002,OH_3,True
2002,OH_4,True
2002,OH_5,True
2002,OH_6,True
2002,OH_7,True
2002,OH_8,True
2002,OH_9,True
2002,OK_1,True
2002,OK_2,True
2002,OK_3,True
2002,OK_4,True
2002,OK_5,True
2002,OR_1,True
2002,OR_2,True
2002,OR_3,True
2002,OR_4,True
2002,OR_5,True
2002,PA_1,True
2002,PA_10,True
2002,PA_11,True
2002,PA_12,True
2002,PA_13,True
2002,PA_14,True
2002,PA_15,True
2002,PA_16,True
2002,PA_17,True
2002,PA_18,True
2002,PA_19,True
2002,PA_2,True
2002,PA_3,True
2002,PA_4,True
2002,PA_5,True
2002,PA_6,True
2002,PA_7,True
2002,PA_8,True
2002,PA_9,True
2002,RI_1,True
2002,RI_2,True
2002,TN_1,True
2002,TN_2,True
2002,TN_3,True
2002,TN_4,True
2002,TN_5,True
2002,TN_6,True
2002,TN_7,True
2002,TN_8,True
2002,TN_9,True
2002,TX_1,True
2002,TX_10,True
2002,TX_11,True
2002,TX_12,True
2002,TX_13,True
2002,TX_14,True
2002,TX_15,True
2002,TX_16,True
2002,TX_17,True
2002,TX_18,True
2002,TX_19,True
2002,TX_2,True
2002,TX_20,True
2002,TX_21,True
2002,TX_22,True
2002,TX_23,True
2002,TX_24,True
2002,TX_25,True
2002,TX_26,True
2002,TX_27,True
2002,TX_28,True
2002,TX_29,True
2002,TX_3,True
2002,TX_30,True
2002,TX_31,True
2002,TX_32,True
2002,TX_4,True
2002,TX_5,True
2002,TX_6,True
2002,TX_7,True
2002,TX_8,True
2002,TX_9,True
2002,UT_1,True
2002,UT_2,True
2002,UT_3,True
2002,VA_1,True
2002,VA_10,True
2002,VA_11,True
2002,VA_2,True
2002,VA_3,True
2002,VA_4,True
2002,VA_5,True
2002,VA_6,True
2002,VA_7,True
2002,VA_8,True
2002,VA_9,True
2002,WA_1,True
2002,WA_2,True
2002,WA_3,True
2002,WA_4,True
2002,WA_5,True
2002,WA_6,True
2002,WA_7,True
2002,WA_8,True
2002,WA_9,True
2002,WI_1,True
2002,WI_2,True
2002,WI_3,True
2002,WI_4,True
2002,WI_5,True
2002,WI_6,True
2002,WI_7,True
2002,WI_8,True
2002,WV_1,True
2002,WV_2,True
2002,WV_3,True
2004,AZ_1,True
2004,AZ_2,True
2004,AZ_3,True
2004,AZ_4,True
2004,AZ_5,True
2004,AZ_6,True
2004,AZ_7,True
2004,AZ_8,True
