year,district,mortgage_cost
2014,"Congressional District 1 (114th Congress), Alabama",798
2014,"Congressional District 2 (114th Congress), Alabama",698
2014,"Congressional District 3 (114th Congress), Alabama",684
2014,"Congressional District 4 (114th Congress), Alabama",590
2014,"Congressional District 5 (114th Congress), Alabama",741
2014,"Congressional District 6 (114th Congress), Alabama",935
2014,"Congressional District 7 (114th Congress), Alabama",702
2014,"Congressional District (at Large) (114th Congress), Alaska",1258
2014,"Congressional District 1 (114th Congress), Arizona",770
2014,"Congressional District 2 (114th Congress), Arizona",843
2014,"Congressional District 3 (114th Congress), Arizona",844
2014,"Congressional District 4 (114th Congress), Arizona",788
2014,"Congressional District 5 (114th Congress), Arizona",1134
2014,"Congressional District 6 (114th Congress), Arizona",1104
2014,"Congressional District 7 (114th Congress), Arizona",814
2014,"Congressional District 8 (114th Congress), Arizona",1070
2014,"Congressional District 9 (114th Congress), Arizona",955
2014,"Congressional District 1 (114th Congress), Arkansas",612
2014,"Congressional District 2 (114th Congress), Arkansas",783
2014,"Congressional District 3 (114th Congress), Arkansas",736
2014,"Congressional District 4 (114th Congress), Arkansas",559
2014,"Congressional District 1 (114th Congress), California",927
2014,"Congressional District 2 (114th Congress), California",1436
2014,"Congressional District 3 (114th Congress), California",1191
2014,"Congressional District 4 (114th Congress), California",1353
2014,"Congressional District 5 (114th Congress), California",1426
2014,"Congressional District 6 (114th Congress), California",1041
2014,"Congressional District 7 (114th Congress), California",1299
2014,"Congressional District 8 (114th Congress), California",1028
2014,"Congressional District 9 (114th Congress), California",1204
2014,"Congressional District 10 (114th Congress), California",1149
2014,"Congressional District 11 (114th Congress), California",1525
2014,"Congressional District 12 (114th Congress), California",1719
2014,"Congressional District 13 (114th Congress), California",1413
2014,"Congressional District 14 (114th Congress), California",1940
2014,"Congressional District 15 (114th Congress), California",1868
2014,"Congressional District 16 (114th Congress), California",888
2014,"Congressional District 17 (114th Congress), California",2015
2014,"Congressional District 18 (114th Congress), California",2044
2014,"Congressional District 19 (114th Congress), California",1834
2014,"Congressional District 20 (114th Congress), California",1420
2014,"Congressional District 21 (114th Congress), California",863
2014,"Congressional District 22 (114th Congress), California",1073
2014,"Congressional District 23 (114th Congress), California",1052
2014,"Congressional District 24 (114th Congress), California",1436
2014,"Congressional District 25 (114th Congress), California",1594
2014,"Congressional District 26 (114th Congress), California",1665
2014,"Congressional District 27 (114th Congress), California",1444
2014,"Congressional District 28 (114th Congress), California",1433
2014,"Congressional District 29 (114th Congress), California",1311
2014,"Congressional District 30 (114th Congress), California",1704
2014,"Congressional District 31 (114th Congress), California",1267
2014,"Congressional District 32 (114th Congress), California",1373
2014,"Congressional District 33 (114th Congress), California",2081
2014,"Congressional District 34 (114th Congress), California",1064
2014,"Congressional District 35 (114th Congress), California",1315
2014,"Congressional District 36 (114th Congress), California",1034
2014,"Congressional District 37 (114th Congress), California",1397
2014,"Congressional District 38 (114th Congress), California",1406
2014,"Congressional District 39 (114th Congress), California",1715
2014,"Congressional District 40 (114th Congress), California",1105
2014,"Congressional District 41 (114th Congress), California",1291
2014,"Congressional District 42 (114th Congress), California",1634
2014,"Congressional District 43 (114th Congress), California",1245
2014,"Congressional District 44 (114th Congress), California",1223
2014,"Congressional District 45 (114th Congress), California",1971
2014,"Congressional District 46 (114th Congress), California",1419
2014,"Congressional District 47 (114th Congress), California",1360
2014,"Congressional District 48 (114th Congress), California",1800
2014,"Congressional District 49 (114th Congress), California",1825
2014,"Congressional District 50 (114th Congress), California",1502
2014,"Congressional District 51 (114th Congress), California",1093
2014,"Congressional District 52 (114th Congress), California",1839
2014,"Congressional District 53 (114th Congress), California",1481
2014,"Congressional District 1 (114th Congress), Colorado",1129
2014,"Congressional District 2 (114th Congress), Colorado",1283
2014,"Congressional District 3 (114th Congress), Colorado",892
2014,"Congressional District 4 (114th Congress), Colorado",1162
2014,"Congressional District 5 (114th Congress), Colorado",1080
2014,"Congressional District 6 (114th Congress), Colorado",1292
2014,"Congressional District 7 (114th Congress), Colorado",1158
2014,"Congressional District 1 (114th Congress), Connecticut",1235
2014,"Congressional District 2 (114th Congress), Connecticut",1264
2014,"Congressional District 3 (114th Congress), Connecticut",1344
2014,"Congressional District 4 (114th Congress), Connecticut",1897
2014,"Congressional District 5 (114th Congress), Connecticut",1282
2014,"Congressional District (at Large) (114th Congress), Delaware",1093
2014,"Delegate District (at Large) (114th Congress), District of Columbia",1513
2014,"Congressional District 1 (114th Congress), Florida",932
2014,"Congressional District 2 (114th Congress), Florida",844
2014,"Congressional District 3 (114th Congress), Florida",803
2014,"Congressional District 4 (114th Congress), Florida",1047
2014,"Congressional District 5 (114th Congress), Florida",836
2014,"Congressional District 6 (114th Congress), Florida",892
2014,"Congressional District 7 (114th Congress), Florida",1081
2014,"Congressional District 8 (114th Congress), Florida",865
2014,"Congressional District 9 (114th Congress), Florida",1069
2014,"Congressional District 10 (114th Congress), Florida",993
2014,"Congressional District 11 (114th Congress), Florida",685
2014,"Congressional District 12 (114th Congress), Florida",934
2014,"Congressional District 13 (114th Congress), Florida",913
2014,"Congressional District 14 (114th Congress), Florida",931
2014,"Congressional District 15 (114th Congress), Florida",920
2014,"Congressional District 16 (114th Congress), Florida",908
2014,"Congressional District 17 (114th Congress), Florida",730
2014,"Congressional District 18 (114th Congress), Florida",1083
2014,"Congressional District 19 (114th Congress), Florida",971
2014,"Congressional District 20 (114th Congress), Florida",993
2014,"Congressional District 21 (114th Congress), Florida",1175
2014,"Congressional District 22 (114th Congress), Florida",1181
2014,"Congressional District 23 (114th Congress), Florida",1316
2014,"Congressional District 24 (114th Congress), Florida",1058
2014,"Congressional District 25 (114th Congress), Florida",1148
2014,"Congressional District 26 (114th Congress), Florida",1299
2014,"Congressional District 27 (114th Congress), Florida",1140
2014,"Congressional District 1 (114th Congress), Georgia",901
2014,"Congressional District 2 (114th Congress), Georgia",700
2014,"Congressional District 3 (114th Congress), Georgia",923
2014,"Congressional District 4 (114th Congress), Georgia",1000
2014,"Congressional District 5 (114th Congress), Georgia",1015
2014,"Congressional District 6 (114th Congress), Georgia",1273
2014,"Congressional District 7 (114th Congress), Georgia",1186
2014,"Congressional District 8 (114th Congress), Georgia",703
2014,"Congressional District 9 (114th Congress), Georgia",786
2014,"Congressional District 10 (114th Congress), Georgia",865
2014,"Congressional District 11 (114th Congress), Georgia",1111
2014,"Congressional District 12 (114th Congress), Georgia",726
2014,"Congressional District 13 (114th Congress), Georgia",1022
2014,"Congressional District 14 (114th Congress), Georgia",770
2014,"Congressional District 1 (114th Congress), Hawaii",1591
2014,"Congressional District 2 (114th Congress), Hawaii",1379
2014,"Congressional District 1 (114th Congress), Idaho",853
2014,"Congressional District 2 (114th Congress), Idaho",766
2014,"Congressional District 1 (114th Congress), Illinois",1040
2014,"Congressional District 2 (114th Congress), Illinois",990
2014,"Congressional District 3 (114th Congress), Illinois",1150
2014,"Congressional District 4 (114th Congress), Illinois",985
2014,"Congressional District 5 (114th Congress), Illinois",1389
2014,"Congressional District 6 (114th Congress), Illinois",1567
2014,"Congressional District 7 (114th Congress), Illinois",1228
2014,"Congressional District 8 (114th Congress), Illinois",1253
2014,"Congressional District 9 (114th Congress), Illinois",1262
2014,"Congressional District 10 (114th Congress), Illinois",1353
2014,"Congressional District 11 (114th Congress), Illinois",1318
2014,"Congressional District 12 (114th Congress), Illinois",717
2014,"Congressional District 13 (114th Congress), Illinois",762
2014,"Congressional District 14 (114th Congress), Illinois",1536
2014,"Congressional District 15 (114th Congress), Illinois",661
2014,"Congressional District 16 (114th Congress), Illinois",842
2014,"Congressional District 17 (114th Congress), Illinois",683
2014,"Congressional District 18 (114th Congress), Illinois",802
2014,"Congressional District 1 (114th Congress), Indiana",884
2014,"Congressional District 2 (114th Congress), Indiana",740
2014,"Congressional District 3 (114th Congress), Indiana",723
2014,"Congressional District 4 (114th Congress), Indiana",819
2014,"Congressional District 5 (114th Congress), Indiana",976
2014,"Congressional District 6 (114th Congress), Indiana",750
2014,"Congressional District 7 (114th Congress), Indiana",803
2014,"Congressional District 8 (114th Congress), Indiana",712
2014,"Congressional District 9 (114th Congress), Indiana",830
2014,"Congressional District 1 (114th Congress), Iowa",774
2014,"Congressional District 2 (114th Congress), Iowa",788
2014,"Congressional District 3 (114th Congress), Iowa",925
2014,"Congressional District 4 (114th Congress), Iowa",670
2014,"Congressional District 1 (114th Congress), Kansas",708
2014,"Congressional District 2 (114th Congress), Kansas",779
2014,"Congressional District 3 (114th Congress), Kansas",1074
2014,"Congressional District 4 (114th Congress), Kansas",788
2014,"Congressional District 1 (114th Congress), Kentucky",606
2014,"Congressional District 2 (114th Congress), Kentucky",718
2014,"Congressional District 3 (114th Congress), Kentucky",819
2014,"Congressional District 4 (114th Congress), Kentucky",856
2014,"Congressional District 5 (114th Congress), Kentucky",487
2014,"Congressional District 6 (114th Congress), Kentucky",786
2014,"Congressional District 1 (114th Congress), Louisiana",907
2014,"Congressional District 2 (114th Congress), Louisiana",838
2014,"Congressional District 3 (114th Congress), Louisiana",663
2014,"Congressional District 4 (114th Congress), Louisiana",657
2014,"Congressional District 5 (114th Congress), Louisiana",581
2014,"Congressional District 6 (114th Congress), Louisiana",871
2014,"Congressional District 1 (114th Congress), Maine",1019
2014,"Congressional District 2 (114th Congress), Maine",730
2014,"Congressional District 1 (114th Congress), Maryland",1165
2014,"Congressional District 2 (114th Congress), Maryland",1203
2014,"Congressional District 3 (114th Congress), Maryland",1492
2014,"Congressional District 4 (114th Congress), Maryland",1481
2014,"Congressional District 5 (114th Congress), Maryland",1707
2014,"Congressional District 6 (114th Congress), Maryland",1394
2014,"Congressional District 7 (114th Congress), Maryland",1150
2014,"Congressional District 8 (114th Congress), Maryland",1717
2014,"Congressional District 1 (114th Congress), Massachusetts",975
2014,"Congressional District 2 (114th Congress), Massachusetts",1166
2014,"Congressional District 3 (114th Congress), Massachusetts",1292
2014,"Congressional District 4 (114th Congress), Massachusetts",1579
2014,"Congressional District 5 (114th Congress), Massachusetts",1595
2014,"Congressional District 6 (114th Congress), Massachusetts",1488
2014,"Congressional District 7 (114th Congress), Massachusetts",1437
2014,"Congressional District 8 (114th Congress), Massachusetts",1517
2014,"Congressional District 9 (114th Congress), Massachusetts",1185
2014,"Congressional District 1 (114th Congress), Michigan",706
2014,"Congressional District 2 (114th Congress), Michigan",801
2014,"Congressional District 3 (114th Congress), Michigan",841
2014,"Congressional District 4 (114th Congress), Michigan",730
2014,"Congressional District 5 (114th Congress), Michigan",731
2014,"Congressional District 6 (114th Congress), Michigan",774
2014,"Congressional District 7 (114th Congress), Michigan",841
2014,"Congressional District 8 (114th Congress), Michigan",1016
2014,"Congressional District 9 (114th Congress), Michigan",897
