year,district,bach_deg_num,high_school_num,median_HH_income
2013,"Congressional District 1 (113th Congress), Alabama",72934,151709,22002
2013,"Congressional District 2 (113th Congress), Alabama",57610,151310,22185
2013,"Congressional District 3 (113th Congress), Alabama",55675,149501,22077
2013,"Congressional District 4 (113th Congress), Alabama",46061,157292,20421
2013,"Congressional District 5 (113th Congress), Alabama",90232,128814,25516
2013,"Congressional District 6 (113th Congress), Alabama",101090,123833,30209
2013,"Congressional District 7 (113th Congress), Alabama",52414,138675,17908
2013,"Congressional District (at Large) (113th Congress), Alaska",84038,129029,31103
2013,"Congressional District 1 (113th Congress), Arizona",64852,123666,23103
2013,"Congressional District 2 (113th Congress), Arizona",91298,103862,24514
2013,"Congressional District 3 (113th Congress), Arizona",41668,123551,20501
2013,"Congressional District 4 (113th Congress), Arizona",56904,168408,22320
2013,"Congressional District 5 (113th Congress), Arizona",110765,104988,31878
2013,"Congressional District 6 (113th Congress), Arizona",136977,104098,32197
2013,"Congressional District 7 (113th Congress), Arizona",37990,115286,19358
2013,"Congressional District 8 (113th Congress), Arizona",94723,138699,29907
2013,"Congressional District 9 (113th Congress), Arizona",106805,96591,26946
2013,"Congressional District 1 (113th Congress), Arkansas",51794,188951,19625
2013,"Congressional District 2 (113th Congress), Arkansas",84551,157620,24400
2013,"Congressional District 3 (113th Congress), Arkansas",76110,152955,22485
2013,"Congressional District 4 (113th Congress), Arkansas",50300,192288,19685
2013,"Congressional District 1 (113th Congress), California",71974,121412,21947
2013,"Congressional District 2 (113th Congress), California",119850,95979,30012
2013,"Congressional District 3 (113th Congress), California",66547,107737,24892
2013,"Congressional District 4 (113th Congress), California",103309,113140,30649
2013,"Congressional District 5 (113th Congress), California",97950,105495,29063
2013,"Congressional District 6 (113th Congress), California",77776,115330,23522
2013,"Congressional District 7 (113th Congress), California",99943,106050,30306
2013,"Congressional District 8 (113th Congress), California",37981,132420,21867
2013,"Congressional District 9 (113th Congress), California",61304,112139,23013
2013,"Congressional District 10 (113th Congress), California",49928,126811,23252
2013,"Congressional District 11 (113th Congress), California",132749,88617,32158
2013,"Congressional District 12 (113th Congress), California",186499,69940,41112
2013,"Congressional District 13 (113th Congress), California",122074,80016,30039
2013,"Congressional District 14 (113th Congress), California",140141,93683,35788
2013,"Congressional District 15 (113th Congress), California",127459,102140,35630
2013,"Congressional District 16 (113th Congress), California",33098,97285,17396
2013,"Congressional District 17 (113th Congress), California",147223,77798,43967
2013,"Congressional District 18 (113th Congress), California",152144,55714,48998
2013,"Congressional District 19 (113th Congress), California",96775,96569,30059
2013,"Congressional District 20 (113th Congress), California",70021,92719,24157
2013,"Congressional District 21 (113th Congress), California",23562,103509,17128
2013,"Congressional District 22 (113th Congress), California",66426,100610,22522
2013,"Congressional District 23 (113th Congress), California",55413,123027,24979
2013,"Congressional District 24 (113th Congress), California",90651,78466,25368
2013,"Congressional District 25 (113th Congress), California",79443,99748,30827
2013,"Congressional District 26 (113th Congress), California",87424,89329,28309
2013,"Congressional District 27 (113th Congress), California",129745,87171,28722
2013,"Congressional District 28 (113th Congress), California",162192,84979,27567
2013,"Congressional District 29 (113th Congress), California",61093,105373,20131
2013,"Congressional District 30 (113th Congress), California",138972,101412,31352
2013,"Congressional District 31 (113th Congress), California",65090,100486,23690
2013,"Congressional District 32 (113th Congress), California",67183,129390,21718
2013,"Congressional District 33 (113th Congress), California",180015,56250,46902
2013,"Congressional District 34 (113th Congress), California",78135,92880,17225
2013,"Congressional District 35 (113th Congress), California",47146,109909,21399
2013,"Congressional District 36 (113th Congress), California",60741,127392,21361
2013,"Congressional District 37 (113th Congress), California",109294,85476,23503
2013,"Congressional District 38 (113th Congress), California",71003,122244,24524
2013,"Congressional District 39 (113th Congress), California",128473,89767,30772
2013,"Congressional District 40 (113th Congress), California",24684,94569,17228
2013,"Congressional District 41 (113th Congress), California",46420,113084,21902
2013,"Congressional District 42 (113th Congress), California",76878,119717,30155
2013,"Congressional District 43 (113th Congress), California",79672,106026,22189
2013,"Congressional District 44 (113th Congress), California",35967,101175,19125
