year,district,mortgage_cost
2009,"Congressional District 1 (111th Congress), Alabama",759
2009,"Congressional District 2 (111th Congress), Alabama",658
2009,"Congressional District 3 (111th Congress), Alabama",654
2009,"Congressional District 4 (111th Congress), Alabama",563
2009,"Congressional District 5 (111th Congress), Alabama",684
2009,"Congressional District 6 (111th Congress), Alabama",951
2009,"Congressional District 7 (111th Congress), Alabama",705
2009,"Congressional District (at Large) (111th Congress), Alaska",1193
2009,"Congressional District 1 (111th Congress), Arizona",744
2009,"Congressional District 2 (111th Congress), Arizona",1088
2009,"Congressional District 3 (111th Congress), Arizona",1207
2009,"Congressional District 4 (111th Congress), Arizona",904
2009,"Congressional District 5 (111th Congress), Arizona",1164
2009,"Congressional District 6 (111th Congress), Arizona",1203
2009,"Congressional District 7 (111th Congress), Arizona",838
2009,"Congressional District 8 (111th Congress), Arizona",910
2009,"Congressional District 1 (111th Congress), Arkansas",572
2009,"Congressional District 2 (111th Congress), Arkansas",735
2009,"Congressional District 3 (111th Congress), Arkansas",658
2009,"Congressional District 4 (111th Congress), Arkansas",537
2009,"Congressional District 1 (111th Congress), California",1142
2009,"Congressional District 2 (111th Congress), California",944
2009,"Congressional District 3 (111th Congress), California",1446
2009,"Congressional District 4 (111th Congress), California",1386
2009,"Congressional District 5 (111th Congress), California",1045
2009,"Congressional District 6 (111th Congress), California",1597
2009,"Congressional District 7 (111th Congress), California",1498
2009,"Congressional District 8 (111th Congress), California",1528
2009,"Congressional District 9 (111th Congress), California",1254
2009,"Congressional District 10 (111th Congress), California",1723
2009,"Congressional District 11 (111th Congress), California",1720
2009,"Congressional District 12 (111th Congress), California",1802
2009,"Congressional District 13 (111th Congress), California",1605
2009,"Congressional District 14 (111th Congress), California",1801
2009,"Congressional District 15 (111th Congress), California",1806
2009,"Congressional District 16 (111th Congress), California",1713
2009,"Congressional District 17 (111th Congress), California",1389
2009,"Congressional District 18 (111th Congress), California",980
2009,"Congressional District 19 (111th Congress), California",1154
2009,"Congressional District 20 (111th Congress), California",834
2009,"Congressional District 21 (111th Congress), California",990
2009,"Congressional District 22 (111th Congress), California",1181
2009,"Congressional District 23 (111th Congress), California",1365
2009,"Congressional District 24 (111th Congress), California",1781
2009,"Congressional District 25 (111th Congress), California",1477
2009,"Congressional District 26 (111th Congress), California",1629
2009,"Congressional District 27 (111th Congress), California",1526
2009,"Congressional District 28 (111th Congress), California",1386
2009,"Congressional District 29 (111th Congress), California",1399
2009,"Congressional District 30 (111th Congress), California",1873
2009,"Congressional District 31 (111th Congress), California",991
2009,"Congressional District 32 (111th Congress), California",1279
2009,"Congressional District 33 (111th Congress), California",1193
2009,"Congressional District 34 (111th Congress), California",1021
2009,"Congressional District 35 (111th Congress), California",1155
2009,"Congressional District 36 (111th Congress), California",1533
2009,"Congressional District 37 (111th Congress), California",1201
2009,"Congressional District 38 (111th Congress), California",1328
2009,"Congressional District 39 (111th Congress), California",1353
2009,"Congressional District 40 (111th Congress), California",1489
2009,"Congressional District 41 (111th Congress), California",1118
2009,"Congressional District 42 (111th Congress), California",2022
2009,"Congressional District 43 (111th Congress), California",1264
2009,"Congressional District 44 (111th Congress), California",1660
2009,"Congressional District 45 (111th Congress), California",1302
2009,"Congressional District 46 (111th Congress), California",1610
2009,"Congressional District 47 (111th Congress), California",1331
2009,"Congressional District 48 (111th Congress), California",1901
2009,"Congressional District 49 (111th Congress), California",1525
2009,"Congressional District 50 (111th Congress), California",1822
