year,district,mortgage_cost
2015,"Congressional District 11 (114th Congress), Georgia",1148
2015,"Congressional District 12 (114th Congress), Georgia",739
2015,"Congressional District 13 (114th Congress), Georgia",999
2015,"Congressional District 14 (114th Congress), Georgia",758
2015,"Congressional District 1 (114th Congress), Hawaii",1626
2015,"Congressional District 2 (114th Congress), Hawaii",1428
2015,"Congressional District 1 (114th Congress), Idaho",870
2015,"Congressional District 2 (114th Congress), Idaho",789
2015,"Congressional District 1 (114th Congress), Illinois",1060
2015,"Congressional District 2 (114th Congress), Illinois",992
2015,"Congressional District 3 (114th Congress), Illinois",1150
2015,"Congressional District 4 (114th Congress), Illinois",1031
2015,"Congressional District 5 (114th Congress), Illinois",1425
2015,"Congressional District 6 (114th Congress), Illinois",1569
2015,"Congressional District 7 (114th Congress), Illinois",1230
2015,"Congressional District 8 (114th Congress), Illinois",1255
2015,"Congressional District 9 (114th Congress), Illinois",1280
2015,"Congressional District 10 (114th Congress), Illinois",1381
2015,"Congressional District 11 (114th Congress), Illinois",1290
2015,"Congressional District 12 (114th Congress), Illinois",736
2015,"Congressional District 13 (114th Congress), Illinois",790
2015,"Congressional District 14 (114th Congress), Illinois",1524
2015,"Congressional District 15 (114th Congress), Illinois",650
2015,"Congressional District 16 (114th Congress), Illinois",872
2015,"Congressional District 17 (114th Congress), Illinois",692
2015,"Congressional District 18 (114th Congress), Illinois",814
2015,"Congressional District 1 (114th Congress), Indiana",894
2015,"Congressional District 2 (114th Congress), Indiana",734
2015,"Congressional District 3 (114th Congress), Indiana",734
2015,"Congressional District 4 (114th Congress), Indiana",812
2015,"Congressional District 5 (114th Congress), Indiana",990
2015,"Congressional District 6 (114th Congress), Indiana",752
2015,"Congressional District 7 (114th Congress), Indiana",808
2015,"Congressional District 8 (114th Congress), Indiana",700
2015,"Congressional District 9 (114th Congress), Indiana",835
2015,"Congressional District 1 (114th Congress), Iowa",750
2015,"Congressional District 2 (114th Congress), Iowa",775
2015,"Congressional District 3 (114th Congress), Iowa",911
2015,"Congressional District 4 (114th Congress), Iowa",679
