year,district,black_pop,total_pop,white_pop
2005,"Congressional District 1 (109th Congress), Alabama",180257,643536,442165
2005,"Congressional District 2 (109th Congress), Alabama",187758,629035,424567
2005,"Congressional District 3 (109th Congress), Alabama",193818,616491,402707
2005,"Congressional District 4 (109th Congress), Alabama",30069,634109,582022
2005,"Congressional District 5 (109th Congress), Alabama",107583,649666,509757
2005,"Congressional District 6 (109th Congress), Alabama",63646,679525,596136
2005,"Congressional District 7 (109th Congress), Alabama",381199,590196,196273
2005,"Congressional District (at Large) (109th Congress), Alaska",22103,641724,443874
2005,"Congressional District 1 (109th Congress), Arizona",7223,674569,450112
2005,"Congressional District 2 (109th Congress), Arizona",25123,848603,697394
2005,"Congressional District 3 (109th Congress), Arizona",19424,654168,544038
2005,"Congressional District 4 (109th Congress), Arizona",44527,676666,441828
2005,"Congressional District 5 (109th Congress), Arizona",21953,676482,566335
2005,"Congressional District 6 (109th Congress), Arizona",23043,869666,720093
2005,"Congressional District 7 (109th Congress), Arizona",17418,730215,436932
2005,"Congressional District 8 (109th Congress), Arizona",22058,699470,584072
2005,"Congressional District 1 (109th Congress), Arkansas",108653,658744,534459
2005,"Congressional District 2 (109th Congress), Arkansas",135452,678284,509029
2005,"Congressional District 3 (109th Congress), Arkansas",15984,722962,630985
2005,"Congressional District 4 (109th Congress), Arkansas",154171,641441,460596
2005,"Congressional District 1 (109th Congress), California",7015,653052,524535
2005,"Congressional District 2 (109th Congress), California",7333,687982,543345
2005,"Congressional District 3 (109th Congress), California",36703,733436,534977
2005,"Congressional District 4 (109th Congress), California",6921,711823,617260
2005,"Congressional District 5 (109th Congress), California",98993,664084,328182
2005,"Congressional District 6 (109th Congress), California",10511,616098,499064
2005,"Congressional District 7 (109th Congress), California",102525,632578,310771
2005,"Congressional District 8 (109th Congress), California",44277,590357,320956
2005,"Congressional District 9 (109th Congress), California",137618,600061,265114
2005,"Congressional District 10 (109th Congress), California",46150,688345,435056
2005,"Congressional District 11 (109th Congress), California",33000,748682,538309
2005,"Congressional District 12 (109th Congress), California",16264,618033,326275
2005,"Congressional District 13 (109th Congress), California",48372,636098,250407
2005,"Congressional District 14 (109th Congress), California",15057,633985,418035
2005,"Congressional District 15 (109th Congress), California",14451,640335,323644
2005,"Congressional District 16 (109th Congress), California",18635,624586,322078
2005,"Congressional District 17 (109th Congress), California",11496,614457,428994
2005,"Congressional District 18 (109th Congress), California",35269,690722,449574
2005,"Congressional District 19 (109th Congress), California",25530,710736,541652
2005,"Congressional District 20 (109th Congress), California",32573,635440,344398
2005,"Congressional District 21 (109th Congress), California",17527,715887,481728
2005,"Congressional District 22 (109th Congress), California",43135,697345,503674
2005,"Congressional District 23 (109th Congress), California",17196,637713,463321
2005,"Congressional District 24 (109th Congress), California",10570,654325,498815
2005,"Congressional District 25 (109th Congress), California",65676,737052,463404
2005,"Congressional District 26 (109th Congress), California",37028,674267,435917
2005,"Congressional District 27 (109th Congress), California",35515,660583,372328
2005,"Congressional District 28 (109th Congress), California",21442,660746,362536
2005,"Congressional District 29 (109th Congress), California",36745,625959,337230
2005,"Congressional District 30 (109th Congress), California",14926,625978,506471
2005,"Congressional District 31 (109th Congress), California",25173,627026,249630
2005,"Congressional District 32 (109th Congress), California",18412,656869,301689
2005,"Congressional District 33 (109th Congress), California",175237,631055,221667
