year,district,black_pop,total_pop,white_pop
2016,"Congressional District 1 (115th Congress), Alabama",192647,704457,474871
2016,"Congressional District 2 (115th Congress), Alabama",219450,681621,429562
2016,"Congressional District 3 (115th Congress), Alabama",186240,709482,492798
2016,"Congressional District 4 (115th Congress), Alabama",48274,683273,603756
2016,"Congressional District 5 (115th Congress), Alabama",127192,712529,541334
2016,"Congressional District 6 (115th Congress), Alabama",104942,706308,554343
2016,"Congressional District 7 (115th Congress), Alabama",422357,665630,219720
2016,"Congressional District (at Large) (115th Congress), Alaska",23753,741894,477895
2016,"Congressional District 1 (115th Congress), Arizona",17994,766924,501533
2016,"Congressional District 2 (115th Congress), Arizona",29259,722770,589720
2016,"Congressional District 3 (115th Congress), Arizona",33567,752284,483361
2016,"Congressional District 4 (115th Congress), Arizona",12380,753807,661739
2016,"Congressional District 5 (115th Congress), Arizona",27576,785110,664846
2016,"Congressional District 6 (115th Congress), Arizona",16806,764776,647628
2016,"Congressional District 7 (115th Congress), Arizona",80721,818387,469488
2016,"Congressional District 8 (115th Congress), Arizona",30356,782511,659281
2016,"Congressional District 9 (115th Congress), Arizona",51015,784502,577348
2016,"Congressional District 1 (115th Congress), Arkansas",128849,725733,564015
2016,"Congressional District 2 (115th Congress), Arkansas",169451,758929,538884
2016,"Congressional District 3 (115th Congress), Arkansas",24659,794237,659604
2016,"Congressional District 4 (115th Congress), Arkansas",141557,709349,527563
2016,"Congressional District 1 (115th Congress), California",9277,703162,612131
2016,"Congressional District 2 (115th Congress), California",9593,716202,570621
2016,"Congressional District 3 (115th Congress), California",46680,740253,492473
2016,"Congressional District 4 (115th Congress), California",10067,737169,622130
2016,"Congressional District 5 (115th Congress), California",47037,735968,457424
2016,"Congressional District 6 (115th Congress), California",98366,763987,399978
2016,"Congressional District 7 (115th Congress), California",51534,738468,465884
2016,"Congressional District 8 (115th Congress), California",65440,723600,548716
2016,"Congressional District 9 (115th Congress), California",72228,760794,415860
2016,"Congressional District 10 (115th Congress), California",25270,744989,532992
2016,"Congressional District 11 (115th Congress), California",57698,756337,464397
2016,"Congressional District 12 (115th Congress), California",39062,756991,369650
2016,"Congressional District 13 (115th Congress), California",129791,755243,315788
2016,"Congressional District 14 (115th Congress), California",20072,749041,332808
2016,"Congressional District 15 (115th Congress), California",38862,769371,360658
2016,"Congressional District 16 (115th Congress), California",45607,730141,423478
2016,"Congressional District 17 (115th Congress), California",21590,774647,222446
2016,"Congressional District 18 (115th Congress), California",14992,739012,457582
2016,"Congressional District 19 (115th Congress), California",21105,762005,326934
2016,"Congressional District 20 (115th Congress), California",13614,743764,471702
2016,"Congressional District 21 (115th Congress), California",28228,726385,508060
2016,"Congressional District 22 (115th Congress), California",18265,755289,556374
2016,"Congressional District 23 (115th Congress), California",46979,725299,509317
2016,"Congressional District 24 (115th Congress), California",13487,738700,587967
2016,"Congressional District 25 (115th Congress), California",50867,728858,470038
2016,"Congressional District 26 (115th Congress), California",12638,726532,585872
2016,"Congressional District 27 (115th Congress), California",36874,724293,272728
2016,"Congressional District 28 (115th Congress), California",22690,709613,470995
2016,"Congressional District 29 (115th Congress), California",23707,726264,418322
2016,"Congressional District 30 (115th Congress), California",45261,759943,517383
2016,"Congressional District 31 (115th Congress), California",75512,742627,456559
2016,"Congressional District 32 (115th Congress), California",23671,719488,290839
2016,"Congressional District 33 (115th Congress), California",22501,712919,517760
2016,"Congressional District 34 (115th Congress), California",34628,758622,316876
2016,"Congressional District 35 (115th Congress), California",47079,744729,344122
2016,"Congressional District 36 (115th Congress), California",33439,749841,515188
2016,"Congressional District 37 (115th Congress), California",159397,729010,305751
2016,"Congressional District 38 (115th Congress), California",32845,708889,304070
2016,"Congressional District 39 (115th Congress), California",17724,729909,353478
2016,"Congressional District 40 (115th Congress), California",30650,723345,358263
2016,"Congressional District 41 (115th Congress), California",73014,760165,349650
2016,"Congressional District 42 (115th Congress), California",39691,793044,488486
2016,"Congressional District 43 (115th Congress), California",160363,724077,244752
2016,"Congressional District 44 (115th Congress), California",110038,723685,323837
2016,"Congressional District 45 (115th Congress), California",12535,774130,486619
2016,"Congressional District 46 (115th Congress), California",12620,736031,436360
2016,"Congressional District 47 (115th Congress), California",55075,714311,375467
2016,"Congressional District 48 (115th Congress), California",9740,727100,506299
2016,"Congressional District 49 (115th Congress), California",16624,739697,602947
2016,"Congressional District 50 (115th Congress), California",27060,751527,565672
2016,"Congressional District 51 (115th Congress), California",50698,747202,497387
2016,"Congressional District 52 (115th Congress), California",21469,750537,522076
2016,"Congressional District 53 (115th Congress), California",62026,766812,497068
2016,"Congressional District 1 (115th Congress), Colorado",70294,812843,629230
2016,"Congressional District 2 (115th Congress), Colorado",7832,803470,721991
2016,"Congressional District 3 (115th Congress), Colorado",7341,738119,655140
2016,"Congressional District 4 (115th Congress), Colorado",11425,795836,731835
2016,"Congressional District 5 (115th Congress), Colorado",46332,786939,642994
2016,"Congressional District 6 (115th Congress), Colorado",76749,813566,584127
2016,"Congressional District 7 (115th Congress), Colorado",14169,789772,689604
2016,"Congressional District 1 (115th Congress), Connecticut",110578,712461,492998
2016,"Congressional District 2 (115th Congress), Connecticut",28710,705034,609068
2016,"Congressional District 3 (115th Congress), Connecticut",100372,717162,520873
2016,"Congressional District 4 (115th Congress), Connecticut",92198,732469,536758
2016,"Congressional District 5 (115th Congress), Connecticut",47074,709326,582195
2016,"Congressional District (at Large) (115th Congress), Delaware",209911,952065,659091
2016,"Delegate District (at Large) (115th Congress), District of Columbia",320554,681170,277268
2016,"Congressional District 1 (115th Congress), Florida",105270,762506,585415
2016,"Congressional District 2 (115th Congress), Florida",91756,720418,588570
2016,"Congressional District 3 (115th Congress), Florida",113730,732088,558389
2016,"Congressional District 4 (115th Congress), Florida",68651,778620,638296
2016,"Congressional District 5 (115th Congress), Florida",347373,728346,327600
2016,"Congressional District 6 (115th Congress), Florida",78484,765005,643603
2016,"Congressional District 7 (115th Congress), Florida",81270,762326,593834
2016,"Congressional District 8 (115th Congress), Florida",69137,744430,619383
2016,"Congressional District 9 (115th Congress), Florida",117306,832753,620837
2016,"Congressional District 10 (115th Congress), Florida",223260,791447,451551
2016,"Congressional District 11 (115th Congress), Florida",64055,758331,659339
2016,"Congressional District 12 (115th Congress), Florida",37040,760472,673398
2016,"Congressional District 13 (115th Congress), Florida",89432,728996,575932
2016,"Congressional District 14 (115th Congress), Florida",150976,769968,530438
2016,"Congressional District 15 (115th Congress), Florida",106063,762822,580409
2016,"Congressional District 16 (115th Congress), Florida",62183,803454,672814
2016,"Congressional District 17 (115th Congress), Florida",57744,768138,666637
2016,"Congressional District 18 (115th Congress), Florida",93925,754652,613642
2016,"Congressional District 19 (115th Congress), Florida",63887,799332,687450
2016,"Congressional District 20 (115th Congress), Florida",421052,794621,314070
2016,"Congressional District 21 (115th Congress), Florida",122644,758201,582382
2016,"Congressional District 22 (115th Congress), Florida",116739,737019,553571
2016,"Congressional District 23 (115th Congress), Florida",100461,749377,556073
2016,"Congressional District 24 (115th Congress), Florida",365096,749624,316828
2016,"Congressional District 25 (115th Congress), Florida",35268,763628,683958
2016,"Congressional District 26 (115th Congress), Florida",88692,788816,640954
2016,"Congressional District 27 (115th Congress), Florida",38934,747049,638792
2016,"Congressional District 1 (115th Congress), Georgia",217769,734172,462488
2016,"Congressional District 2 (115th Congress), Georgia",348632,672244,284006
2016,"Congressional District 3 (115th Congress), Georgia",179905,729810,502554
2016,"Congressional District 4 (115th Congress), Georgia",446019,752273,226266
2016,"Congressional District 5 (115th Congress), Georgia",431485,747809,238907
2016,"Congressional District 6 (115th Congress), Georgia",112868,756004,511912
