year,district,bach_deg_num,high_school_num,median_HH_income
2014,"Congressional District 1 (114th Congress), Alabama",71101,154423,23349
2014,"Congressional District 2 (114th Congress), Alabama",59726,146658,22063
2014,"Congressional District 3 (114th Congress), Alabama",58202,154346,21601
2014,"Congressional District 4 (114th Congress), Alabama",46150,163907,20821
2014,"Congressional District 5 (114th Congress), Alabama",89911,128197,25580
2014,"Congressional District 6 (114th Congress), Alabama",100772,126435,28759
2014,"Congressional District 7 (114th Congress), Alabama",52196,154699,17611
2014,"Congressional District (at Large) (114th Congress), Alaska",85634,131987,31557
2014,"Congressional District 1 (114th Congress), Arizona",67744,131291,22818
2014,"Congressional District 2 (114th Congress), Arizona",94657,106740,25887
2014,"Congressional District 3 (114th Congress), Arizona",47727,117556,20035
2014,"Congressional District 4 (114th Congress), Arizona",64237,163251,22619
2014,"Congressional District 5 (114th Congress), Arizona",109458,113631,31803
2014,"Congressional District 6 (114th Congress), Arizona",140789,94687,33507
2014,"Congressional District 7 (114th Congress), Arizona",40177,119270,20334
2014,"Congressional District 8 (114th Congress), Arizona",92411,140171,31051
2014,"Congressional District 9 (114th Congress), Arizona",108584,93215,27933
2014,"Congressional District 1 (114th Congress), Arkansas",50446,185076,20450
2014,"Congressional District 2 (114th Congress), Arkansas",92135,155401,24738
2014,"Congressional District 3 (114th Congress), Arkansas",78498,155326,24013
2014,"Congressional District 4 (114th Congress), Arkansas",51332,190983,20458
2014,"Congressional District 1 (114th Congress), California",75321,121296,22840
2014,"Congressional District 2 (114th Congress), California",122237,101360,30266
2014,"Congressional District 3 (114th Congress), California",67591,107876,25601
2014,"Congressional District 4 (114th Congress), California",108512,109762,31298
2014,"Congressional District 5 (114th Congress), California",106919,100933,30256
2014,"Congressional District 6 (114th Congress), California",80514,110045,23737
2014,"Congressional District 7 (114th Congress), California",107774,105598,30826
2014,"Congressional District 8 (114th Congress), California",43074,125667,22305
2014,"Congressional District 9 (114th Congress), California",61651,122031,23657
2014,"Congressional District 10 (114th Congress), California",55539,129553,24993
2014,"Congressional District 11 (114th Congress), California",134504,96195,33337
2014,"Congressional District 12 (114th Congress), California",197068,71932,41882
2014,"Congressional District 13 (114th Congress), California",128210,76000,31328
2014,"Congressional District 14 (114th Congress), California",154225,87279,38813
2014,"Congressional District 15 (114th Congress), California",126847,103916,37153
2014,"Congressional District 16 (114th Congress), California",33869,105477,17796
2014,"Congressional District 17 (114th Congress), California",149863,82967,44435
2014,"Congressional District 18 (114th Congress), California",152504,60280,48241
2014,"Congressional District 19 (114th Congress), California",105579,99724,30568
2014,"Congressional District 20 (114th Congress), California",73909,96433,24526
2014,"Congressional District 21 (114th Congress), California",20986,107034,17011
2014,"Congressional District 22 (114th Congress), California",69726,106162,24466
2014,"Congressional District 23 (114th Congress), California",59891,131631,25583
2014,"Congressional District 24 (114th Congress), California",91685,85855,25421
2014,"Congressional District 25 (114th Congress), California",82753,106704,30948
2014,"Congressional District 26 (114th Congress), California",95072,89263,28910
2014,"Congressional District 27 (114th Congress), California",124204,98915,27917
2014,"Congressional District 28 (114th Congress), California",158418,97265,29859
2014,"Congressional District 29 (114th Congress), California",62824,120486,20732
2014,"Congressional District 30 (114th Congress), California",150843,95217,31774
2014,"Congressional District 31 (114th Congress), California",65421,120262,24444
2014,"Congressional District 32 (114th Congress), California",68802,125096,22276
2014,"Congressional District 33 (114th Congress), California",190919,49243,50517
2014,"Congressional District 34 (114th Congress), California",83281,99990,17833
2014,"Congressional District 35 (114th Congress), California",43944,119341,21726
2014,"Congressional District 36 (114th Congress), California",64789,135614,22363
2014,"Congressional District 37 (114th Congress), California",109884,86766,25546
2014,"Congressional District 38 (114th Congress), California",69616,124530,25063
2014,"Congressional District 39 (114th Congress), California",128542,87566,31534
2014,"Congressional District 40 (114th Congress), California",28372,96859,17444
2014,"Congressional District 41 (114th Congress), California",41710,124262,22316
2014,"Congressional District 42 (114th Congress), California",74071,117881,28875
2014,"Congressional District 43 (114th Congress), California",80906,104939,23313
2014,"Congressional District 44 (114th Congress), California",35332,108168,19505
2014,"Congressional District 45 (114th Congress), California",163802,69552,40625
2014,"Congressional District 46 (114th Congress), California",59349,106179,22036
2014,"Congressional District 47 (114th Congress), California",95462,94962,26870
2014,"Congressional District 48 (114th Congress), California",144469,79148,36793
2014,"Congressional District 49 (114th Congress), California",130917,77144,34123
2014,"Congressional District 50 (114th Congress), California",92578,111173,27673
2014,"Congressional District 51 (114th Congress), California",46315,109934,19740
2014,"Congressional District 52 (114th Congress), California",178168,63186,40324
2014,"Congressional District 53 (114th Congress), California",121401,96202,31124
2014,"Congressional District 1 (114th Congress), Colorado",150921,99348,32210
2014,"Congressional District 2 (114th Congress), Colorado",158539,82297,31673
2014,"Congressional District 3 (114th Congress), Colorado",101713,133526,25639
2014,"Congressional District 4 (114th Congress), Colorado",108342,124013,30986
2014,"Congressional District 5 (114th Congress), Colorado",102192,111698,27806
2014,"Congressional District 6 (114th Congress), Colorado",141985,98697,35112
2014,"Congressional District 7 (114th Congress), Colorado",98466,134237,31134
2014,"Congressional District 1 (114th Congress), Connecticut",104682,134955,32490
2014,"Congressional District 2 (114th Congress), Connecticut",92948,146318,31812
2014,"Congressional District 3 (114th Congress), Connecticut",94701,150653,31733
2014,"Congressional District 4 (114th Congress), Connecticut",135233,101672,37161
