year,district,median_age
2017,"Congressional District 1 (115th Congress), Alabama",40.0
2017,"Congressional District 2 (115th Congress), Alabama",38.5
2017,"Congressional District 3 (115th Congress), Alabama",38.1
2017,"Congressional District 4 (115th Congress), Alabama",40.7
2017,"Congressional District 5 (115th Congress), Alabama",39.5
2017,"Congressional District 6 (115th Congress), Alabama",39.1
2017,"Congressional District 7 (115th Congress), Alabama",36.3
2017,"Congressional District (at Large) (115th Congress), Alaska",34.5
2017,"Congressional District 1 (115th Congress), Arizona",37.6
2017,"Congressional District 2 (115th Congress), Arizona",41.4
2017,"Congressional District 3 (115th Congress), Arizona",31.8
2017,"Congressional District 4 (115th Congress), Arizona",48.1
2017,"Congressional District 5 (115th Congress), Arizona",38.0
2017,"Congressional District 6 (115th Congress), Arizona",42.3
2017,"Congressional District 7 (115th Congress), Arizona",29.7
2017,"Congressional District 8 (115th Congress), Arizona",43.1
2017,"Congressional District 9 (115th Congress), Arizona",33.5
2017,"Congressional District 1 (115th Congress), Arkansas",39.7
2017,"Congressional District 2 (115th Congress), Arkansas",37.4
2017,"Congressional District 3 (115th Congress), Arkansas",35.5
2017,"Congressional District 4 (115th Congress), Arkansas",40.8
2017,"Congressional District 1 (115th Congress), California",42.3
2017,"Congressional District 2 (115th Congress), California",44.3
2017,"Congressional District 3 (115th Congress), California",35.2
2017,"Congressional District 4 (115th Congress), California",44.6
2017,"Congressional District 5 (115th Congress), California",40.2
2017,"Congressional District 6 (115th Congress), California",34.4
2017,"Congressional District 7 (115th Congress), California",38.7
2017,"Congressional District 8 (115th Congress), California",34.2
2017,"Congressional District 9 (115th Congress), California",35.0
2017,"Congressional District 10 (115th Congress), California",34.6
2017,"Congressional District 11 (115th Congress), California",39.7
2017,"Congressional District 12 (115th Congress), California",38.2
2017,"Congressional District 13 (115th Congress), California",36.8
2017,"Congressional District 14 (115th Congress), California",39.4
2017,"Congressional District 15 (115th Congress), California",38.5
2017,"Congressional District 16 (115th Congress), California",30.8
2017,"Congressional District 17 (115th Congress), California",36.8
2017,"Congressional District 18 (115th Congress), California",39.8
2017,"Congressional District 19 (115th Congress), California",36.7
2017,"Congressional District 20 (115th Congress), California",34.9
2017,"Congressional District 21 (115th Congress), California",30.0
2017,"Congressional District 22 (115th Congress), California",32.2
2017,"Congressional District 23 (115th Congress), California",34.5
2017,"Congressional District 24 (115th Congress), California",36.0
2017,"Congressional District 25 (115th Congress), California",35.8
2017,"Congressional District 26 (115th Congress), California",38.0
2017,"Congressional District 27 (115th Congress), California",41.2
2017,"Congressional District 28 (115th Congress), California",40.3
2017,"Congressional District 29 (115th Congress), California",35.3
2017,"Congressional District 30 (115th Congress), California",39.3
2017,"Congressional District 31 (115th Congress), California",33.0
2017,"Congressional District 32 (115th Congress), California",37.1
2017,"Congressional District 33 (115th Congress), California",41.2
2017,"Congressional District 34 (115th Congress), California",34.8
2017,"Congressional District 35 (115th Congress), California",32.6
2017,"Congressional District 36 (115th Congress), California",43.7
2017,"Congressional District 37 (115th Congress), California",35.5
