year,district,black_pop,total_pop,white_pop
2008,"Congressional District 1 (110th Congress), Alabama",181824,672708,461248
2008,"Congressional District 2 (110th Congress), Alabama",202187,651681,428880
2008,"Congressional District 3 (110th Congress), Alabama",218573,665665,430171
2008,"Congressional District 4 (110th Congress), Alabama",30093,650786,596758
2008,"Congressional District 5 (110th Congress), Alabama",124371,689993,531875
2008,"Congressional District 6 (110th Congress), Alabama",90697,739397,624447
2008,"Congressional District 7 (110th Congress), Alabama",372898,591670,203172
2008,"Congressional District (at Large) (110th Congress), Alaska",24883,686293,474317
2008,"Congressional District 1 (110th Congress), Arizona",15555,767469,524455
2008,"Congressional District 2 (110th Congress), Arizona",33058,991439,825461
2008,"Congressional District 3 (110th Congress), Arizona",28312,734739,615789
2008,"Congressional District 4 (110th Congress), Arizona",53502,753506,573413
2008,"Congressional District 5 (110th Congress), Arizona",21910,689554,591093
2008,"Congressional District 6 (110th Congress), Arizona",25761,957920,813968
2008,"Congressional District 7 (110th Congress), Arizona",30100,840106,599306
2008,"Congressional District 8 (110th Congress), Arizona",27560,765447,660502
2008,"Congressional District 1 (110th Congress), Arkansas",114123,676900,546764
2008,"Congressional District 2 (110th Congress), Arkansas",148501,725377,538506
2008,"Congressional District 3 (110th Congress), Arkansas",19582,790522,693070
2008,"Congressional District 4 (110th Congress), Arkansas",160430,662591,469283
2008,"Congressional District 1 (110th Congress), California",13474,685423,541322
2008,"Congressional District 2 (110th Congress), California",7820,710375,571074
2008,"Congressional District 3 (110th Congress), California",47494,784306,564117
2008,"Congressional District 4 (110th Congress), California",12217,755610,645039
2008,"Congressional District 5 (110th Congress), California",94166,678719,361070
2008,"Congressional District 6 (110th Congress), California",14993,649613,531774
2008,"Congressional District 7 (110th Congress), California",93664,657472,348105
2008,"Congressional District 8 (110th Congress), California",44705,664963,363967
2008,"Congressional District 9 (110th Congress), California",126853,623814,301173
2008,"Congressional District 10 (110th Congress), California",56114,696175,465529
2008,"Congressional District 11 (110th Congress), California",38527,802588,547764
2008,"Congressional District 12 (110th Congress), California",17792,662783,371681
2008,"Congressional District 13 (110th Congress), California",52460,647397,259193
2008,"Congressional District 14 (110th Congress), California",18116,653246,420056
2008,"Congressional District 15 (110th Congress), California",12817,671729,332137
2008,"Congressional District 16 (110th Congress), California",22315,655743,337124
2008,"Congressional District 17 (110th Congress), California",16080,642682,501493
2008,"Congressional District 18 (110th Congress), California",45951,686109,445543
2008,"Congressional District 19 (110th Congress), California",31614,767694,592560
2008,"Congressional District 20 (110th Congress), California",45961,702874,406212
2008,"Congressional District 21 (110th Congress), California",18625,766227,556205
2008,"Congressional District 22 (110th Congress), California",44187,768635,571192
2008,"Congressional District 23 (110th Congress), California",11430,669291,448802
2008,"Congressional District 24 (110th Congress), California",8497,666524,500336
2008,"Congressional District 25 (110th Congress), California",75199,819973,550286
2008,"Congressional District 26 (110th Congress), California",28611,688705,415125
2008,"Congressional District 27 (110th Congress), California",31078,683277,375247
2008,"Congressional District 28 (110th Congress), California",23977,635023,346087
2008,"Congressional District 29 (110th Congress), California",34680,655941,388891
2008,"Congressional District 30 (110th Congress), California",21694,668045,529276
2008,"Congressional District 31 (110th Congress), California",29258,630150,270013
2008,"Congressional District 32 (110th Congress), California",15539,651858,269730
2008,"Congressional District 33 (110th Congress), California",177748,651169,210471
2008,"Congressional District 34 (110th Congress), California",28213,662692,322291
2008,"Congressional District 35 (110th Congress), California",190697,664849,267212
2008,"Congressional District 36 (110th Congress), California",31709,662427,418167
2008,"Congressional District 37 (110th Congress), California",152256,674130,247761
2008,"Congressional District 38 (110th Congress), California",19139,629942,383698
2008,"Congressional District 39 (110th Congress), California",33929,635955,306844
2008,"Congressional District 40 (110th Congress), California",19699,670944,391377
2008,"Congressional District 41 (110th Congress), California",45233,760575,559501
2008,"Congressional District 42 (110th Congress), California",17776,680405,441009
2008,"Congressional District 43 (110th Congress), California",82951,731136,365379
