year,district,median_age
2008,"Congressional District 1 (110th Congress), Alabama",37.3
2008,"Congressional District 2 (110th Congress), Alabama",37.0
2008,"Congressional District 3 (110th Congress), Alabama",36.9
2008,"Congressional District 4 (110th Congress), Alabama",38.7
2008,"Congressional District 5 (110th Congress), Alabama",38.4
2008,"Congressional District 6 (110th Congress), Alabama",37.9
2008,"Congressional District 7 (110th Congress), Alabama",35.4
2008,"Congressional District (at Large) (110th Congress), Alaska",33.0
2008,"Congressional District 1 (110th Congress), Arizona",35.9
2008,"Congressional District 2 (110th Congress), Arizona",38.1
2008,"Congressional District 3 (110th Congress), Arizona",36.7
2008,"Congressional District 4 (110th Congress), Arizona",28.4
2008,"Congressional District 5 (110th Congress), Arizona",36.8
2008,"Congressional District 6 (110th Congress), Arizona",35.1
2008,"Congressional District 7 (110th Congress), Arizona",31.6
2008,"Congressional District 8 (110th Congress), Arizona",41.0
2008,"Congressional District 1 (110th Congress), Arkansas",38.5
2008,"Congressional District 2 (110th Congress), Arkansas",36.7
2008,"Congressional District 3 (110th Congress), Arkansas",35.1
2008,"Congressional District 4 (110th Congress), Arkansas",39.0
2008,"Congressional District 1 (110th Congress), California",36.0
2008,"Congressional District 2 (110th Congress), California",35.5
2008,"Congressional District 3 (110th Congress), California",37.3
2008,"Congressional District 4 (110th Congress), California",39.8
2008,"Congressional District 5 (110th Congress), California",32.9
2008,"Congressional District 6 (110th Congress), California",41.0
2008,"Congressional District 7 (110th Congress), California",36.4
2008,"Congressional District 8 (110th Congress), California",40.1
2008,"Congressional District 9 (110th Congress), California",36.7
2008,"Congressional District 10 (110th Congress), California",38.0
2008,"Congressional District 11 (110th Congress), California",34.8
2008,"Congressional District 12 (110th Congress), California",41.2
2008,"Congressional District 13 (110th Congress), California",38.0
2008,"Congressional District 14 (110th Congress), California",38.9
2008,"Congressional District 15 (110th Congress), California",37.6
2008,"Congressional District 16 (110th Congress), California",34.8
2008,"Congressional District 17 (110th Congress), California",33.3
2008,"Congressional District 18 (110th Congress), California",30.1
2008,"Congressional District 19 (110th Congress), California",33.7
2008,"Congressional District 20 (110th Congress), California",28.3
2008,"Congressional District 21 (110th Congress), California",30.1
2008,"Congressional District 22 (110th Congress), California",33.0
2008,"Congressional District 23 (110th Congress), California",32.4
2008,"Congressional District 24 (110th Congress), California",38.3
2008,"Congressional District 25 (110th Congress), California",32.4
2008,"Congressional District 26 (110th Congress), California",37.7
2008,"Congressional District 27 (110th Congress), California",35.9
2008,"Congressional District 28 (110th Congress), California",33.0
2008,"Congressional District 29 (110th Congress), California",39.4
2008,"Congressional District 30 (110th Congress), California",41.0
2008,"Congressional District 31 (110th Congress), California",33.4
2008,"Congressional District 32 (110th Congress), California",34.2
2008,"Congressional District 33 (110th Congress), California",34.3
