year,district,bach_deg_num,median_HH_income,high_school_num
2006,"Congressional District 1 (109th Congress), Alabama",56006,20810,157497
2006,"Congressional District 2 (109th Congress), Alabama",49506,19304,147851
2006,"Congressional District 3 (109th Congress), Alabama",46787,17839,137403
2006,"Congressional District 4 (109th Congress), Alabama",34236,18103,153958
2006,"Congressional District 5 (109th Congress), Alabama",77696,22008,130665
2006,"Congressional District 6 (109th Congress), Alabama",98771,28886,131628
2006,"Congressional District 7 (109th Congress), Alabama",40120,16275,127220
2006,"Congressional District (at Large) (109th Congress), Alaska",72258,25793,119251
2006,"Congressional District 1 (109th Congress), Arizona",53123,19726,143568
2006,"Congressional District 2 (109th Congress), Arizona",82129,25474,178521
2006,"Congressional District 3 (109th Congress), Arizona",96067,30008,115449
2006,"Congressional District 4 (109th Congress), Arizona",35349,20833,113876
2006,"Congressional District 5 (109th Congress), Arizona",115938,30090,88658
2006,"Congressional District 6 (109th Congress), Arizona",110819,29493,152292
2006,"Congressional District 7 (109th Congress), Arizona",45052,19640,148742
2006,"Congressional District 8 (109th Congress), Arizona",104705,25857,115047
2006,"Congressional District 1 (109th Congress), Arkansas",41204,17538,176972
2006,"Congressional District 2 (109th Congress), Arkansas",70485,21868,152333
2006,"Congressional District 3 (109th Congress), Arkansas",65580,20461,167846
2006,"Congressional District 4 (109th Congress), Arkansas",43964,17072,174349
2006,"Congressional District 1 (109th Congress), California",78292,22407,110128
2006,"Congressional District 2 (109th Congress), California",59019,20306,134696
2006,"Congressional District 3 (109th Congress), California",101288,30983,125106
2006,"Congressional District 4 (109th Congress), California",98111,28220,125964
2006,"Congressional District 5 (109th Congress), California",72055,23257,104536
2006,"Congressional District 6 (109th Congress), California",106907,31300,86757
2006,"Congressional District 7 (109th Congress), California",72820,29090,111286
2006,"Congressional District 8 (109th Congress), California",143053,32409,69140
2006,"Congressional District 9 (109th Congress), California",87417,25999,79347
2006,"Congressional District 10 (109th Congress), California",102675,34458,90357
2006,"Congressional District 11 (109th Congress), California",104608,32948,124250
2006,"Congressional District 12 (109th Congress), California",140974,37243,80016
2006,"Congressional District 13 (109th Congress), California",101366,31714,109682
2006,"Congressional District 14 (109th Congress), California",121373,40769,61128
2006,"Congressional District 15 (109th Congress), California",119310,37103,81094
2006,"Congressional District 16 (109th Congress), California",85025,28680,96420
2006,"Congressional District 17 (109th Congress), California",61824,23073,81804
2006,"Congressional District 18 (109th Congress), California",28736,18739,115743
2006,"Congressional District 19 (109th Congress), California",65239,22962,133882
2006,"Congressional District 20 (109th Congress), California",20944,15130,103324
2006,"Congressional District 21 (109th Congress), California",51186,19887,109614
2006,"Congressional District 22 (109th Congress), California",64126,23438,130730
2006,"Congressional District 23 (109th Congress), California",71918,21983,75944
2006,"Congressional District 24 (109th Congress), California",91703,31432,98732
2006,"Congressional District 25 (109th Congress), California",63619,24867,126995
2006,"Congressional District 26 (109th Congress), California",98344,31813,97696
2006,"Congressional District 27 (109th Congress), California",87525,25410,107880
2006,"Congressional District 28 (109th Congress), California",70772,21786,95412
2006,"Congressional District 29 (109th Congress), California",114255,25638,103245
2006,"Congressional District 30 (109th Congress), California",160823,39955,56712
2006,"Congressional District 31 (109th Congress), California",54281,16701,95492
2006,"Congressional District 32 (109th Congress), California",46952,20632,112643
2006,"Congressional District 33 (109th Congress), California",92523,21448,91315
2006,"Congressional District 34 (109th Congress), California",27701,17107,96065
2006,"Congressional District 35 (109th Congress), California",42771,19309,103809
2006,"Congressional District 36 (109th Congress), California",119258,31340,90253
2006,"Congressional District 37 (109th Congress), California",51426,21198,91404
2006,"Congressional District 38 (109th Congress), California",40401,20576,112967
2006,"Congressional District 39 (109th Congress), California",47028,21762,107202
2006,"Congressional District 40 (109th Congress), California",88366,26747,90470
2006,"Congressional District 41 (109th Congress), California",55172,22643,141328
2006,"Congressional District 42 (109th Congress), California",109360,36632,87327
2006,"Congressional District 43 (109th Congress), California",33421,21006,116981
2006,"Congressional District 44 (109th Congress), California",74446,26308,135983
2006,"Congressional District 45 (109th Congress), California",68516,23408,152335
2006,"Congressional District 46 (109th Congress), California",115176,35199,85972
2006,"Congressional District 47 (109th Congress), California",36583,19990,88864
2006,"Congressional District 48 (109th Congress), California",146755,41032,65968
2006,"Congressional District 49 (109th Congress), California",65395,25562,122008
2006,"Congressional District 50 (109th Congress), California",124118,33588,77906
2006,"Congressional District 51 (109th Congress), California",46214,22104,98275
2006,"Congressional District 52 (109th Congress), California",88885,32480,96594
2006,"Congressional District 53 (109th Congress), California",91373,25715,80181
2006,"Congressional District 1 (109th Congress), Colorado",89338,25800,99488
2006,"Congressional District 2 (109th Congress), Colorado",117122,31016,96094
2006,"Congressional District 3 (109th Congress), Colorado",73983,21725,137605
2006,"Congressional District 4 (109th Congress), Colorado",86654,24219,118966
2006,"Congressional District 5 (109th Congress), Colorado",91482,25802,108357
2006,"Congressional District 6 (109th Congress), Colorado",151696,39729,87780
2006,"Congressional District 7 (109th Congress), Colorado",75461,26726,117314
2006,"Congressional District 1 (109th Congress), Connecticut",82707,29157,143964
2006,"Congressional District 2 (109th Congress), Connecticut",85725,30493,148097
2006,"Congressional District 3 (109th Congress), Connecticut",79640,29019,157011
2006,"Congressional District 4 (109th Congress), Connecticut",114898,32804,107946
2006,"Congressional District 5 (109th Congress), Connecticut",93231,30572,147744
2006,"Congressional District (at Large) (109th Congress), Delaware",93121,27119,192075
2006,"Delegate District (at Large) (109th Congress), District of Columbia",80945,30928,81738
2006,"Congressional District 1 (109th Congress), Florida",70762,22520,136883
2006,"Congressional District 2 (109th Congress), Florida",67926,21359,139577
2006,"Congressional District 3 (109th Congress), Florida",46663,19262,159918
2006,"Congressional District 4 (109th Congress), Florida",84332,27119,146247
2006,"Congressional District 5 (109th Congress), Florida",76594,21932,225961
2006,"Congressional District 6 (109th Congress), Florida",64511,22554,170205
2006,"Congressional District 7 (109th Congress), Florida",97754,25010,169746
2006,"Congressional District 8 (109th Congress), Florida",104907,25480,146453
2006,"Congressional District 9 (109th Congress), Florida",99705,25410,163776
2006,"Congressional District 10 (109th Congress), Florida",79674,24334,143958
2006,"Congressional District 11 (109th Congress), Florida",70033,21374,141469
2006,"Congressional District 12 (109th Congress), Florida",67613,23501,183464
2006,"Congressional District 13 (109th Congress), Florida",87400,24955,182094
2006,"Congressional District 14 (109th Congress), Florida",102140,27373,182936
2006,"Congressional District 15 (109th Congress), Florida",87492,23541,174041
2006,"Congressional District 16 (109th Congress), Florida",80427,23698,178706
2006,"Congressional District 17 (109th Congress), Florida",46889,19171,146553
2006,"Congressional District 18 (109th Congress), Florida",87257,20352,115184
2006,"Congressional District 19 (109th Congress), Florida",100213,25580,165156
2006,"Congressional District 20 (109th Congress), Florida",101461,29278,126627
2006,"Congressional District 21 (109th Congress), Florida",80717,20577,119893
2006,"Congressional District 22 (109th Congress), Florida",116268,31445,128872
2006,"Congressional District 23 (109th Congress), Florida",46913,20109,146755
2006,"Congressional District 24 (109th Congress), Florida",92813,26049,151498
2006,"Congressional District 25 (109th Congress), Florida",84182,22775,134693
2006,"Congressional District 1 (109th Congress), Georgia",52194,21823,146053
2006,"Congressional District 2 (109th Congress), Georgia",37961,17175,137850
2006,"Congressional District 3 (109th Congress), Georgia",36052,17722,154266
2006,"Congressional District 4 (109th Congress), Georgia",102950,26448,111963
2006,"Congressional District 5 (109th Congress), Georgia",109539,25294,100043
2006,"Congressional District 6 (109th Congress), Georgia",178932,40109,85060
2006,"Congressional District 7 (109th Congress), Georgia",130808,31840,142378
2006,"Congressional District 8 (109th Congress), Georgia",83451,27347,170933
2006,"Congressional District 9 (109th Congress), Georgia",61423,21747,168235
2006,"Congressional District 10 (109th Congress), Georgia",67725,23877,163305
2006,"Congressional District 11 (109th Congress), Georgia",51750,21522,148517
2006,"Congressional District 12 (109th Congress), Georgia",50656,18837,131286
2006,"Congressional District 13 (109th Congress), Georgia",72004,23969,151692
2006,"Congressional District 1 (109th Congress), Hawaii",93018,29316,114430
2006,"Congressional District 2 (109th Congress), Hawaii",78298,26586,140012
2006,"Congressional District 1 (109th Congress), Idaho",80536,22475,157807
2006,"Congressional District 2 (109th Congress), Idaho",68417,21138,119313
2006,"Congressional District 1 (109th Congress), Illinois",52670,21525,122737
2006,"Congressional District 2 (109th Congress), Illinois",48408,23729,124256
2006,"Congressional District 3 (109th Congress), Illinois",62925,27075,130232
2006,"Congressional District 4 (109th Congress), Illinois",46093,20168,90121
2006,"Congressional District 5 (109th Congress), Illinois",104998,29078,107804
2006,"Congressional District 6 (109th Congress), Illinois",99223,31001,116702
2006,"Congressional District 7 (109th Congress), Illinois",75749,25676,95810
2006,"Congressional District 8 (109th Congress), Illinois",112813,33463,121319
2006,"Congressional District 9 (109th Congress), Illinois",103889,26576,96367
2006,"Congressional District 10 (109th Congress), Illinois",122501,33641,75416
2006,"Congressional District 11 (109th Congress), Illinois",64877,25782,162868
2006,"Congressional District 12 (109th Congress), Illinois",58631,22328,146435
2006,"Congressional District 13 (109th Congress), Illinois",139228,36789,100292
2006,"Congressional District 14 (109th Congress), Illinois",94905,27169,138374
2006,"Congressional District 15 (109th Congress), Illinois",67069,21834,144677
2006,"Congressional District 16 (109th Congress), Illinois",75006,24950,159114
2006,"Congressional District 17 (109th Congress), Illinois",47125,20140,162118
2006,"Congressional District 18 (109th Congress), Illinois",70763,25148,153640
2006,"Congressional District 19 (109th Congress), Illinois",58983,22646,156925
2006,"Congressional District 1 (109th Congress), Indiana",59021,24371,175164
2006,"Congressional District 2 (109th Congress), Indiana",53669,21987,174686
2006,"Congressional District 3 (109th Congress), Indiana",62968,25098,159741
2006,"Congressional District 4 (109th Congress), Indiana",74032,24675,170811
2006,"Congressional District 5 (109th Congress), Indiana",113391,29025,148939
2006,"Congressional District 6 (109th Congress), Indiana",45781,21780,190237
2006,"Congressional District 7 (109th Congress), Indiana",56733,22252,144119
2006,"Congressional District 8 (109th Congress), Indiana",46088,20984,170873
2006,"Congressional District 9 (109th Congress), Indiana",49325,22556,186857
2006,"Congressional District 1 (109th Congress), Iowa",60810,22578,144902
2006,"Congressional District 2 (109th Congress), Iowa",70969,23932,124971
2006,"Congressional District 3 (109th Congress), Iowa",77709,26093,138605
2006,"Congressional District 4 (109th Congress), Iowa",62352,22266,138276
2006,"Congressional District 5 (109th Congress), Iowa",52689,21770,148619
2006,"Congressional District 1 (109th Congress), Kansas",55987,20618,142579
2006,"Congressional District 2 (109th Congress), Kansas",71242,21883,151266
2006,"Congressional District 3 (109th Congress), Kansas",132417,29231,103726
2006,"Congressional District 4 (109th Congress), Kansas",71891,23627,138466
2006,"Congressional District 1 (109th Congress), Kentucky",35152,18054,175218
2006,"Congressional District 2 (109th Congress), Kentucky",46212,21013,181019
2006,"Congressional District 3 (109th Congress), Kentucky",76780,24367,136951
2006,"Congressional District 4 (109th Congress), Kentucky",61234,23396,171983
2006,"Congressional District 5 (109th Congress), Kentucky",30806,14552,170529
2006,"Congressional District 6 (109th Congress), Kentucky",82296,22676,140158
2006,"Congressional District 1 (109th Congress), Louisiana",81293,23718,131578
2006,"Congressional District 2 (109th Congress), Louisiana",31687,17693,83095
2006,"Congressional District 3 (109th Congress), Louisiana",33857,19038,156290
2006,"Congressional District 4 (109th Congress), Louisiana",49342,19406,156236
2006,"Congressional District 5 (109th Congress), Louisiana",44954,16292,144935
2006,"Congressional District 6 (109th Congress), Louisiana",70665,21916,143182
2006,"Congressional District 7 (109th Congress), Louisiana",55271,18812,146574
2006,"Congressional District 1 (109th Congress), Maine",95997,25336,152146
2006,"Congressional District 2 (109th Congress), Maine",59689,19904,185529
2006,"Congressional District 1 (109th Congress), Maryland",92085,30530,147636
2006,"Congressional District 2 (109th Congress), Maryland",69779,29085,143554
2006,"Congressional District 3 (109th Congress), Maryland",102299,32375,105415
2006,"Congressional District 4 (109th Congress), Maryland",87794,35516,112603
2006,"Congressional District 5 (109th Congress), Maryland",91379,37154,144764
2006,"Congressional District 6 (109th Congress), Maryland",80044,30179,158033
2006,"Congressional District 7 (109th Congress), Maryland",72381,25784,115397
2006,"Congressional District 8 (109th Congress), Maryland",125535,38830,71218
2006,"Congressional District 1 (109th Congress), Massachusetts",69148,23843,142011
2006,"Congressional District 2 (109th Congress), Massachusetts",79082,25750,146834
2006,"Congressional District 3 (109th Congress), Massachusetts",96617,29708,118795
2006,"Congressional District 4 (109th Congress), Massachusetts",90695,28889,112751
2006,"Congressional District 5 (109th Congress), Massachusetts",87053,31032,112231
2006,"Congressional District 6 (109th Congress), Massachusetts",107614,31063,122955
2006,"Congressional District 7 (109th Congress), Massachusetts",104674,31422,125323
2006,"Congressional District 8 (109th Congress), Massachusetts",89065,23261,87341
2006,"Congressional District 9 (109th Congress), Massachusetts",97959,31483,124910
2006,"Congressional District 10 (109th Congress), Massachusetts",108345,30971,133329
2006,"Congressional District 1 (109th Congress), Michigan",55610,19789,185257
2006,"Congressional District 2 (109th Congress), Michigan",63439,21315,165131
2006,"Congressional District 3 (109th Congress), Michigan",78739,23671,130606
2006,"Congressional District 4 (109th Congress), Michigan",60125,20083,161499
2006,"Congressional District 5 (109th Congress), Michigan",47108,21916,163429
2006,"Congressional District 6 (109th Congress), Michigan",64982,21864,144563
2006,"Congressional District 7 (109th Congress), Michigan",62592,24224,158536
2006,"Congressional District 8 (109th Congress), Michigan",89675,27203,122802
2006,"Congressional District 9 (109th Congress), Michigan",121554,33378,91910
2006,"Congressional District 10 (109th Congress), Michigan",63097,26378,166036
2006,"Congressional District 11 (109th Congress), Michigan",102178,32560,132788
2006,"Congressional District 12 (109th Congress), Michigan",59422,26350,144073
2006,"Congressional District 13 (109th Congress), Michigan",34505,17354,123134
2006,"Congressional District 14 (109th Congress), Michigan",38830,19721,139030
2006,"Congressional District 15 (109th Congress), Michigan",74177,25881,128363
2006,"Congressional District 1 (109th Congress), Minnesota",66095,23895,135201
2006,"Congressional District 2 (109th Congress), Minnesota",115236,33936,114719
2006,"Congressional District 3 (109th Congress), Minnesota",122540,35905,89264
2006,"Congressional District 4 (109th Congress), Minnesota",88852,27696,100500
2006,"Congressional District 5 (109th Congress), Minnesota",98939,26042,95971
2006,"Congressional District 6 (109th Congress), Minnesota",93981,31144,133183
2006,"Congressional District 7 (109th Congress), Minnesota",57166,22171,147838
2006,"Congressional District 8 (109th Congress), Minnesota",62507,22313,152795
2006,"Congressional District 1 (109th Congress), Mississippi",54381,19316,168647
2006,"Congressional District 2 (109th Congress), Mississippi",50369,15622,120146
2006,"Congressional District 3 (109th Congress), Mississippi",71199,18893,150222
2006,"Congressional District 4 (109th Congress), Mississippi",56552,19599,149528
2006,"Congressional District 1 (109th Congress), Missouri",55101,21816,114212
2006,"Congressional District 2 (109th Congress), Missouri",121205,31775,106590
2006,"Congressional District 3 (109th Congress), Missouri",72294,24814,134017
2006,"Congressional District 4 (109th Congress), Missouri",48052,20625,172156
2006,"Congressional District 5 (109th Congress), Missouri",67477,25381,132998
2006,"Congressional District 6 (109th Congress), Missouri",74897,24965,158328
2006,"Congressional District 7 (109th Congress), Missouri",64482,19474,148678
2006,"Congressional District 8 (109th Congress), Missouri",38044,16886,169957
2006,"Congressional District 9 (109th Congress), Missouri",58385,21546,156718
2006,"Congressional District (at Large) (109th Congress), Montana",119732,20531,201230
2006,"Congressional District 1 (109th Congress), Nebraska",72133,23853,120694
2006,"Congressional District 2 (109th Congress), Nebraska",89109,26882,95876
2006,"Congressional District 3 (109th Congress), Nebraska",48803,20750,134697
2006,"Congressional District 1 (109th Congress), Nevada",55836,25894,160413
2006,"Congressional District 2 (109th Congress), Nevada",74132,26454,163903
2006,"Congressional District 3 (109th Congress), Nevada",93390,30745,196145
2006,"Congressional District 1 (109th Congress), New Hampshire",93748,29692,136402
2006,"Congressional District 2 (109th Congress), New Hampshire",91801,27140,138558
2006,"Congressional District 1 (109th Congress), New Jersey",70319,27401,150511
2006,"Congressional District 2 (109th Congress), New Jersey",69169,25783,172425
2006,"Congressional District 3 (109th Congress), New Jersey",100419,31032,164728
2006,"Congressional District 4 (109th Congress), New Jersey",91978,30133,156095
2006,"Congressional District 5 (109th Congress), New Jersey",121866,36476,121607
2006,"Congressional District 6 (109th Congress), New Jersey",93782,30996,128013
2006,"Congressional District 7 (109th Congress), New Jersey",121543,39549,121382
2006,"Congressional District 8 (109th Congress), New Jersey",83107,27035,135619
2006,"Congressional District 9 (109th Congress), New Jersey",101571,31731,135051
2006,"Congressional District 10 (109th Congress), New Jersey",57709,23497,149560
2006,"Congressional District 11 (109th Congress), New Jersey",129470,40824,115391
2006,"Congressional District 12 (109th Congress), New Jersey",125130,37743,106594
2006,"Congressional District 13 (109th Congress), New Jersey",69470,23022,128774
2006,"Congressional District 1 (109th Congress), New Mexico",71149,23369,105705
2006,"Congressional District 2 (109th Congress), New Mexico",46279,17177,117111
2006,"Congressional District 3 (109th Congress), New Mexico",61588,20917,120293
2006,"Congressional District 1 (109th Congress), New York",76645,31665,141005
2006,"Congressional District 2 (109th Congress), New York",81073,32805,134581
2006,"Congressional District 3 (109th Congress), New York",89180,35971,133116
2006,"Congressional District 4 (109th Congress), New York",92998,31677,123882
2006,"Congressional District 5 (109th Congress), New York",95033,25126,128998
2006,"Congressional District 6 (109th Congress), New York",61048,25453,142683
2006,"Congressional District 7 (109th Congress), New York",65132,24121,146064
2006,"Congressional District 8 (109th Congress), New York",146359,35421,86720
2006,"Congressional District 9 (109th Congress), New York",107516,27417,136795
2006,"Congressional District 10 (109th Congress), New York",58332,22442,134672
2006,"Congressional District 11 (109th Congress), New York",81276,25913,125488
2006,"Congressional District 12 (109th Congress), New York",71335,20255,127344
2006,"Congressional District 13 (109th Congress), New York",77351,30449,156530
2006,"Congressional District 14 (109th Congress), New York",172267,45442,72667
2006,"Congressional District 15 (109th Congress), New York",75824,18666,104384
2006,"Congressional District 16 (109th Congress), New York",27057,12490,108351
2006,"Congressional District 17 (109th Congress), New York",74234,27194,120415
