year,district,median_age
2011,"Congressional District 1 (112th Congress), Alabama",38.6
2011,"Congressional District 2 (112th Congress), Alabama",37.7
2011,"Congressional District 3 (112th Congress), Alabama",36.9
2011,"Congressional District 4 (112th Congress), Alabama",40.9
2011,"Congressional District 5 (112th Congress), Alabama",39.4
2011,"Congressional District 6 (112th Congress), Alabama",38.2
2011,"Congressional District 7 (112th Congress), Alabama",34.6
2011,"Congressional District (at Large) (112th Congress), Alaska",33.9
2011,"Congressional District 1 (112th Congress), Arizona",39.8
2011,"Congressional District 2 (112th Congress), Arizona",40.7
2011,"Congressional District 3 (112th Congress), Arizona",36.8
2011,"Congressional District 4 (112th Congress), Arizona",28.8
2011,"Congressional District 5 (112th Congress), Arizona",36.5
2011,"Congressional District 6 (112th Congress), Arizona",35.3
2011,"Congressional District 7 (112th Congress), Arizona",31.9
2011,"Congressional District 8 (112th Congress), Arizona",41.8
2011,"Congressional District 1 (112th Congress), Arkansas",38.7
2011,"Congressional District 2 (112th Congress), Arkansas",36.5
2011,"Congressional District 3 (112th Congress), Arkansas",35.7
2011,"Congressional District 4 (112th Congress), Arkansas",40.2
2011,"Congressional District 1 (112th Congress), California",37.4
2011,"Congressional District 2 (112th Congress), California",38.3
2011,"Congressional District 3 (112th Congress), California",39.0
2011,"Congressional District 4 (112th Congress), California",42.2
2011,"Congressional District 5 (112th Congress), California",32.8
2011,"Congressional District 6 (112th Congress), California",41.6
2011,"Congressional District 7 (112th Congress), California",37.0
2011,"Congressional District 8 (112th Congress), California",38.0
2011,"Congressional District 9 (112th Congress), California",36.4
2011,"Congressional District 10 (112th Congress), California",38.6
2011,"Congressional District 11 (112th Congress), California",36.4
2011,"Congressional District 12 (112th Congress), California",40.3
2011,"Congressional District 13 (112th Congress), California",36.8
2011,"Congressional District 14 (112th Congress), California",38.0
2011,"Congressional District 15 (112th Congress), California",36.8
2011,"Congressional District 16 (112th Congress), California",35.4
2011,"Congressional District 17 (112th Congress), California",33.3
2011,"Congressional District 18 (112th Congress), California",30.3
2011,"Congressional District 19 (112th Congress), California",34.6
2011,"Congressional District 20 (112th Congress), California",28.6
2011,"Congressional District 21 (112th Congress), California",30.6
2011,"Congressional District 22 (112th Congress), California",34.6
2011,"Congressional District 23 (112th Congress), California",31.8
2011,"Congressional District 24 (112th Congress), California",39.8
2011,"Congressional District 25 (112th Congress), California",31.9
2011,"Congressional District 26 (112th Congress), California",39.2
2011,"Congressional District 27 (112th Congress), California",36.6
2011,"Congressional District 28 (112th Congress), California",33.2
2011,"Congressional District 29 (112th Congress), California",40.4
2011,"Congressional District 30 (112th Congress), California",39.1
2011,"Congressional District 31 (112th Congress), California",33.8
2011,"Congressional District 32 (112th Congress), California",34.3
2011,"Congressional District 33 (112th Congress), California",35.4
2011,"Congressional District 34 (112th Congress), California",30.6
2011,"Congressional District 35 (112th Congress), California",31.7
2011,"Congressional District 36 (112th Congress), California",37.2
2011,"Congressional District 37 (112th Congress), California",31.2
2011,"Congressional District 38 (112th Congress), California",33.0
2011,"Congressional District 39 (112th Congress), California",32.5
2011,"Congressional District 40 (112th Congress), California",35.7
2011,"Congressional District 41 (112th Congress), California",35.6
2011,"Congressional District 42 (112th Congress), California",38.3
2011,"Congressional District 43 (112th Congress), California",28.1
2011,"Congressional District 44 (112th Congress), California",32.8
2011,"Congressional District 45 (112th Congress), California",36.1
2011,"Congressional District 46 (112th Congress), California",41.5
2011,"Congressional District 47 (112th Congress), California",30.3
2011,"Congressional District 48 (112th Congress), California",38.7
2011,"Congressional District 49 (112th Congress), California",32.4
2011,"Congressional District 50 (112th Congress), California",38.3
2011,"Congressional District 51 (112th Congress), California",32.6
2011,"Congressional District 52 (112th Congress), California",38.0
2011,"Congressional District 53 (112th Congress), California",31.5
2011,"Congressional District 1 (112th Congress), Colorado",33.8
2011,"Congressional District 2 (112th Congress), Colorado",34.6
2011,"Congressional District 3 (112th Congress), Colorado",39.6
2011,"Congressional District 4 (112th Congress), Colorado",35.9
2011,"Congressional District 5 (112th Congress), Colorado",35.8
2011,"Congressional District 6 (112th Congress), Colorado",39.3
2011,"Congressional District 7 (112th Congress), Colorado",35.0
2011,"Congressional District 1 (112th Congress), Connecticut",40.5
2011,"Congressional District 2 (112th Congress), Connecticut",41.2
2011,"Congressional District 3 (112th Congress), Connecticut",39.4
2011,"Congressional District 4 (112th Congress), Connecticut",39.3
2011,"Congressional District 5 (112th Congress), Connecticut",40.9
2011,"Congressional District (at Large) (112th Congress), Delaware",39.1
2011,"Delegate District (at Large) (112th Congress), District of Columbia",33.4
2011,"Congressional District 1 (112th Congress), Florida",38.2
2011,"Congressional District 2 (112th Congress), Florida",36.7
2011,"Congressional District 3 (112th Congress), Florida",34.0
2011,"Congressional District 4 (112th Congress), Florida",38.5
2011,"Congressional District 5 (112th Congress), Florida",46.9
2011,"Congressional District 6 (112th Congress), Florida",38.8
2011,"Congressional District 7 (112th Congress), Florida",43.1
2011,"Congressional District 8 (112th Congress), Florida",37.6
2011,"Congressional District 9 (112th Congress), Florida",43.3
2011,"Congressional District 10 (112th Congress), Florida",47.0
2011,"Congressional District 11 (112th Congress), Florida",36.0
2011,"Congressional District 12 (112th Congress), Florida",38.3
2011,"Congressional District 13 (112th Congress), Florida",49.9
