year,district,median_age
2009,"Congressional District 1 (111th Congress), Alabama",37.6
2009,"Congressional District 2 (111th Congress), Alabama",36.7
2009,"Congressional District 3 (111th Congress), Alabama",36.9
2009,"Congressional District 4 (111th Congress), Alabama",39.7
2009,"Congressional District 5 (111th Congress), Alabama",37.8
2009,"Congressional District 6 (111th Congress), Alabama",38.0
2009,"Congressional District 7 (111th Congress), Alabama",34.3
2009,"Congressional District (at Large) (111th Congress), Alaska",32.6
2009,"Congressional District 1 (111th Congress), Arizona",38.6
2009,"Congressional District 2 (111th Congress), Arizona",38.3
2009,"Congressional District 3 (111th Congress), Arizona",36.0
2009,"Congressional District 4 (111th Congress), Arizona",28.4
2009,"Congressional District 5 (111th Congress), Arizona",35.8
2009,"Congressional District 6 (111th Congress), Arizona",34.4
2009,"Congressional District 7 (111th Congress), Arizona",31.3
2009,"Congressional District 8 (111th Congress), Arizona",41.8
2009,"Congressional District 1 (111th Congress), Arkansas",38.6
2009,"Congressional District 2 (111th Congress), Arkansas",35.7
2009,"Congressional District 3 (111th Congress), Arkansas",35.3
2009,"Congressional District 4 (111th Congress), Arkansas",39.5
2009,"Congressional District 1 (111th Congress), California",36.8
2009,"Congressional District 2 (111th Congress), California",37.9
2009,"Congressional District 3 (111th Congress), California",38.5
2009,"Congressional District 4 (111th Congress), California",41.6
2009,"Congressional District 5 (111th Congress), California",32.3
2009,"Congressional District 6 (111th Congress), California",41.2
2009,"Congressional District 7 (111th Congress), California",37.3
2009,"Congressional District 8 (111th Congress), California",38.1
2009,"Congressional District 9 (111th Congress), California",35.8
2009,"Congressional District 10 (111th Congress), California",37.8
2009,"Congressional District 11 (111th Congress), California",35.9
2009,"Congressional District 12 (111th Congress), California",39.8
2009,"Congressional District 13 (111th Congress), California",37.1
2009,"Congressional District 14 (111th Congress), California",37.5
2009,"Congressional District 15 (111th Congress), California",36.5
2009,"Congressional District 16 (111th Congress), California",34.4
2009,"Congressional District 17 (111th Congress), California",32.8
2009,"Congressional District 18 (111th Congress), California",30.0
2009,"Congressional District 19 (111th Congress), California",34.5
2009,"Congressional District 20 (111th Congress), California",27.5
2009,"Congressional District 21 (111th Congress), California",30.4
2009,"Congressional District 22 (111th Congress), California",34.7
2009,"Congressional District 23 (111th Congress), California",32.4
2009,"Congressional District 24 (111th Congress), California",38.2
2009,"Congressional District 25 (111th Congress), California",32.3
2009,"Congressional District 26 (111th Congress), California",37.4
2009,"Congressional District 27 (111th Congress), California",36.2
2009,"Congressional District 28 (111th Congress), California",33.0
2009,"Congressional District 29 (111th Congress), California",40.1
2009,"Congressional District 30 (111th Congress), California",39.6
2009,"Congressional District 31 (111th Congress), California",32.4
2009,"Congressional District 32 (111th Congress), California",32.8
2009,"Congressional District 33 (111th Congress), California",34.4
2009,"Congressional District 34 (111th Congress), California",30.6
2009,"Congressional District 35 (111th Congress), California",30.5
2009,"Congressional District 36 (111th Congress), California",36.9
2009,"Congressional District 37 (111th Congress), California",30.5
2009,"Congressional District 38 (111th Congress), California",32.1
2009,"Congressional District 39 (111th Congress), California",31.8
2009,"Congressional District 40 (111th Congress), California",35.3
2009,"Congressional District 41 (111th Congress), California",34.1
2009,"Congressional District 42 (111th Congress), California",37.7
2009,"Congressional District 43 (111th Congress), California",28.1
2009,"Congressional District 44 (111th Congress), California",32.5
2009,"Congressional District 45 (111th Congress), California",35.4
2009,"Congressional District 46 (111th Congress), California",39.4
