year,district,unemp_rate
2007,"Congressional District 1 (110th Congress), Alabama",5.7
2007,"Congressional District 2 (110th Congress), Alabama",6.9
2007,"Congressional District 3 (110th Congress), Alabama",8.4
2007,"Congressional District 4 (110th Congress), Alabama",5.5
2007,"Congressional District 5 (110th Congress), Alabama",6.2
2007,"Congressional District 6 (110th Congress), Alabama",4.8
2007,"Congressional District 7 (110th Congress), Alabama",10.0
2007,"Congressional District (at Large) (110th Congress), Alaska",8.8
2007,"Congressional District 1 (110th Congress), Arizona",7.0
2007,"Congressional District 2 (110th Congress), Arizona",5.4
2007,"Congressional District 3 (110th Congress), Arizona",4.9
2007,"Congressional District 4 (110th Congress), Arizona",5.9
2007,"Congressional District 5 (110th Congress), Arizona",5.2
2007,"Congressional District 6 (110th Congress), Arizona",4.7
2007,"Congressional District 7 (110th Congress), Arizona",8.2
2007,"Congressional District 8 (110th Congress), Arizona",5.4
2007,"Congressional District 1 (110th Congress), Arkansas",8.4
2007,"Congressional District 2 (110th Congress), Arkansas",6.7
2007,"Congressional District 3 (110th Congress), Arkansas",5.7
2007,"Congressional District 4 (110th Congress), Arkansas",8.4
2007,"Congressional District 1 (110th Congress), California",6.8
2007,"Congressional District 2 (110th Congress), California",9.0
2007,"Congressional District 3 (110th Congress), California",6.5
2007,"Congressional District 4 (110th Congress), California",6.4
2007,"Congressional District 5 (110th Congress), California",8.9
2007,"Congressional District 6 (110th Congress), California",4.6
2007,"Congressional District 7 (110th Congress), California",7.9
2007,"Congressional District 8 (110th Congress), California",4.7
2007,"Congressional District 9 (110th Congress), California",7.3
2007,"Congressional District 10 (110th Congress), California",5.5
2007,"Congressional District 11 (110th Congress), California",5.8
2007,"Congressional District 12 (110th Congress), California",4.5
2007,"Congressional District 13 (110th Congress), California",6.1
2007,"Congressional District 14 (110th Congress), California",4.8
2007,"Congressional District 15 (110th Congress), California",5.6
2007,"Congressional District 16 (110th Congress), California",6.2
2007,"Congressional District 17 (110th Congress), California",7.4
2007,"Congressional District 18 (110th Congress), California",12.1
2007,"Congressional District 19 (110th Congress), California",8.3
2007,"Congressional District 20 (110th Congress), California",13.1
2007,"Congressional District 21 (110th Congress), California",9.4
2007,"Congressional District 22 (110th Congress), California",7.6
2007,"Congressional District 23 (110th Congress), California",6.3
2007,"Congressional District 24 (110th Congress), California",5.0
2007,"Congressional District 25 (110th Congress), California",6.7
2007,"Congressional District 26 (110th Congress), California",5.3
2007,"Congressional District 27 (110th Congress), California",5.6
2007,"Congressional District 28 (110th Congress), California",6.9
2007,"Congressional District 29 (110th Congress), California",4.4
2007,"Congressional District 30 (110th Congress), California",4.9
2007,"Congressional District 31 (110th Congress), California",7.1
2007,"Congressional District 32 (110th Congress), California",6.9
2007,"Congressional District 33 (110th Congress), California",7.2
2007,"Congressional District 34 (110th Congress), California",7.6
2007,"Congressional District 35 (110th Congress), California",6.8
2007,"Congressional District 36 (110th Congress), California",5.6
2007,"Congressional District 37 (110th Congress), California",8.6
2007,"Congressional District 38 (110th Congress), California",7.0
2007,"Congressional District 39 (110th Congress), California",5.9
2007,"Congressional District 40 (110th Congress), California",5.5
2007,"Congressional District 41 (110th Congress), California",8.7
2007,"Congressional District 42 (110th Congress), California",4.6
2007,"Congressional District 43 (110th Congress), California",7.6
2007,"Congressional District 44 (110th Congress), California",6.8
2007,"Congressional District 45 (110th Congress), California",7.9
2007,"Congressional District 46 (110th Congress), California",4.5
2007,"Congressional District 47 (110th Congress), California",6.7
2007,"Congressional District 48 (110th Congress), California",4.3
2007,"Congressional District 49 (110th Congress), California",8.0
2007,"Congressional District 50 (110th Congress), California",4.9
2007,"Congressional District 51 (110th Congress), California",7.1
2007,"Congressional District 52 (110th Congress), California",6.5
2007,"Congressional District 53 (110th Congress), California",5.8
2007,"Congressional District 1 (110th Congress), Colorado",6.0
2007,"Congressional District 2 (110th Congress), Colorado",5.5
2007,"Congressional District 3 (110th Congress), Colorado",4.7
2007,"Congressional District 4 (110th Congress), Colorado",5.7
2007,"Congressional District 5 (110th Congress), Colorado",6.7
2007,"Congressional District 6 (110th Congress), Colorado",4.3
2007,"Congressional District 7 (110th Congress), Colorado",5.9
2007,"Congressional District 1 (110th Congress), Connecticut",6.8
2007,"Congressional District 2 (110th Congress), Connecticut",5.1
2007,"Congressional District 3 (110th Congress), Connecticut",6.3
2007,"Congressional District 4 (110th Congress), Connecticut",5.6
2007,"Congressional District 5 (110th Congress), Connecticut",6.2
2007,"Congressional District (at Large) (110th Congress), Delaware",5.6
2007,"Delegate District (at Large) (110th Congress), District of Columbia",8.1
2007,"Congressional District 1 (110th Congress), Florida",7.8
2007,"Congressional District 2 (110th Congress), Florida",5.9
2007,"Congressional District 3 (110th Congress), Florida",9.1
2007,"Congressional District 4 (110th Congress), Florida",5.5
2007,"Congressional District 5 (110th Congress), Florida",6.7
2007,"Congressional District 6 (110th Congress), Florida",6.0
2007,"Congressional District 7 (110th Congress), Florida",5.0
2007,"Congressional District 8 (110th Congress), Florida",5.6
2007,"Congressional District 9 (110th Congress), Florida",6.1
2007,"Congressional District 10 (110th Congress), Florida",5.2
2007,"Congressional District 11 (110th Congress), Florida",8.1
2007,"Congressional District 12 (110th Congress), Florida",6.0
2007,"Congressional District 13 (110th Congress), Florida",6.3
2007,"Congressional District 14 (110th Congress), Florida",5.8
2007,"Congressional District 15 (110th Congress), Florida",6.6
2007,"Congressional District 16 (110th Congress), Florida",6.7
2007,"Congressional District 17 (110th Congress), Florida",8.2
2007,"Congressional District 18 (110th Congress), Florida",4.0
2007,"Congressional District 19 (110th Congress), Florida",6.1
2007,"Congressional District 20 (110th Congress), Florida",4.8
2007,"Congressional District 21 (110th Congress), Florida",4.5
2007,"Congressional District 22 (110th Congress), Florida",4.8
2007,"Congressional District 23 (110th Congress), Florida",9.5
2007,"Congressional District 24 (110th Congress), Florida",5.7
2007,"Congressional District 25 (110th Congress), Florida",5.4
2007,"Congressional District 1 (110th Congress), Georgia",5.1
2007,"Congressional District 2 (110th Congress), Georgia",9.9
2007,"Congressional District 3 (110th Congress), Georgia",7.1
2007,"Congressional District 4 (110th Congress), Georgia",9.7
2007,"Congressional District 5 (110th Congress), Georgia",8.6
2007,"Congressional District 6 (110th Congress), Georgia",4.3
2007,"Congressional District 7 (110th Congress), Georgia",6.0
2007,"Congressional District 8 (110th Congress), Georgia",7.7
2007,"Congressional District 9 (110th Congress), Georgia",5.8
2007,"Congressional District 10 (110th Congress), Georgia",5.3
2007,"Congressional District 11 (110th Congress), Georgia",6.9
2007,"Congressional District 12 (110th Congress), Georgia",7.6
2007,"Congressional District 13 (110th Congress), Georgia",8.8
2007,"Congressional District 1 (110th Congress), Hawaii",3.8
2007,"Congressional District 2 (110th Congress), Hawaii",5.2
2007,"Congressional District 1 (110th Congress), Idaho",5.8
2007,"Congressional District 2 (110th Congress), Idaho",4.3
2007,"Congressional District 1 (110th Congress), Illinois",13.4
2007,"Congressional District 2 (110th Congress), Illinois",12.9
2007,"Congressional District 3 (110th Congress), Illinois",6.9
2007,"Congressional District 4 (110th Congress), Illinois",8.4
2007,"Congressional District 5 (110th Congress), Illinois",5.8
2007,"Congressional District 6 (110th Congress), Illinois",4.9
2007,"Congressional District 7 (110th Congress), Illinois",9.9
2007,"Congressional District 8 (110th Congress), Illinois",5.7
2007,"Congressional District 9 (110th Congress), Illinois",5.7
2007,"Congressional District 10 (110th Congress), Illinois",5.5
2007,"Congressional District 11 (110th Congress), Illinois",6.9
2007,"Congressional District 12 (110th Congress), Illinois",8.9
2007,"Congressional District 13 (110th Congress), Illinois",4.6
2007,"Congressional District 14 (110th Congress), Illinois",6.1
2007,"Congressional District 15 (110th Congress), Illinois",6.9
2007,"Congressional District 16 (110th Congress), Illinois",7.5
2007,"Congressional District 17 (110th Congress), Illinois",8.0
2007,"Congressional District 18 (110th Congress), Illinois",6.6
2007,"Congressional District 19 (110th Congress), Illinois",5.4
2007,"Congressional District 1 (110th Congress), Indiana",7.7
2007,"Congressional District 2 (110th Congress), Indiana",6.9
