year,district,unemp_rate
2011,"Congressional District 1 (112th Congress), Alabama",11.3
2011,"Congressional District 2 (112th Congress), Alabama",12.0
2011,"Congressional District 3 (112th Congress), Alabama",13.0
2011,"Congressional District 4 (112th Congress), Alabama",11.6
2011,"Congressional District 5 (112th Congress), Alabama",10.0
2011,"Congressional District 6 (112th Congress), Alabama",8.8
2011,"Congressional District 7 (112th Congress), Alabama",15.8
2011,"Congressional District (at Large) (112th Congress), Alaska",8.8
2011,"Congressional District 1 (112th Congress), Arizona",13.6
2011,"Congressional District 2 (112th Congress), Arizona",10.9
2011,"Congressional District 3 (112th Congress), Arizona",9.4
2011,"Congressional District 4 (112th Congress), Arizona",13.7
2011,"Congressional District 5 (112th Congress), Arizona",8.1
2011,"Congressional District 6 (112th Congress), Arizona",9.6
2011,"Congressional District 7 (112th Congress), Arizona",15.2
2011,"Congressional District 8 (112th Congress), Arizona",9.9
2011,"Congressional District 1 (112th Congress), Arkansas",11.5
2011,"Congressional District 2 (112th Congress), Arkansas",8.8
2011,"Congressional District 3 (112th Congress), Arkansas",7.5
2011,"Congressional District 4 (112th Congress), Arkansas",10.3
2011,"Congressional District 1 (112th Congress), California",12.1
2011,"Congressional District 2 (112th Congress), California",15.6
2011,"Congressional District 3 (112th Congress), California",13.6
2011,"Congressional District 4 (112th Congress), California",12.9
2011,"Congressional District 5 (112th Congress), California",16.5
2011,"Congressional District 6 (112th Congress), California",9.8
2011,"Congressional District 7 (112th Congress), California",13.6
2011,"Congressional District 8 (112th Congress), California",7.4
2011,"Congressional District 9 (112th Congress), California",10.8
2011,"Congressional District 10 (112th Congress), California",10.4
2011,"Congressional District 11 (112th Congress), California",13.4
2011,"Congressional District 12 (112th Congress), California",8.4
2011,"Congressional District 13 (112th Congress), California",10.7
2011,"Congressional District 14 (112th Congress), California",8.8
2011,"Congressional District 15 (112th Congress), California",9.6
2011,"Congressional District 16 (112th Congress), California",11.2
2011,"Congressional District 17 (112th Congress), California",11.7
2011,"Congressional District 18 (112th Congress), California",19.9
2011,"Congressional District 19 (112th Congress), California",15.1
2011,"Congressional District 20 (112th Congress), California",18.0
2011,"Congressional District 21 (112th Congress), California",15.3
2011,"Congressional District 22 (112th Congress), California",13.0
2011,"Congressional District 23 (112th Congress), California",10.2
2011,"Congressional District 24 (112th Congress), California",10.9
2011,"Congressional District 25 (112th Congress), California",13.6
2011,"Congressional District 26 (112th Congress), California",8.8
