year,district,median_age
2005,"Congressional District 1 (109th Congress), Alabama",37.3
2005,"Congressional District 2 (109th Congress), Alabama",37.2
2005,"Congressional District 3 (109th Congress), Alabama",36.6
2005,"Congressional District 4 (109th Congress), Alabama",38.9
2005,"Congressional District 5 (109th Congress), Alabama",38.6
2005,"Congressional District 6 (109th Congress), Alabama",37.6
2005,"Congressional District 7 (109th Congress), Alabama",35.3
2005,"Congressional District (at Large) (109th Congress), Alaska",33.9
2005,"Congressional District 1 (109th Congress), Arizona",36.3
2005,"Congressional District 2 (109th Congress), Arizona",38.6
2005,"Congressional District 3 (109th Congress), Arizona",36.3
2005,"Congressional District 4 (109th Congress), Arizona",27.6
2005,"Congressional District 5 (109th Congress), Arizona",34.9
2005,"Congressional District 6 (109th Congress), Arizona",34.4
2005,"Congressional District 7 (109th Congress), Arizona",30.7
2005,"Congressional District 8 (109th Congress), Arizona",40.7
2005,"Congressional District 1 (109th Congress), Arkansas",37.8
2005,"Congressional District 2 (109th Congress), Arkansas",36.1
2005,"Congressional District 3 (109th Congress), Arkansas",35.4
2005,"Congressional District 4 (109th Congress), Arkansas",39.0
2005,"Congressional District 1 (109th Congress), California",36.6
2005,"Congressional District 2 (109th Congress), California",36.7
2005,"Congressional District 3 (109th Congress), California",35.7
2005,"Congressional District 4 (109th Congress), California",39.6
2005,"Congressional District 5 (109th Congress), California",32.5
2005,"Congressional District 6 (109th Congress), California",40.4
2005,"Congressional District 7 (109th Congress), California",35.6
2005,"Congressional District 8 (109th Congress), California",38.9
2005,"Congressional District 9 (109th Congress), California",36.2
2005,"Congressional District 10 (109th Congress), California",36.7
2005,"Congressional District 11 (109th Congress), California",35.3
2005,"Congressional District 12 (109th Congress), California",40.5
2005,"Congressional District 13 (109th Congress), California",35.9
2005,"Congressional District 14 (109th Congress), California",38.7
2005,"Congressional District 15 (109th Congress), California",36.7
2005,"Congressional District 16 (109th Congress), California",33.8
2005,"Congressional District 17 (109th Congress), California",33.0
2005,"Congressional District 18 (109th Congress), California",29.2
2005,"Congressional District 19 (109th Congress), California",33.4
2005,"Congressional District 20 (109th Congress), California",27.0
2005,"Congressional District 21 (109th Congress), California",30.0
2005,"Congressional District 22 (109th Congress), California",33.7
2005,"Congressional District 23 (109th Congress), California",31.8
2005,"Congressional District 24 (109th Congress), California",38.5
2005,"Congressional District 25 (109th Congress), California",32.0
2005,"Congressional District 26 (109th Congress), California",38.1
2005,"Congressional District 27 (109th Congress), California",35.5
2005,"Congressional District 28 (109th Congress), California",32.2
2005,"Congressional District 29 (109th Congress), California",38.5
2005,"Congressional District 30 (109th Congress), California",39.8
2005,"Congressional District 31 (109th Congress), California",30.8
2005,"Congressional District 32 (109th Congress), California",31.3
2005,"Congressional District 33 (109th Congress), California",34.2
2005,"Congressional District 34 (109th Congress), California",28.3
2005,"Congressional District 35 (109th Congress), California",30.2
2005,"Congressional District 36 (109th Congress), California",36.7
2005,"Congressional District 37 (109th Congress), California",30.5
2005,"Congressional District 38 (109th Congress), California",31.3
2005,"Congressional District 39 (109th Congress), California",30.4
2005,"Congressional District 40 (109th Congress), California",34.6
2005,"Congressional District 41 (109th Congress), California",33.3
2005,"Congressional District 42 (109th Congress), California",36.2
2005,"Congressional District 43 (109th Congress), California",27.4
2005,"Congressional District 44 (109th Congress), California",31.3
2005,"Congressional District 45 (109th Congress), California",34.1
2005,"Congressional District 46 (109th Congress), California",38.5
2005,"Congressional District 47 (109th Congress), California",27.8
2005,"Congressional District 48 (109th Congress), California",38.8
2005,"Congressional District 49 (109th Congress), California",32.9
2005,"Congressional District 50 (109th Congress), California",37.2
2005,"Congressional District 51 (109th Congress), California",31.5
2005,"Congressional District 52 (109th Congress), California",35.2
2005,"Congressional District 53 (109th Congress), California",32.1
2005,"Congressional District 1 (109th Congress), Colorado",34.4
2005,"Congressional District 2 (109th Congress), Colorado",33.5
2005,"Congressional District 3 (109th Congress), Colorado",37.0
2005,"Congressional District 4 (109th Congress), Colorado",33.4
2005,"Congressional District 5 (109th Congress), Colorado",34.5
2005,"Congressional District 6 (109th Congress), Colorado",36.1
2005,"Congressional District 7 (109th Congress), Colorado",34.4
2005,"Congressional District 1 (109th Congress), Connecticut",39.6
2005,"Congressional District 2 (109th Congress), Connecticut",39.6
2005,"Congressional District 3 (109th Congress), Connecticut",39.0
2005,"Congressional District 4 (109th Congress), Connecticut",39.4
2005,"Congressional District 5 (109th Congress), Connecticut",38.8
2005,"Congressional District (at Large) (109th Congress), Delaware",37.9
2005,"Delegate District (at Large) (109th Congress), District of Columbia",35.9
2005,"Congressional District 1 (109th Congress), Florida",38.8
2005,"Congressional District 2 (109th Congress), Florida",37.0
2005,"Congressional District 3 (109th Congress), Florida",33.4
2005,"Congressional District 4 (109th Congress), Florida",36.5
2005,"Congressional District 5 (109th Congress), Florida",43.4
2005,"Congressional District 6 (109th Congress), Florida",38.7
2005,"Congressional District 7 (109th Congress), Florida",40.6
2005,"Congressional District 8 (109th Congress), Florida",36.9
2005,"Congressional District 9 (109th Congress), Florida",40.6
2005,"Congressional District 10 (109th Congress), Florida",45.0
2005,"Congressional District 11 (109th Congress), Florida",35.3
2005,"Congressional District 12 (109th Congress), Florida",37.1
2005,"Congressional District 13 (109th Congress), Florida",46.5
2005,"Congressional District 14 (109th Congress), Florida",44.9
2005,"Congressional District 15 (109th Congress), Florida",42.0
2005,"Congressional District 16 (109th Congress), Florida",44.1
2005,"Congressional District 17 (109th Congress), Florida",32.7
2005,"Congressional District 18 (109th Congress), Florida",41.2
2005,"Congressional District 19 (109th Congress), Florida",44.9
2005,"Congressional District 20 (109th Congress), Florida",39.3
2005,"Congressional District 21 (109th Congress), Florida",38.9
2005,"Congressional District 22 (109th Congress), Florida",44.6
2005,"Congressional District 23 (109th Congress), Florida",32.7
2005,"Congressional District 24 (109th Congress), Florida",38.3
2005,"Congressional District 25 (109th Congress), Florida",33.9
2005,"Congressional District 1 (109th Congress), Georgia",34.6
2005,"Congressional District 2 (109th Congress), Georgia",34.2
2005,"Congressional District 3 (109th Congress), Georgia",35.4
2005,"Congressional District 4 (109th Congress), Georgia",34.2
2005,"Congressional District 5 (109th Congress), Georgia",34.1
2005,"Congressional District 6 (109th Congress), Georgia",36.6
2005,"Congressional District 7 (109th Congress), Georgia",34.5
2005,"Congressional District 8 (109th Congress), Georgia",35.4
2005,"Congressional District 9 (109th Congress), Georgia",35.8
2005,"Congressional District 10 (109th Congress), Georgia",34.6
2005,"Congressional District 11 (109th Congress), Georgia",33.6
2005,"Congressional District 12 (109th Congress), Georgia",32.0
2005,"Congressional District 13 (109th Congress), Georgia",31.5
2005,"Congressional District 1 (109th Congress), Hawaii",41.0
2005,"Congressional District 2 (109th Congress), Hawaii",35.9
2005,"Congressional District 1 (109th Congress), Idaho",35.8
2005,"Congressional District 2 (109th Congress), Idaho",33.4
2005,"Congressional District 1 (109th Congress), Illinois",35.4
2005,"Congressional District 2 (109th Congress), Illinois",34.3
2005,"Congressional District 3 (109th Congress), Illinois",35.5
2005,"Congressional District 4 (109th Congress), Illinois",28.6
2005,"Congressional District 5 (109th Congress), Illinois",36.1
2005,"Congressional District 6 (109th Congress), Illinois",37.0
2005,"Congressional District 7 (109th Congress), Illinois",34.1
2005,"Congressional District 8 (109th Congress), Illinois",35.5
2005,"Congressional District 9 (109th Congress), Illinois",39.9
2005,"Congressional District 10 (109th Congress), Illinois",38.6
2005,"Congressional District 11 (109th Congress), Illinois",34.7
2005,"Congressional District 12 (109th Congress), Illinois",36.2
2005,"Congressional District 13 (109th Congress), Illinois",35.8
2005,"Congressional District 14 (109th Congress), Illinois",32.7
2005,"Congressional District 15 (109th Congress), Illinois",35.7
2005,"Congressional District 16 (109th Congress), Illinois",36.4
2005,"Congressional District 17 (109th Congress), Illinois",38.8
2005,"Congressional District 18 (109th Congress), Illinois",38.7
2005,"Congressional District 19 (109th Congress), Illinois",39.4
2005,"Congressional District 1 (109th Congress), Indiana",36.6
2005,"Congressional District 2 (109th Congress), Indiana",36.1
2005,"Congressional District 3 (109th Congress), Indiana",35.2
2005,"Congressional District 4 (109th Congress), Indiana",34.9
2005,"Congressional District 5 (109th Congress), Indiana",35.9
2005,"Congressional District 6 (109th Congress), Indiana",38.3
2005,"Congressional District 7 (109th Congress), Indiana",34.5
2005,"Congressional District 8 (109th Congress), Indiana",38.0
2005,"Congressional District 9 (109th Congress), Indiana",36.2
2005,"Congressional District 1 (109th Congress), Iowa",39.0
2005,"Congressional District 2 (109th Congress), Iowa",37.6
2005,"Congressional District 3 (109th Congress), Iowa",37.3
2005,"Congressional District 4 (109th Congress), Iowa",39.2
2005,"Congressional District 5 (109th Congress), Iowa",40.4
2005,"Congressional District 1 (109th Congress), Kansas",38.7
2005,"Congressional District 2 (109th Congress), Kansas",36.0
2005,"Congressional District 3 (109th Congress), Kansas",34.8
2005,"Congressional District 4 (109th Congress), Kansas",36.0
2005,"Congressional District 1 (109th Congress), Kentucky",39.1
2005,"Congressional District 2 (109th Congress), Kentucky",36.8
2005,"Congressional District 3 (109th Congress), Kentucky",38.6
2005,"Congressional District 4 (109th Congress), Kentucky",36.8
2005,"Congressional District 5 (109th Congress), Kentucky",37.8
2005,"Congressional District 6 (109th Congress), Kentucky",36.2
2005,"Congressional District 1 (109th Congress), Louisiana",37.6
2005,"Congressional District 2 (109th Congress), Louisiana",34.5
2005,"Congressional District 3 (109th Congress), Louisiana",35.5
2005,"Congressional District 4 (109th Congress), Louisiana",35.4
2005,"Congressional District 5 (109th Congress), Louisiana",35.9
2005,"Congressional District 6 (109th Congress), Louisiana",34.0
2005,"Congressional District 7 (109th Congress), Louisiana",35.2
2005,"Congressional District 1 (109th Congress), Maine",41.1
2005,"Congressional District 2 (109th Congress), Maine",41.3
2005,"Congressional District 1 (109th Congress), Maryland",39.7
2005,"Congressional District 2 (109th Congress), Maryland",36.2
2005,"Congressional District 3 (109th Congress), Maryland",36.4
2005,"Congressional District 4 (109th Congress), Maryland",35.4
2005,"Congressional District 5 (109th Congress), Maryland",36.0
2005,"Congressional District 6 (109th Congress), Maryland",38.3
2005,"Congressional District 7 (109th Congress), Maryland",37.5
2005,"Congressional District 8 (109th Congress), Maryland",37.9
2005,"Congressional District 1 (109th Congress), Massachusetts",39.2
2005,"Congressional District 2 (109th Congress), Massachusetts",37.7
2005,"Congressional District 3 (109th Congress), Massachusetts",37.7
2005,"Congressional District 4 (109th Congress), Massachusetts",39.1
2005,"Congressional District 5 (109th Congress), Massachusetts",37.2
2005,"Congressional District 6 (109th Congress), Massachusetts",40.5
2005,"Congressional District 7 (109th Congress), Massachusetts",39.7
2005,"Congressional District 8 (109th Congress), Massachusetts",32.9
2005,"Congressional District 9 (109th Congress), Massachusetts",37.4
2005,"Congressional District 10 (109th Congress), Massachusetts",41.8
2005,"Congressional District 1 (109th Congress), Michigan",42.2
2005,"Congressional District 2 (109th Congress), Michigan",36.1
2005,"Congressional District 3 (109th Congress), Michigan",34.4
2005,"Congressional District 4 (109th Congress), Michigan",38.4
2005,"Congressional District 5 (109th Congress), Michigan",36.4
2005,"Congressional District 6 (109th Congress), Michigan",37.1
2005,"Congressional District 7 (109th Congress), Michigan",37.8
2005,"Congressional District 8 (109th Congress), Michigan",35.7
2005,"Congressional District 9 (109th Congress), Michigan",39.7
2005,"Congressional District 10 (109th Congress), Michigan",37.8
2005,"Congressional District 11 (109th Congress), Michigan",37.8
2005,"Congressional District 12 (109th Congress), Michigan",37.7
2005,"Congressional District 13 (109th Congress), Michigan",33.0
2005,"Congressional District 14 (109th Congress), Michigan",35.3
2005,"Congressional District 15 (109th Congress), Michigan",34.5
2005,"Congressional District 1 (109th Congress), Minnesota",38.1
2005,"Congressional District 2 (109th Congress), Minnesota",34.9
2005,"Congressional District 3 (109th Congress), Minnesota",39.0
2005,"Congressional District 4 (109th Congress), Minnesota",36.4
2005,"Congressional District 5 (109th Congress), Minnesota",34.2
2005,"Congressional District 6 (109th Congress), Minnesota",34.4
2005,"Congressional District 7 (109th Congress), Minnesota",39.0
2005,"Congressional District 8 (109th Congress), Minnesota",39.7
2005,"Congressional District 1 (109th Congress), Mississippi",35.9
2005,"Congressional District 2 (109th Congress), Mississippi",33.9
2005,"Congressional District 3 (109th Congress), Mississippi",36.2
2005,"Congressional District 4 (109th Congress), Mississippi",36.0
2005,"Congressional District 1 (109th Congress), Missouri",36.5
2005,"Congressional District 2 (109th Congress), Missouri",38.5
2005,"Congressional District 3 (109th Congress), Missouri",37.6
2005,"Congressional District 4 (109th Congress), Missouri",38.1
2005,"Congressional District 5 (109th Congress), Missouri",36.3
2005,"Congressional District 6 (109th Congress), Missouri",38.0
2005,"Congressional District 7 (109th Congress), Missouri",36.8
2005,"Congressional District 8 (109th Congress), Missouri",38.4
2005,"Congressional District 9 (109th Congress), Missouri",36.5
2005,"Congressional District (at Large) (109th Congress), Montana",40.2
2005,"Congressional District 1 (109th Congress), Nebraska",35.8
2005,"Congressional District 2 (109th Congress), Nebraska",33.6
2005,"Congressional District 3 (109th Congress), Nebraska",39.9
2005,"Congressional District 1 (109th Congress), Nevada",33.2
2005,"Congressional District 2 (109th Congress), Nevada",36.5
2005,"Congressional District 3 (109th Congress), Nevada",36.0
2005,"Congressional District 1 (109th Congress), New Hampshire",39.8
2005,"Congressional District 2 (109th Congress), New Hampshire",39.2
2005,"Congressional District 1 (109th Congress), New Jersey",36.4
2005,"Congressional District 2 (109th Congress), New Jersey",38.2
2005,"Congressional District 3 (109th Congress), New Jersey",40.2
2005,"Congressional District 4 (109th Congress), New Jersey",38.8
