year,district,mortgage_cost
2007,"Congressional District 1 (110th Congress), Alabama",685
2007,"Congressional District 2 (110th Congress), Alabama",615
2007,"Congressional District 3 (110th Congress), Alabama",618
2007,"Congressional District 4 (110th Congress), Alabama",509
2007,"Congressional District 5 (110th Congress), Alabama",655
2007,"Congressional District 6 (110th Congress), Alabama",923
2007,"Congressional District 7 (110th Congress), Alabama",647
2007,"Congressional District (at Large) (110th Congress), Alaska",1130
2007,"Congressional District 1 (110th Congress), Arizona",682
2007,"Congressional District 2 (110th Congress), Arizona",1059
2007,"Congressional District 3 (110th Congress), Arizona",1163
2007,"Congressional District 4 (110th Congress), Arizona",889
2007,"Congressional District 5 (110th Congress), Arizona",1140
2007,"Congressional District 6 (110th Congress), Arizona",1171
2007,"Congressional District 7 (110th Congress), Arizona",784
2007,"Congressional District 8 (110th Congress), Arizona",870
2007,"Congressional District 1 (110th Congress), Arkansas",532
2007,"Congressional District 2 (110th Congress), Arkansas",710
2007,"Congressional District 3 (110th Congress), Arkansas",668
2007,"Congressional District 4 (110th Congress), Arkansas",515
2007,"Congressional District 1 (110th Congress), California",1105
2007,"Congressional District 2 (110th Congress), California",886
2007,"Congressional District 3 (110th Congress), California",1425
2007,"Congressional District 4 (110th Congress), California",1317
2007,"Congressional District 5 (110th Congress), California",1048
2007,"Congressional District 6 (110th Congress), California",1542
2007,"Congressional District 7 (110th Congress), California",1480
2007,"Congressional District 8 (110th Congress), California",1340
2007,"Congressional District 9 (110th Congress), California",1230
2007,"Congressional District 10 (110th Congress), California",1817
2007,"Congressional District 11 (110th Congress), California",1781
2007,"Congressional District 12 (110th Congress), California",1764
2007,"Congressional District 13 (110th Congress), California",1564
2007,"Congressional District 14 (110th Congress), California",1718
2007,"Congressional District 15 (110th Congress), California",1708
2007,"Congressional District 16 (110th Congress), California",1789
2007,"Congressional District 17 (110th Congress), California",1349
2007,"Congressional District 18 (110th Congress), California",1027
2007,"Congressional District 19 (110th Congress), California",1083
2007,"Congressional District 20 (110th Congress), California",778
2007,"Congressional District 21 (110th Congress), California",948
2007,"Congressional District 22 (110th Congress), California",1167
2007,"Congressional District 23 (110th Congress), California",1333
2007,"Congressional District 24 (110th Congress), California",1737
2007,"Congressional District 25 (110th Congress), California",1508
2007,"Congressional District 26 (110th Congress), California",1604
2007,"Congressional District 27 (110th Congress), California",1411
2007,"Congressional District 28 (110th Congress), California",1273
2007,"Congressional District 29 (110th Congress), California",1298
2007,"Congressional District 30 (110th Congress), California",1800
2007,"Congressional District 31 (110th Congress), California",910
2007,"Congressional District 32 (110th Congress), California",1198
2007,"Congressional District 33 (110th Congress), California",1070
2007,"Congressional District 34 (110th Congress), California",936
2007,"Congressional District 35 (110th Congress), California",1049
2007,"Congressional District 36 (110th Congress), California",1425
2007,"Congressional District 37 (110th Congress), California",1106
2007,"Congressional District 38 (110th Congress), California",1227
2007,"Congressional District 39 (110th Congress), California",1268
2007,"Congressional District 40 (110th Congress), California",1467
2007,"Congressional District 41 (110th Congress), California",1146
2007,"Congressional District 42 (110th Congress), California",1944
2007,"Congressional District 43 (110th Congress), California",1247
2007,"Congressional District 44 (110th Congress), California",1685
2007,"Congressional District 45 (110th Congress), California",1294
2007,"Congressional District 46 (110th Congress), California",1582
2007,"Congressional District 47 (110th Congress), California",1269
2007,"Congressional District 48 (110th Congress), California",2024
2007,"Congressional District 49 (110th Congress), California",1560
2007,"Congressional District 50 (110th Congress), California",1735
2007,"Congressional District 51 (110th Congress), California",1141
2007,"Congressional District 52 (110th Congress), California",1548
2007,"Congressional District 53 (110th Congress), California",1200
2007,"Congressional District 1 (110th Congress), Colorado",936
2007,"Congressional District 2 (110th Congress), Colorado",1310
2007,"Congressional District 3 (110th Congress), Colorado",833
2007,"Congressional District 4 (110th Congress), Colorado",974
2007,"Congressional District 5 (110th Congress), Colorado",1030
2007,"Congressional District 6 (110th Congress), Colorado",1583
2007,"Congressional District 7 (110th Congress), Colorado",1033
2007,"Congressional District 1 (110th Congress), Connecticut",1127
2007,"Congressional District 2 (110th Congress), Connecticut",1225
2007,"Congressional District 3 (110th Congress), Connecticut",1249
2007,"Congressional District 4 (110th Congress), Connecticut",1759
2007,"Congressional District 5 (110th Congress), Connecticut",1265
2007,"Congressional District (at Large) (110th Congress), Delaware",1057
2007,"Delegate District (at Large) (110th Congress), District of Columbia",1151
2007,"Congressional District 1 (110th Congress), Florida",844
2007,"Congressional District 2 (110th Congress), Florida",825
2007,"Congressional District 3 (110th Congress), Florida",791
2007,"Congressional District 4 (110th Congress), Florida",977
2007,"Congressional District 5 (110th Congress), Florida",826
2007,"Congressional District 6 (110th Congress), Florida",874
2007,"Congressional District 7 (110th Congress), Florida",1054
2007,"Congressional District 8 (110th Congress), Florida",1106
2007,"Congressional District 9 (110th Congress), Florida",1030
2007,"Congressional District 10 (110th Congress), Florida",917
2007,"Congressional District 11 (110th Congress), Florida",944
2007,"Congressional District 12 (110th Congress), Florida",886
2007,"Congressional District 13 (110th Congress), Florida",1007
2007,"Congressional District 14 (110th Congress), Florida",1159
2007,"Congressional District 15 (110th Congress), Florida",1049
2007,"Congressional District 16 (110th Congress), Florida",1022
2007,"Congressional District 17 (110th Congress), Florida",1059
2007,"Congressional District 18 (110th Congress), Florida",1114
2007,"Congressional District 19 (110th Congress), Florida",1139
2007,"Congressional District 20 (110th Congress), Florida",1420
2007,"Congressional District 21 (110th Congress), Florida",1275
2007,"Congressional District 22 (110th Congress), Florida",1429
2007,"Congressional District 23 (110th Congress), Florida",1017
2007,"Congressional District 24 (110th Congress), Florida",1117
2007,"Congressional District 25 (110th Congress), Florida",1464
2007,"Congressional District 1 (110th Congress), Georgia",701
2007,"Congressional District 2 (110th Congress), Georgia",593
2007,"Congressional District 3 (110th Congress), Georgia",979
2007,"Congressional District 4 (110th Congress), Georgia",1052
2007,"Congressional District 5 (110th Congress), Georgia",1051
2007,"Congressional District 6 (110th Congress), Georgia",1399
2007,"Congressional District 7 (110th Congress), Georgia",1266
2007,"Congressional District 8 (110th Congress), Georgia",695
2007,"Congressional District 9 (110th Congress), Georgia",811
2007,"Congressional District 10 (110th Congress), Georgia",730
2007,"Congressional District 11 (110th Congress), Georgia",946
2007,"Congressional District 12 (110th Congress), Georgia",672
2007,"Congressional District 13 (110th Congress), Georgia",1069
2007,"Congressional District 1 (110th Congress), Hawaii",1283
2007,"Congressional District 2 (110th Congress), Hawaii",1339
2007,"Congressional District 1 (110th Congress), Idaho",865
2007,"Congressional District 2 (110th Congress), Idaho",729
2007,"Congressional District 1 (110th Congress), Illinois",921
2007,"Congressional District 2 (110th Congress), Illinois",1019
2007,"Congressional District 3 (110th Congress), Illinois",1064
2007,"Congressional District 4 (110th Congress), Illinois",959
2007,"Congressional District 5 (110th Congress), Illinois",1188
2007,"Congressional District 6 (110th Congress), Illinois",1381
2007,"Congressional District 7 (110th Congress), Illinois",1204
2007,"Congressional District 8 (110th Congress), Illinois",1489
2007,"Congressional District 9 (110th Congress), Illinois",1111
2007,"Congressional District 10 (110th Congress), Illinois",1534
2007,"Congressional District 11 (110th Congress), Illinois",1006
2007,"Congressional District 12 (110th Congress), Illinois",696
2007,"Congressional District 13 (110th Congress), Illinois",1636
2007,"Congressional District 14 (110th Congress), Illinois",1384
2007,"Congressional District 15 (110th Congress), Illinois",706
2007,"Congressional District 16 (110th Congress), Illinois",980
2007,"Congressional District 17 (110th Congress), Illinois",603
2007,"Congressional District 18 (110th Congress), Illinois",717
2007,"Congressional District 19 (110th Congress), Illinois",661
2007,"Congressional District 1 (110th Congress), Indiana",852
2007,"Congressional District 2 (110th Congress), Indiana",730
2007,"Congressional District 3 (110th Congress), Indiana",761
2007,"Congressional District 4 (110th Congress), Indiana",898
2007,"Congressional District 5 (110th Congress), Indiana",954
2007,"Congressional District 6 (110th Congress), Indiana",678
2007,"Congressional District 7 (110th Congress), Indiana",767
2007,"Congressional District 8 (110th Congress), Indiana",661
2007,"Congressional District 9 (110th Congress), Indiana",727
2007,"Congressional District 1 (110th Congress), Iowa",668
2007,"Congressional District 2 (110th Congress), Iowa",691
