year,district,bach_deg_num,median_HH_income,high_school_num
2011,"Congressional District 1 (112th Congress), Alabama",64308,23254,154277
2011,"Congressional District 2 (112th Congress), Alabama",58075,21170,144827
2011,"Congressional District 3 (112th Congress), Alabama",55126,19326,138814
2011,"Congressional District 4 (112th Congress), Alabama",36112,20033,153360
2011,"Congressional District 5 (112th Congress), Alabama",80818,23140,143429
2011,"Congressional District 6 (112th Congress), Alabama",109104,27764,130987
2011,"Congressional District 7 (112th Congress), Alabama",39945,16759,119756
2011,"Congressional District (at Large) (112th Congress), Alaska",77153,30234,128373
2011,"Congressional District 1 (112th Congress), Arizona",66454,19950,148343
2011,"Congressional District 2 (112th Congress), Arizona",101424,26490,191810
2011,"Congressional District 3 (112th Congress), Arizona",114705,30094,104995
2011,"Congressional District 4 (112th Congress), Arizona",37029,20403,109394
2011,"Congressional District 5 (112th Congress), Arizona",116369,30639,79004
2011,"Congressional District 6 (112th Congress), Arizona",125763,29427,145123
2011,"Congressional District 7 (112th Congress), Arizona",49841,19334,140643
2011,"Congressional District 8 (112th Congress), Arizona",107961,26214,117275
2011,"Congressional District 1 (112th Congress), Arkansas",47133,19160,185842
2011,"Congressional District 2 (112th Congress), Arkansas",86422,24204,156786
2011,"Congressional District 3 (112th Congress), Arkansas",80227,21606,177035
2011,"Congressional District 4 (112th Congress), Arkansas",41121,18352,173553
2011,"Congressional District 1 (112th Congress), California",86225,23339,106705
2011,"Congressional District 2 (112th Congress), California",62123,20871,116575
2011,"Congressional District 3 (112th Congress), California",101600,29259,119017
2011,"Congressional District 4 (112th Congress), California",113942,27785,114747
2011,"Congressional District 5 (112th Congress), California",72516,22250,101997
2011,"Congressional District 6 (112th Congress), California",116227,31342,87306
2011,"Congressional District 7 (112th Congress), California",84096,28897,107968
2011,"Congressional District 8 (112th Congress), California",168923,32599,74689
2011,"Congressional District 9 (112th Congress), California",106496,29327,71966
2011,"Congressional District 10 (112th Congress), California",117186,35116,95513
2011,"Congressional District 11 (112th Congress), California",109161,31737,106806
2011,"Congressional District 12 (112th Congress), California",134929,37030,80423
2011,"Congressional District 13 (112th Congress), California",106352,31670,111974
2011,"Congressional District 14 (112th Congress), California",127528,42178,56259
2011,"Congressional District 15 (112th Congress), California",126542,37171,78929
2011,"Congressional District 16 (112th Congress), California",96741,27650,94133
2011,"Congressional District 17 (112th Congress), California",68553,22273,79548
2011,"Congressional District 18 (112th Congress), California",31063,17842,114093
2011,"Congressional District 19 (112th Congress), California",66723,22739,126257
2011,"Congressional District 20 (112th Congress), California",25532,15637,99769
2011,"Congressional District 21 (112th Congress), California",57957,20550,108141
2011,"Congressional District 22 (112th Congress), California",64543,24449,138399
2011,"Congressional District 23 (112th Congress), California",74425,22290,74596
2011,"Congressional District 24 (112th Congress), California",101030,31153,87593
2011,"Congressional District 25 (112th Congress), California",69117,26101,123531
2011,"Congressional District 26 (112th Congress), California",110790,32013,88163
2011,"Congressional District 27 (112th Congress), California",101057,24992,105741
2011,"Congressional District 28 (112th Congress), California",78065,22408,85775
2011,"Congressional District 29 (112th Congress), California",110946,25441,89800
2011,"Congressional District 30 (112th Congress), California",169699,40006,61612
2011,"Congressional District 31 (112th Congress), California",59193,16296,81486
2011,"Congressional District 32 (112th Congress), California",51576,20493,103425
2011,"Congressional District 33 (112th Congress), California",97399,21424,84893
2011,"Congressional District 34 (112th Congress), California",34756,17352,90284
2011,"Congressional District 35 (112th Congress), California",46419,19902,91600
2011,"Congressional District 36 (112th Congress), California",130391,32384,80131
2011,"Congressional District 37 (112th Congress), California",54702,20360,87628
2011,"Congressional District 38 (112th Congress), California",47085,21228,102847
2011,"Congressional District 39 (112th Congress), California",45129,21854,98141
2011,"Congressional District 40 (112th Congress), California",95716,26493,97228
2011,"Congressional District 41 (112th Congress), California",60584,24261,147156
2011,"Congressional District 42 (112th Congress), California",118406,35531,84298
2011,"Congressional District 43 (112th Congress), California",30093,19505,115293
2011,"Congressional District 44 (112th Congress), California",88903,26793,122957
2011,"Congressional District 45 (112th Congress), California",81611,23275,151740
2011,"Congressional District 46 (112th Congress), California",120513,33898,79261
2011,"Congressional District 47 (112th Congress), California",41267,20395,88548
2011,"Congressional District 48 (112th Congress), California",167028,40881,62676
2011,"Congressional District 49 (112th Congress), California",66706,24948,120540
2011,"Congressional District 50 (112th Congress), California",138046,32311,76315
2011,"Congressional District 51 (112th Congress), California",63450,21999,106302
2011,"Congressional District 52 (112th Congress), California",94188,31587,98720
2011,"Congressional District 53 (112th Congress), California",104174,26317,71500
2011,"Congressional District 1 (112th Congress), Colorado",117927,28814,88331
2011,"Congressional District 2 (112th Congress), Colorado",130690,30951,96981
2011,"Congressional District 3 (112th Congress), Colorado",88583,23378,127713
2011,"Congressional District 4 (112th Congress), Colorado",95527,25425,114225
2011,"Congressional District 5 (112th Congress), Colorado",97765,27340,114642
2011,"Congressional District 6 (112th Congress), Colorado",172984,39819,94242
2011,"Congressional District 7 (112th Congress), Colorado",86383,27772,121566
2011,"Congressional District 1 (112th Congress), Connecticut",94144,30745,136838
2011,"Congressional District 2 (112th Congress), Connecticut",92160,31938,151296
2011,"Congressional District 3 (112th Congress), Connecticut",84500,30391,151101
2011,"Congressional District 4 (112th Congress), Connecticut",130000,34574,102646
2011,"Congressional District 5 (112th Congress), Connecticut",99299,30680,134632
2011,"Congressional District (at Large) (112th Congress), Delaware",104599,29766,192931
2011,"Delegate District (at Large) (112th Congress), District of Columbia",99622,40030,75897
