year,district,bach_deg_num,median_HH_income,high_school_num
2012,"Congressional District 13 (113th Congress), Florida",97891,26192,168455
2012,"Congressional District 14 (113th Congress), Florida",82088,22230,148930
2012,"Congressional District 15 (113th Congress), Florida",84259,26128,143615
2012,"Congressional District 16 (113th Congress), Florida",96491,25272,162485
2012,"Congressional District 17 (113th Congress), Florida",60810,21782,175012
2012,"Congressional District 18 (113th Congress), Florida",99135,26142,137916
2012,"Congressional District 19 (113th Congress), Florida",96533,25478,157188
2012,"Congressional District 20 (113th Congress), Florida",55800,20427,165899
2012,"Congressional District 21 (113th Congress), Florida",115606,26942,130750
2012,"Congressional District 22 (113th Congress), Florida",117854,27378,122782
2012,"Congressional District 23 (113th Congress), Florida",113752,26894,128074
2012,"Congressional District 24 (113th Congress), Florida",62909,20091,153841
2012,"Congressional District 25 (113th Congress), Florida",81776,21285,150477
2012,"Congressional District 26 (113th Congress), Florida",97727,22109,146076
2012,"Congressional District 27 (113th Congress), Florida",91630,19203,136907
2012,"Congressional District 1 (113th Congress), Georgia",67304,23086,143898
2012,"Congressional District 2 (113th Congress), Georgia",46101,18940,145006
2012,"Congressional District 3 (113th Congress), Georgia",68666,25661,144824
2012,"Congressional District 4 (113th Congress), Georgia",79908,25935,122794
2012,"Congressional District 5 (113th Congress), Georgia",104523,23429,107576
2012,"Congressional District 6 (113th Congress), Georgia",179362,37038,61280
2012,"Congressional District 7 (113th Congress), Georgia",119153,31042,107221
2012,"Congressional District 8 (113th Congress), Georgia",52417,21811,148892
2012,"Congressional District 9 (113th Congress), Georgia",62011,21849,157015
2012,"Congressional District 10 (113th Congress), Georgia",62658,22163,145763
2012,"Congressional District 11 (113th Congress), Georgia",117709,30113,103372
2012,"Congressional District 12 (113th Congress), Georgia",52956,21479,151227
2012,"Congressional District 13 (113th Congress), Georgia",84909,26358,121316
2012,"Congressional District 14 (113th Congress), Georgia",43080,21644,150682
2012,"Congressional District 1 (113th Congress), Hawaii",108687,31323,119809
