year,district,median_age
2010,"Congressional District 8 (111th Congress), Georgia",36.8
2010,"Congressional District 9 (111th Congress), Georgia",38.0
2010,"Congressional District 10 (111th Congress), Georgia",36.4
2010,"Congressional District 11 (111th Congress), Georgia",35.7
2010,"Congressional District 12 (111th Congress), Georgia",34.1
2010,"Congressional District 13 (111th Congress), Georgia",33.0
2010,"Congressional District 1 (111th Congress), Hawaii",40.4
2010,"Congressional District 2 (111th Congress), Hawaii",37.2
2010,"Congressional District 1 (111th Congress), Idaho",36.2
2010,"Congressional District 2 (111th Congress), Idaho",32.9
2010,"Congressional District 1 (111th Congress), Illinois",36.5
2010,"Congressional District 2 (111th Congress), Illinois",37.7
2010,"Congressional District 3 (111th Congress), Illinois",35.6
2010,"Congressional District 4 (111th Congress), Illinois",29.6
2010,"Congressional District 5 (111th Congress), Illinois",33.5
2010,"Congressional District 6 (111th Congress), Illinois",36.7
2010,"Congressional District 7 (111th Congress), Illinois",33.1
2010,"Congressional District 8 (111th Congress), Illinois",36.6
2010,"Congressional District 9 (111th Congress), Illinois",39.1
2010,"Congressional District 10 (111th Congress), Illinois",39.9
2010,"Congressional District 11 (111th Congress), Illinois",36.2
2010,"Congressional District 12 (111th Congress), Illinois",38.4
2010,"Congressional District 13 (111th Congress), Illinois",37.6
2010,"Congressional District 14 (111th Congress), Illinois",34.5
2010,"Congressional District 15 (111th Congress), Illinois",36.2
2010,"Congressional District 16 (111th Congress), Illinois",39.4
2010,"Congressional District 17 (111th Congress), Illinois",39.8
2010,"Congressional District 18 (111th Congress), Illinois",39.9
2010,"Congressional District 19 (111th Congress), Illinois",40.8
2010,"Congressional District 1 (111th Congress), Indiana",37.2
2010,"Congressional District 2 (111th Congress), Indiana",37.9
2010,"Congressional District 3 (111th Congress), Indiana",35.9
2010,"Congressional District 4 (111th Congress), Indiana",35.6
2010,"Congressional District 5 (111th Congress), Indiana",37.3
2010,"Congressional District 6 (111th Congress), Indiana",39.0
2010,"Congressional District 7 (111th Congress), Indiana",33.3
2010,"Congressional District 8 (111th Congress), Indiana",39.4
2010,"Congressional District 9 (111th Congress), Indiana",37.5
2010,"Congressional District 1 (111th Congress), Iowa",38.9
2010,"Congressional District 2 (111th Congress), Iowa",36.8
2010,"Congressional District 3 (111th Congress), Iowa",36.5
2010,"Congressional District 4 (111th Congress), Iowa",38.4
2010,"Congressional District 5 (111th Congress), Iowa",40.5
2010,"Congressional District 1 (111th Congress), Kansas",39.2
2010,"Congressional District 2 (111th Congress), Kansas",36.4
2010,"Congressional District 3 (111th Congress), Kansas",34.2
2010,"Congressional District 4 (111th Congress), Kansas",35.6
2010,"Congressional District 1 (111th Congress), Kentucky",39.1
2010,"Congressional District 2 (111th Congress), Kentucky",36.9
2010,"Congressional District 3 (111th Congress), Kentucky",38.2
2010,"Congressional District 4 (111th Congress), Kentucky",38.2
2010,"Congressional District 5 (111th Congress), Kentucky",39.7
2010,"Congressional District 6 (111th Congress), Kentucky",36.3
2010,"Congressional District 1 (111th Congress), Louisiana",39.0
2010,"Congressional District 2 (111th Congress), Louisiana",34.5
2010,"Congressional District 3 (111th Congress), Louisiana",35.9
2010,"Congressional District 4 (111th Congress), Louisiana",36.0
2010,"Congressional District 5 (111th Congress), Louisiana",36.2
2010,"Congressional District 6 (111th Congress), Louisiana",34.4
2010,"Congressional District 7 (111th Congress), Louisiana",35.4
2010,"Congressional District 1 (111th Congress), Maine",42.6
2010,"Congressional District 2 (111th Congress), Maine",42.9
2010,"Congressional District 1 (111th Congress), Maryland",41.4
2010,"Congressional District 2 (111th Congress), Maryland",36.0
2010,"Congressional District 3 (111th Congress), Maryland",37.0
2010,"Congressional District 4 (111th Congress), Maryland",35.9
2010,"Congressional District 5 (111th Congress), Maryland",37.0
2010,"Congressional District 6 (111th Congress), Maryland",40.7
2010,"Congressional District 7 (111th Congress), Maryland",36.4
2010,"Congressional District 8 (111th Congress), Maryland",38.2
2010,"Congressional District 1 (111th Congress), Massachusetts",40.8
2010,"Congressional District 2 (111th Congress), Massachusetts",38.7
2010,"Congressional District 3 (111th Congress), Massachusetts",38.7
2010,"Congressional District 4 (111th Congress), Massachusetts",40.5
2010,"Congressional District 5 (111th Congress), Massachusetts",39.2
2010,"Congressional District 6 (111th Congress), Massachusetts",41.8
2010,"Congressional District 7 (111th Congress), Massachusetts",39.4
2010,"Congressional District 8 (111th Congress), Massachusetts",30.0
2010,"Congressional District 9 (111th Congress), Massachusetts",39.0
2010,"Congressional District 10 (111th Congress), Massachusetts",44.7
2010,"Congressional District 1 (111th Congress), Michigan",45.5
2010,"Congressional District 2 (111th Congress), Michigan",39.0
2010,"Congressional District 3 (111th Congress), Michigan",35.2
2010,"Congressional District 4 (111th Congress), Michigan",39.9
2010,"Congressional District 5 (111th Congress), Michigan",38.5
2010,"Congressional District 6 (111th Congress), Michigan",38.2
2010,"Congressional District 7 (111th Congress), Michigan",39.9
2010,"Congressional District 8 (111th Congress), Michigan",37.3
2010,"Congressional District 9 (111th Congress), Michigan",40.3
2010,"Congressional District 10 (111th Congress), Michigan",40.8
2010,"Congressional District 11 (111th Congress), Michigan",40.0
2010,"Congressional District 12 (111th Congress), Michigan",40.6
2010,"Congressional District 13 (111th Congress), Michigan",35.4
2010,"Congressional District 14 (111th Congress), Michigan",37.0
2010,"Congressional District 15 (111th Congress), Michigan",35.6
2010,"Congressional District 1 (111th Congress), Minnesota",38.7
2010,"Congressional District 2 (111th Congress), Minnesota",36.3
2010,"Congressional District 3 (111th Congress), Minnesota",38.6
2010,"Congressional District 4 (111th Congress), Minnesota",35.2
2010,"Congressional District 5 (111th Congress), Minnesota",33.8
2010,"Congressional District 6 (111th Congress), Minnesota",35.7
2010,"Congressional District 7 (111th Congress), Minnesota",40.5
2010,"Congressional District 8 (111th Congress), Minnesota",42.2
2010,"Congressional District 1 (111th Congress), Mississippi",36.9
2010,"Congressional District 2 (111th Congress), Mississippi",34.4
2010,"Congressional District 3 (111th Congress), Mississippi",36.7
2010,"Congressional District 4 (111th Congress), Mississippi",36.4
2010,"Congressional District 1 (111th Congress), Missouri",36.5
2010,"Congressional District 2 (111th Congress), Missouri",39.1
2010,"Congressional District 3 (111th Congress), Missouri",37.6
2010,"Congressional District 4 (111th Congress), Missouri",38.7
2010,"Congressional District 5 (111th Congress), Missouri",36.2
