year,district,median_age
2014,"Congressional District 1 (114th Congress), Alabama",39.5
2014,"Congressional District 2 (114th Congress), Alabama",38.0
2014,"Congressional District 3 (114th Congress), Alabama",38.0
2014,"Congressional District 4 (114th Congress), Alabama",40.9
2014,"Congressional District 5 (114th Congress), Alabama",39.4
2014,"Congressional District 6 (114th Congress), Alabama",39.3
2014,"Congressional District 7 (114th Congress), Alabama",35.2
2014,"Congressional District (at Large) (114th Congress), Alaska",33.3
2014,"Congressional District 1 (114th Congress), Arizona",37.0
2014,"Congressional District 2 (114th Congress), Arizona",40.9
2014,"Congressional District 3 (114th Congress), Arizona",31.0
2014,"Congressional District 4 (114th Congress), Arizona",47.2
2014,"Congressional District 5 (114th Congress), Arizona",36.5
2014,"Congressional District 6 (114th Congress), Arizona",41.4
2014,"Congressional District 7 (114th Congress), Arizona",28.8
2014,"Congressional District 8 (114th Congress), Arizona",42.0
2014,"Congressional District 9 (114th Congress), Arizona",33.6
2014,"Congressional District 1 (114th Congress), Arkansas",39.6
2014,"Congressional District 2 (114th Congress), Arkansas",36.6
2014,"Congressional District 3 (114th Congress), Arkansas",35.4
2014,"Congressional District 4 (114th Congress), Arkansas",40.0
2014,"Congressional District 1 (114th Congress), California",42.6
2014,"Congressional District 2 (114th Congress), California",43.4
2014,"Congressional District 3 (114th Congress), California",35.2
2014,"Congressional District 4 (114th Congress), California",44.1
2014,"Congressional District 5 (114th Congress), California",39.5
2014,"Congressional District 6 (114th Congress), California",33.5
2014,"Congressional District 7 (114th Congress), California",37.9
2014,"Congressional District 8 (114th Congress), California",34.2
2014,"Congressional District 9 (114th Congress), California",34.8
2014,"Congressional District 10 (114th Congress), California",33.7
2014,"Congressional District 11 (114th Congress), California",39.5
2014,"Congressional District 12 (114th Congress), California",38.6
2014,"Congressional District 13 (114th Congress), California",36.2
2014,"Congressional District 14 (114th Congress), California",39.1
2014,"Congressional District 15 (114th Congress), California",37.9
2014,"Congressional District 16 (114th Congress), California",30.0
2014,"Congressional District 17 (114th Congress), California",36.3
2014,"Congressional District 18 (114th Congress), California",40.3
2014,"Congressional District 19 (114th Congress), California",36.2
2014,"Congressional District 20 (114th Congress), California",34.1
2014,"Congressional District 21 (114th Congress), California",29.3
2014,"Congressional District 22 (114th Congress), California",32.4
2014,"Congressional District 23 (114th Congress), California",32.9
2014,"Congressional District 24 (114th Congress), California",35.6
2014,"Congressional District 25 (114th Congress), California",35.7
2014,"Congressional District 26 (114th Congress), California",36.7
2014,"Congressional District 27 (114th Congress), California",41.0
2014,"Congressional District 28 (114th Congress), California",38.7
2014,"Congressional District 29 (114th Congress), California",33.2
2014,"Congressional District 30 (114th Congress), California",39.2
2014,"Congressional District 31 (114th Congress), California",31.8
2014,"Congressional District 32 (114th Congress), California",36.1
2014,"Congressional District 33 (114th Congress), California",41.2
2014,"Congressional District 34 (114th Congress), California",34.7
2014,"Congressional District 35 (114th Congress), California",31.3
2014,"Congressional District 36 (114th Congress), California",38.9
2014,"Congressional District 37 (114th Congress), California",35.8
2014,"Congressional District 38 (114th Congress), California",36.3
2014,"Congressional District 39 (114th Congress), California",37.7
2014,"Congressional District 40 (114th Congress), California",30.6
2014,"Congressional District 41 (114th Congress), California",30.7
2014,"Congressional District 42 (114th Congress), California",34.9
2014,"Congressional District 43 (114th Congress), California",34.4
2014,"Congressional District 44 (114th Congress), California",30.6
2014,"Congressional District 45 (114th Congress), California",38.1
2014,"Congressional District 46 (114th Congress), California",31.6
2014,"Congressional District 47 (114th Congress), California",37.1
2014,"Congressional District 48 (114th Congress), California",41.1
2014,"Congressional District 49 (114th Congress), California",37.4
2014,"Congressional District 50 (114th Congress), California",37.2
2014,"Congressional District 51 (114th Congress), California",31.6
2014,"Congressional District 52 (114th Congress), California",36.2
2014,"Congressional District 53 (114th Congress), California",35.2
2014,"Congressional District 1 (114th Congress), Colorado",34.8
2014,"Congressional District 2 (114th Congress), Colorado",37.5
2014,"Congressional District 3 (114th Congress), Colorado",38.9
2014,"Congressional District 4 (114th Congress), Colorado",36.8
2014,"Congressional District 5 (114th Congress), Colorado",35.3
2014,"Congressional District 6 (114th Congress), Colorado",35.8
2014,"Congressional District 7 (114th Congress), Colorado",36.3
2014,"Congressional District 1 (114th Congress), Connecticut",40.9
2014,"Congressional District 2 (114th Congress), Connecticut",41.9
2014,"Congressional District 3 (114th Congress), Connecticut",39.4
2014,"Congressional District 4 (114th Congress), Connecticut",38.9
2014,"Congressional District 5 (114th Congress), Connecticut",41.5
2014,"Congressional District (at Large) (114th Congress), Delaware",39.6
2014,"Delegate District (at Large) (114th Congress), District of Columbia",33.8
2014,"Congressional District 1 (114th Congress), Florida",38.2
2014,"Congressional District 2 (114th Congress), Florida",36.8
2014,"Congressional District 3 (114th Congress), Florida",38.8
2014,"Congressional District 4 (114th Congress), Florida",38.1
2014,"Congressional District 5 (114th Congress), Florida",34.0
2014,"Congressional District 6 (114th Congress), Florida",46.8
2014,"Congressional District 7 (114th Congress), Florida",37.4
2014,"Congressional District 8 (114th Congress), Florida",47.7
2014,"Congressional District 9 (114th Congress), Florida",35.4
2014,"Congressional District 10 (114th Congress), Florida",41.0
2014,"Congressional District 11 (114th Congress), Florida",52.8
2014,"Congressional District 12 (114th Congress), Florida",44.6
2014,"Congressional District 13 (114th Congress), Florida",47.9
2014,"Congressional District 14 (114th Congress), Florida",36.1
2014,"Congressional District 15 (114th Congress), Florida",37.4
2014,"Congressional District 16 (114th Congress), Florida",51.1
2014,"Congressional District 17 (114th Congress), Florida",47.2
2014,"Congressional District 18 (114th Congress), Florida",47.2
2014,"Congressional District 19 (114th Congress), Florida",50.0
2014,"Congressional District 20 (114th Congress), Florida",36.6
2014,"Congressional District 21 (114th Congress), Florida",44.4
2014,"Congressional District 22 (114th Congress), Florida",44.8
2014,"Congressional District 23 (114th Congress), Florida",41.2
2014,"Congressional District 24 (114th Congress), Florida",35.8
2014,"Congressional District 25 (114th Congress), Florida",39.5
2014,"Congressional District 26 (114th Congress), Florida",40.1
2014,"Congressional District 27 (114th Congress), Florida",39.9
2014,"Congressional District 1 (114th Congress), Georgia",35.0
2014,"Congressional District 2 (114th Congress), Georgia",35.6
2014,"Congressional District 3 (114th Congress), Georgia",37.0
2014,"Congressional District 4 (114th Congress), Georgia",35.7
2014,"Congressional District 5 (114th Congress), Georgia",33.5
2014,"Congressional District 6 (114th Congress), Georgia",37.5
2014,"Congressional District 7 (114th Congress), Georgia",35.5
2014,"Congressional District 8 (114th Congress), Georgia",36.6
2014,"Congressional District 9 (114th Congress), Georgia",39.7
2014,"Congressional District 10 (114th Congress), Georgia",37.1
2014,"Congressional District 11 (114th Congress), Georgia",35.9
2014,"Congressional District 12 (114th Congress), Georgia",35.0
2014,"Congressional District 13 (114th Congress), Georgia",35.1
2014,"Congressional District 14 (114th Congress), Georgia",37.2
2014,"Congressional District 1 (114th Congress), Hawaii",38.6
2014,"Congressional District 2 (114th Congress), Hawaii",37.5
2014,"Congressional District 1 (114th Congress), Idaho",37.9
2014,"Congressional District 2 (114th Congress), Idaho",34.1
2014,"Congressional District 1 (114th Congress), Illinois",38.1
2014,"Congressional District 2 (114th Congress), Illinois",38.2
2014,"Congressional District 3 (114th Congress), Illinois",37.5
2014,"Congressional District 4 (114th Congress), Illinois",31.9
2014,"Congressional District 5 (114th Congress), Illinois",35.0
2014,"Congressional District 6 (114th Congress), Illinois",41.2
2014,"Congressional District 7 (114th Congress), Illinois",33.6
2014,"Congressional District 8 (114th Congress), Illinois",36.7
2014,"Congressional District 9 (114th Congress), Illinois",39.7
2014,"Congressional District 10 (114th Congress), Illinois",38.1
2014,"Congressional District 11 (114th Congress), Illinois",34.9
2014,"Congressional District 12 (114th Congress), Illinois",39.3
2014,"Congressional District 13 (114th Congress), Illinois",35.9
2014,"Congressional District 14 (114th Congress), Illinois",39.5
2014,"Congressional District 15 (114th Congress), Illinois",40.5
2014,"Congressional District 16 (114th Congress), Illinois",40.3
2014,"Congressional District 17 (114th Congress), Illinois",39.7
2014,"Congressional District 18 (114th Congress), Illinois",40.4
2014,"Congressional District 1 (114th Congress), Indiana",38.9
2014,"Congressional District 2 (114th Congress), Indiana",37.1
2014,"Congressional District 3 (114th Congress), Indiana",37.0
2014,"Congressional District 4 (114th Congress), Indiana",37.0
2014,"Congressional District 5 (114th Congress), Indiana",37.9
2014,"Congressional District 6 (114th Congress), Indiana",40.0
2014,"Congressional District 7 (114th Congress), Indiana",33.4
2014,"Congressional District 8 (114th Congress), Indiana",39.3
2014,"Congressional District 9 (114th Congress), Indiana",37.6
2014,"Congressional District 1 (114th Congress), Iowa",38.6
2014,"Congressional District 2 (114th Congress), Iowa",38.4
2014,"Congressional District 3 (114th Congress), Iowa",37.0
2014,"Congressional District 4 (114th Congress), Iowa",39.1
2014,"Congressional District 1 (114th Congress), Kansas",35.1
2014,"Congressional District 2 (114th Congress), Kansas",37.2
2014,"Congressional District 3 (114th Congress), Kansas",36.2
2014,"Congressional District 4 (114th Congress), Kansas",36.4
2014,"Congressional District 1 (114th Congress), Kentucky",39.5
2014,"Congressional District 2 (114th Congress), Kentucky",37.7
2014,"Congressional District 3 (114th Congress), Kentucky",37.7
2014,"Congressional District 4 (114th Congress), Kentucky",38.2
2014,"Congressional District 5 (114th Congress), Kentucky",41.0
2014,"Congressional District 6 (114th Congress), Kentucky",36.9
2014,"Congressional District 1 (114th Congress), Louisiana",37.3
2014,"Congressional District 2 (114th Congress), Louisiana",35.7
2014,"Congressional District 3 (114th Congress), Louisiana",35.4
2014,"Congressional District 4 (114th Congress), Louisiana",36.3
2014,"Congressional District 5 (114th Congress), Louisiana",37.1
2014,"Congressional District 6 (114th Congress), Louisiana",35.2
2014,"Congressional District 1 (114th Congress), Maine",43.7
2014,"Congressional District 2 (114th Congress), Maine",44.6
2014,"Congressional District 1 (114th Congress), Maryland",42.1
2014,"Congressional District 2 (114th Congress), Maryland",36.1
2014,"Congressional District 3 (114th Congress), Maryland",36.9
2014,"Congressional District 4 (114th Congress), Maryland",36.9
2014,"Congressional District 5 (114th Congress), Maryland",38.3
2014,"Congressional District 6 (114th Congress), Maryland",38.7
