year,district,black_pop,total_pop,white_pop
2010,"Congressional District 1 (111th Congress), Alabama",194656,689835,464769
2010,"Congressional District 2 (111th Congress), Alabama",206236,666779,431666
2010,"Congressional District 3 (111th Congress), Alabama",221144,690081,445480
2010,"Congressional District 4 (111th Congress), Alabama",34217,659152,600810
2010,"Congressional District 5 (111th Congress), Alabama",126927,719906,552254
2010,"Congressional District 6 (111th Congress), Alabama",89301,747579,620042
2010,"Congressional District 7 (111th Congress), Alabama",390499,611966,209255
2010,"Congressional District (at Large) (111th Congress), Alaska",24711,713985,481446
2010,"Congressional District 1 (111th Congress), Arizona",14066,781608,550086
2010,"Congressional District 2 (111th Congress), Arizona",31846,984825,847333
2010,"Congressional District 3 (111th Congress), Arizona",22217,691893,592332
2010,"Congressional District 4 (111th Congress), Arizona",73209,708666,482847
2010,"Congressional District 5 (111th Congress), Arizona",27803,660446,550779
2010,"Congressional District 6 (111th Congress), Arizona",36793,970648,793317
2010,"Congressional District 7 (111th Congress), Arizona",32333,866463,636082
2010,"Congressional District 8 (111th Congress), Arizona",25742,749188,642602
2010,"Congressional District 1 (111th Congress), Arkansas",115632,688562,555700
2010,"Congressional District 2 (111th Congress), Arkansas",161627,753672,561237
2010,"Congressional District 3 (111th Congress), Arkansas",21792,825495,712193
2010,"Congressional District 4 (111th Congress), Arkansas",165360,653877,460565
2010,"Congressional District 1 (111th Congress), California",12856,710852,553647
2010,"Congressional District 2 (111th Congress), California",8706,707923,575773
2010,"Congressional District 3 (111th Congress), California",50551,790923,547299
2010,"Congressional District 4 (111th Congress), California",10218,774590,658960
2010,"Congressional District 5 (111th Congress), California",93622,694153,368746
2010,"Congressional District 6 (111th Congress), California",15355,663617,544952
2010,"Congressional District 7 (111th Congress), California",106175,667980,373572
2010,"Congressional District 8 (111th Congress), California",46692,667249,345990
2010,"Congressional District 9 (111th Congress), California",129200,649988,308802
2010,"Congressional District 10 (111th Congress), California",50747,711957,460354
2010,"Congressional District 11 (111th Congress), California",36460,790726,537685
2010,"Congressional District 12 (111th Congress), California",11607,655978,345456
2010,"Congressional District 13 (111th Congress), California",49468,667840,243452
2010,"Congressional District 14 (111th Congress), California",15877,654654,428779
2010,"Congressional District 15 (111th Congress), California",18469,688250,324263
2010,"Congressional District 16 (111th Congress), California",21324,668121,317298
2010,"Congressional District 17 (111th Congress), California",13759,664462,517275
2010,"Congressional District 18 (111th Congress), California",40647,726204,489274
2010,"Congressional District 19 (111th Congress), California",27653,759459,600929
2010,"Congressional District 20 (111th Congress), California",49300,743070,448000
2010,"Congressional District 21 (111th Congress), California",19463,794639,560688
2010,"Congressional District 22 (111th Congress), California",55723,801417,594898
2010,"Congressional District 23 (111th Congress), California",14980,696273,540759
2010,"Congressional District 24 (111th Congress), California",9689,687108,520472
2010,"Congressional District 25 (111th Congress), California",80907,833546,527663
2010,"Congressional District 26 (111th Congress), California",34545,702191,425973
2010,"Congressional District 27 (111th Congress), California",32848,694684,432141
2010,"Congressional District 28 (111th Congress), California",25980,661126,398571
2010,"Congressional District 29 (111th Congress), California",28072,639084,365298
2010,"Congressional District 30 (111th Congress), California",20854,650843,511548
2010,"Congressional District 31 (111th Congress), California",22118,617286,236308
2010,"Congressional District 32 (111th Congress), California",14362,640186,260797
2010,"Congressional District 33 (111th Congress), California",161068,647747,223063
2010,"Congressional District 34 (111th Congress), California",32761,644666,330613
2010,"Congressional District 35 (111th Congress), California",186064,652604,249149
2010,"Congressional District 36 (111th Congress), California",25082,658353,422869
2010,"Congressional District 37 (111th Congress), California",136878,645662,300344
2010,"Congressional District 38 (111th Congress), California",21956,655139,351946
2010,"Congressional District 39 (111th Congress), California",32847,642760,278311
2010,"Congressional District 40 (111th Congress), California",14247,669897,382532
2010,"Congressional District 41 (111th Congress), California",47803,801137,580614
2010,"Congressional District 42 (111th Congress), California",14672,681474,425490
2010,"Congressional District 43 (111th Congress), California",81767,741833,432538
2010,"Congressional District 44 (111th Congress), California",44407,853323,585850
2010,"Congressional District 45 (111th Congress), California",63319,907715,628616
2010,"Congressional District 46 (111th Congress), California",11375,646672,425121
2010,"Congressional District 47 (111th Congress), California",11014,634506,264542
2010,"Congressional District 48 (111th Congress), California",12448,725898,510077
2010,"Congressional District 49 (111th Congress), California",34334,796782,552708
2010,"Congressional District 50 (111th Congress), California",14769,766469,585781
2010,"Congressional District 51 (111th Congress), California",55226,776990,458677
2010,"Congressional District 52 (111th Congress), California",33078,676691,521870
2010,"Congressional District 53 (111th Congress), California",43011,646666,446621
2010,"Congressional District 1 (111th Congress), Colorado",66310,666846,472502
2010,"Congressional District 2 (111th Congress), Colorado",8971,733438,633063
2010,"Congressional District 3 (111th Congress), Colorado",4159,706811,615500
2010,"Congressional District 4 (111th Congress), Colorado",9819,728198,652684
2010,"Congressional District 5 (111th Congress), Colorado",42869,729036,599848
2010,"Congressional District 6 (111th Congress), Colorado",17768,806019,716750
2010,"Congressional District 7 (111th Congress), Colorado",48221,678723,518018
2010,"Congressional District 1 (111th Congress), Connecticut",104897,714355,512758
2010,"Congressional District 2 (111th Congress), Connecticut",27028,728260,639599
2010,"Congressional District 3 (111th Congress), Connecticut",93749,708522,548146
2010,"Congressional District 4 (111th Congress), Connecticut",86539,708439,531555
2010,"Congressional District 5 (111th Congress), Connecticut",44667,717497,565898
2010,"Congressional District (at Large) (111th Congress), Delaware",191626,899769,636052
2010,"Delegate District (at Large) (111th Congress), District of Columbia",309221,604453,242905
2010,"Congressional District 1 (111th Congress), Florida",102741,694518,541603
2010,"Congressional District 2 (111th Congress), Florida",161022,740991,533766
2010,"Congressional District 3 (111th Congress), Florida",338357,632698,258541
2010,"Congressional District 4 (111th Congress), Florida",121643,745318,565188
2010,"Congressional District 5 (111th Congress), Florida",60233,947474,833199
2010,"Congressional District 6 (111th Congress), Florida",121044,813316,626101
2010,"Congressional District 7 (111th Congress), Florida",79420,821230,671196
2010,"Congressional District 8 (111th Congress), Florida",86789,823569,639999
2010,"Congressional District 9 (111th Congress), Florida",46667,756304,651777
2010,"Congressional District 10 (111th Congress), Florida",34727,632258,556269
2010,"Congressional District 11 (111th Congress), Florida",192315,677169,420804
2010,"Congressional District 12 (111th Congress), Florida",133896,836748,630942
2010,"Congressional District 13 (111th Congress), Florida",40038,762806,676147
2010,"Congressional District 14 (111th Congress), Florida",60795,855127,734837
2010,"Congressional District 15 (111th Congress), Florida",76911,816349,674383
2010,"Congressional District 16 (111th Congress), Florida",72660,796777,666930
2010,"Congressional District 17 (111th Congress), Florida",375698,632219,208095
2010,"Congressional District 18 (111th Congress), Florida",56183,717062,607514
2010,"Congressional District 19 (111th Congress), Florida",103083,739675,580838
2010,"Congressional District 20 (111th Congress), Florida",92825,684682,520179
2010,"Congressional District 21 (111th Congress), Florida",57200,697265,581472
2010,"Congressional District 22 (111th Congress), Florida",45410,702031,619574
2010,"Congressional District 23 (111th Congress), Florida",379630,680693,256898
2010,"Congressional District 24 (111th Congress), Florida",66183,793651,659237
2010,"Congressional District 25 (111th Congress), Florida",91907,843396,695972
2010,"Congressional District 1 (111th Congress), Georgia",191074,726256,488992
2010,"Congressional District 2 (111th Congress), Georgia",313824,634102,293230
2010,"Congressional District 3 (111th Congress), Georgia",199666,813574,571407
2010,"Congressional District 4 (111th Congress), Georgia",384639,671520,188913
2010,"Congressional District 5 (111th Congress), Georgia",307898,629209,263652
2010,"Congressional District 6 (111th Congress), Georgia",78446,769351,586056
2010,"Congressional District 7 (111th Congress), Georgia",202873,914277,565133
2010,"Congressional District 8 (111th Congress), Georgia",248712,711873,429805
2010,"Congressional District 9 (111th Congress), Georgia",29543,829101,738477
2010,"Congressional District 10 (111th Congress), Georgia",141210,736201,554768
2010,"Congressional District 11 (111th Congress), Georgia",120984,787941,605677
2010,"Congressional District 12 (111th Congress), Georgia",305377,701104,361899
2010,"Congressional District 13 (111th Congress), Georgia",452512,788078,247306
2010,"Congressional District 1 (111th Congress), Hawaii",9826,653660,122867
2010,"Congressional District 2 (111th Congress), Hawaii",10519,709961,212696
2010,"Congressional District 1 (111th Congress), Idaho",3366,841120,781795
2010,"Congressional District 2 (111th Congress), Idaho",5505,730330,667428
2010,"Congressional District 1 (111th Congress), Illinois",374325,601935,188182
2010,"Congressional District 2 (111th Congress), Illinois",414118,611148,158711
2010,"Congressional District 3 (111th Congress), Illinois",43059,661589,465706
2010,"Congressional District 4 (111th Congress), Illinois",28351,580404,344592
2010,"Congressional District 5 (111th Congress), Illinois",20587,645997,473543
2010,"Congressional District 6 (111th Congress), Illinois",21229,656905,508526
2010,"Congressional District 7 (111th Congress), Illinois",336174,638817,219738
2010,"Congressional District 8 (111th Congress), Illinois",30624,736851,584094
2010,"Congressional District 9 (111th Congress), Illinois",59467,636845,439871
2010,"Congressional District 10 (111th Congress), Illinois",32644,653079,504291
2010,"Congressional District 11 (111th Congress), Illinois",66466,749606,633969
2010,"Congressional District 12 (111th Congress), Illinois",117981,666262,523718
2010,"Congressional District 13 (111th Congress), Illinois",48774,777599,610366
2010,"Congressional District 14 (111th Congress), Illinois",45588,842007,665751
2010,"Congressional District 15 (111th Congress), Illinois",49885,690813,594622
2010,"Congressional District 16 (111th Congress), Illinois",47340,723063,628824
2010,"Congressional District 17 (111th Congress), Illinois",54323,633027,542225
2010,"Congressional District 18 (111th Congress), Illinois",52585,668014,590258
2010,"Congressional District 19 (111th Congress), Illinois",22625,669205,628675
2010,"Congressional District 1 (111th Congress), Indiana",133311,705801,504660
2010,"Congressional District 2 (111th Congress), Indiana",61497,677175,577558
2010,"Congressional District 3 (111th Congress), Indiana",43363,728745,640713
2010,"Congressional District 4 (111th Congress), Indiana",25595,788928,720390
2010,"Congressional District 5 (111th Congress), Indiana",31478,812910,732946
2010,"Congressional District 6 (111th Congress), Indiana",20806,672216,625578
2010,"Congressional District 7 (111th Congress), Indiana",221524,680151,395193
2010,"Congressional District 8 (111th Congress), Indiana",31756,695475,643348
2010,"Congressional District 9 (111th Congress), Indiana",17714,729220,682192
2010,"Congressional District 1 (111th Congress), Iowa",31207,596488,540668
2010,"Congressional District 2 (111th Congress), Iowa",20850,618688,565095
2010,"Congressional District 3 (111th Congress), Iowa",27435,645911,573946
2010,"Congressional District 4 (111th Congress), Iowa",8213,609868,576341
2010,"Congressional District 5 (111th Congress), Iowa",7485,578928,535546
2010,"Congressional District 1 (111th Congress), Kansas",16541,652252,587537
