year,district,mortgage_cost
2017,"Congressional District 1 (115th Congress), Alabama",796
2017,"Congressional District 2 (115th Congress), Alabama",733
2017,"Congressional District 3 (115th Congress), Alabama",655
2017,"Congressional District 4 (115th Congress), Alabama",578
2017,"Congressional District 5 (115th Congress), Alabama",754
2017,"Congressional District 6 (115th Congress), Alabama",972
2017,"Congressional District 7 (115th Congress), Alabama",701
2017,"Congressional District (at Large) (115th Congress), Alaska",1285
2017,"Congressional District 1 (115th Congress), Arizona",820
2017,"Congressional District 2 (115th Congress), Arizona",885
2017,"Congressional District 3 (115th Congress), Arizona",918
2017,"Congressional District 4 (115th Congress), Arizona",838
2017,"Congressional District 5 (115th Congress), Arizona",1271
2017,"Congressional District 6 (115th Congress), Arizona",1229
2017,"Congressional District 7 (115th Congress), Arizona",930
2017,"Congressional District 8 (115th Congress), Arizona",1145
2017,"Congressional District 9 (115th Congress), Arizona",1089
2017,"Congressional District 1 (115th Congress), Arkansas",604
2017,"Congressional District 2 (115th Congress), Arkansas",811
2017,"Congressional District 3 (115th Congress), Arkansas",760
2017,"Congressional District 4 (115th Congress), Arkansas",569
2017,"Congressional District 1 (115th Congress), California",1014
2017,"Congressional District 2 (115th Congress), California",1613
2017,"Congressional District 3 (115th Congress), California",1357
2017,"Congressional District 4 (115th Congress), California",1494
2017,"Congressional District 5 (115th Congress), California",1657
2017,"Congressional District 6 (115th Congress), California",1226
2017,"Congressional District 7 (115th Congress), California",1458
2017,"Congressional District 8 (115th Congress), California",1096
2017,"Congressional District 9 (115th Congress), California",1380
2017,"Congressional District 10 (115th Congress), California",1272
2017,"Congressional District 11 (115th Congress), California",1918
2017,"Congressional District 12 (115th Congress), California",1982
2017,"Congressional District 13 (115th Congress), California",1696
2017,"Congressional District 14 (115th Congress), California",2343
2017,"Congressional District 15 (115th Congress), California",2240
2017,"Congressional District 16 (115th Congress), California",974
2017,"Congressional District 17 (115th Congress), California",2399
2017,"Congressional District 18 (115th Congress), California",2523
2017,"Congressional District 19 (115th Congress), California",2203
2017,"Congressional District 20 (115th Congress), California",1633
2017,"Congressional District 21 (115th Congress), California",921
2017,"Congressional District 22 (115th Congress), California",1129
2017,"Congressional District 23 (115th Congress), California",1114
2017,"Congressional District 24 (115th Congress), California",1570
2017,"Congressional District 25 (115th Congress), California",1673
2017,"Congressional District 26 (115th Congress), California",1825
2017,"Congressional District 27 (115th Congress), California",1646
2017,"Congressional District 28 (115th Congress), California",1647
2017,"Congressional District 29 (115th Congress), California",1444
2017,"Congressional District 30 (115th Congress), California",1941
2017,"Congressional District 31 (115th Congress), California",1381
2017,"Congressional District 32 (115th Congress), California",1501
2017,"Congressional District 33 (115th Congress), California",2272
2017,"Congressional District 34 (115th Congress), California",1242
2017,"Congressional District 35 (115th Congress), California",1408
2017,"Congressional District 36 (115th Congress), California",1121
2017,"Congressional District 37 (115th Congress), California",1595
2017,"Congressional District 38 (115th Congress), California",1575
