year,district,unemp_rate
2013,"Congressional District 1 (113th Congress), Alabama",11.3
2013,"Congressional District 2 (113th Congress), Alabama",9.5
2013,"Congressional District 3 (113th Congress), Alabama",10.0
2013,"Congressional District 4 (113th Congress), Alabama",9.5
2013,"Congressional District 5 (113th Congress), Alabama",9.1
2013,"Congressional District 6 (113th Congress), Alabama",5.7
2013,"Congressional District 7 (113th Congress), Alabama",12.7
2013,"Congressional District (at Large) (113th Congress), Alaska",8.7
2013,"Congressional District 1 (113th Congress), Arizona",12.0
2013,"Congressional District 2 (113th Congress), Arizona",9.2
2013,"Congressional District 3 (113th Congress), Arizona",12.3
2013,"Congressional District 4 (113th Congress), Arizona",10.7
2013,"Congressional District 5 (113th Congress), Arizona",5.8
2013,"Congressional District 6 (113th Congress), Arizona",6.9
2013,"Congressional District 7 (113th Congress), Arizona",11.8
2013,"Congressional District 8 (113th Congress), Arizona",6.1
2013,"Congressional District 9 (113th Congress), Arizona",7.2
2013,"Congressional District 1 (113th Congress), Arkansas",10.0
2013,"Congressional District 2 (113th Congress), Arkansas",7.0
2013,"Congressional District 3 (113th Congress), Arkansas",6.3
2013,"Congressional District 4 (113th Congress), Arkansas",9.5
2013,"Congressional District 1 (113th Congress), California",10.2
2013,"Congressional District 2 (113th Congress), California",8.7
2013,"Congressional District 3 (113th Congress), California",11.5
2013,"Congressional District 4 (113th Congress), California",10.4
2013,"Congressional District 5 (113th Congress), California",9.4
2013,"Congressional District 6 (113th Congress), California",13.2
2013,"Congressional District 7 (113th Congress), California",11.4
2013,"Congressional District 8 (113th Congress), California",13.1
2013,"Congressional District 9 (113th Congress), California",12.7
2013,"Congressional District 10 (113th Congress), California",14.4
2013,"Congressional District 11 (113th Congress), California",9.4
2013,"Congressional District 12 (113th Congress), California",6.9
2013,"Congressional District 13 (113th Congress), California",10.6
2013,"Congressional District 14 (113th Congress), California",7.2
2013,"Congressional District 15 (113th Congress), California",7.4
2013,"Congressional District 16 (113th Congress), California",16.2
2013,"Congressional District 17 (113th Congress), California",7.8
2013,"Congressional District 18 (113th Congress), California",6.7
2013,"Congressional District 19 (113th Congress), California",9.5
2013,"Congressional District 20 (113th Congress), California",8.7
2013,"Congressional District 21 (113th Congress), California",14.0
2013,"Congressional District 22 (113th Congress), California",11.6
2013,"Congressional District 23 (113th Congress), California",11.1
2013,"Congressional District 24 (113th Congress), California",7.0
2013,"Congressional District 25 (113th Congress), California",9.8
2013,"Congressional District 26 (113th Congress), California",8.0
2013,"Congressional District 27 (113th Congress), California",8.0
2013,"Congressional District 28 (113th Congress), California",9.4
2013,"Congressional District 29 (113th Congress), California",11.9
2013,"Congressional District 30 (113th Congress), California",8.4
2013,"Congressional District 31 (113th Congress), California",12.1
2013,"Congressional District 32 (113th Congress), California",11.4
2013,"Congressional District 33 (113th Congress), California",7.0
2013,"Congressional District 34 (113th Congress), California",11.4
2013,"Congressional District 35 (113th Congress), California",11.8
2013,"Congressional District 36 (113th Congress), California",13.5
2013,"Congressional District 37 (113th Congress), California",10.3
2013,"Congressional District 38 (113th Congress), California",7.6
2013,"Congressional District 39 (113th Congress), California",7.7
2013,"Congressional District 40 (113th Congress), California",11.6
2013,"Congressional District 41 (113th Congress), California",14.4
2013,"Congressional District 42 (113th Congress), California",11.4
