year,district,bach_deg_num,high_school_num,median_HH_income
2015,"Congressional District 1 (114th Congress), Alabama",79764,161095,23514
2015,"Congressional District 2 (114th Congress), Alabama",61235,146734,22373
2015,"Congressional District 3 (114th Congress), Alabama",57809,142826,22599
2015,"Congressional District 4 (114th Congress), Alabama",45953,164803,21917
2015,"Congressional District 5 (114th Congress), Alabama",96095,133295,26440
2015,"Congressional District 6 (114th Congress), Alabama",107334,121684,30952
2015,"Congressional District 7 (114th Congress), Alabama",56436,147626,19325
2015,"Congressional District (at Large) (114th Congress), Alaska",87869,128052,31232
2015,"Congressional District 1 (114th Congress), Arizona",67227,134898,23423
2015,"Congressional District 2 (114th Congress), Arizona",94218,107484,25679
2015,"Congressional District 3 (114th Congress), Arizona",45427,121488,21821
2015,"Congressional District 4 (114th Congress), Arizona",65164,165613,23555
2015,"Congressional District 5 (114th Congress), Arizona",120493,114414,32268
2015,"Congressional District 6 (114th Congress), Arizona",141570,101660,34198
2015,"Congressional District 7 (114th Congress), Arizona",40804,129930,21475
2015,"Congressional District 8 (114th Congress), Arizona",95118,136984,30504
2015,"Congressional District 9 (114th Congress), Arizona",118912,98400,29577
2015,"Congressional District 1 (114th Congress), Arkansas",49193,191149,20567
2015,"Congressional District 2 (114th Congress), Arkansas",91119,149246,25470
2015,"Congressional District 3 (114th Congress), Arkansas",88615,151831,25363
2015,"Congressional District 4 (114th Congress), Arkansas",50048,186226,21291
2015,"Congressional District 1 (114th Congress), California",81191,123635,22930
2015,"Congressional District 2 (114th Congress), California",127615,92094,31263
2015,"Congressional District 3 (114th Congress), California",71902,112908,25874
2015,"Congressional District 4 (114th Congress), California",109989,115900,31800
2015,"Congressional District 5 (114th Congress), California",104908,108216,31116
2015,"Congressional District 6 (114th Congress), California",88526,114584,25462
2015,"Congressional District 7 (114th Congress), California",113160,104223,31693
2015,"Congressional District 8 (114th Congress), California",46743,127806,22858
2015,"Congressional District 9 (114th Congress), California",60309,119385,26192
2015,"Congressional District 10 (114th Congress), California",57409,131555,25414
2015,"Congressional District 11 (114th Congress), California",137014,89215,36371
2015,"Congressional District 12 (114th Congress), California",203197,73812,46689
2015,"Congressional District 13 (114th Congress), California",140989,75508,31296
2015,"Congressional District 14 (114th Congress), California",150406,85853,37466
2015,"Congressional District 15 (114th Congress), California",145125,107228,41272
2015,"Congressional District 16 (114th Congress), California",36784,109246,18995
2015,"Congressional District 17 (114th Congress), California",152395,83273,45209
2015,"Congressional District 18 (114th Congress), California",150424,59116,51721
2015,"Congressional District 19 (114th Congress), California",110622,94483,31264
2015,"Congressional District 20 (114th Congress), California",75891,87876,24967
2015,"Congressional District 21 (114th Congress), California",26248,108496,18395
2015,"Congressional District 22 (114th Congress), California",72674,101329,25190
2015,"Congressional District 23 (114th Congress), California",61050,130837,27334
2015,"Congressional District 24 (114th Congress), California",96593,88895,26499
2015,"Congressional District 25 (114th Congress), California",84548,112167,31356
2015,"Congressional District 26 (114th Congress), California",97196,85088,30374
2015,"Congressional District 27 (114th Congress), California",133360,102833,30080
2015,"Congressional District 28 (114th Congress), California",162332,95002,31320
2015,"Congressional District 29 (114th Congress), California",71198,121049,21644
