year,district,median_age
2013,"Congressional District 1 (113th Congress), Alabama",38.5
2013,"Congressional District 2 (113th Congress), Alabama",37.9
2013,"Congressional District 3 (113th Congress), Alabama",37.4
2013,"Congressional District 4 (113th Congress), Alabama",40.3
2013,"Congressional District 5 (113th Congress), Alabama",38.7
2013,"Congressional District 6 (113th Congress), Alabama",38.7
2013,"Congressional District 7 (113th Congress), Alabama",35.7
2013,"Congressional District (at Large) (113th Congress), Alaska",33.1
2013,"Congressional District 1 (113th Congress), Arizona",36.5
2013,"Congressional District 2 (113th Congress), Arizona",40.2
2013,"Congressional District 3 (113th Congress), Arizona",31.7
2013,"Congressional District 4 (113th Congress), Arizona",46.1
2013,"Congressional District 5 (113th Congress), Arizona",37.3
2013,"Congressional District 6 (113th Congress), Arizona",41.2
2013,"Congressional District 7 (113th Congress), Arizona",28.4
2013,"Congressional District 8 (113th Congress), Arizona",42.0
2013,"Congressional District 9 (113th Congress), Arizona",32.9
2013,"Congressional District 1 (113th Congress), Arkansas",39.3
2013,"Congressional District 2 (113th Congress), Arkansas",36.4
2013,"Congressional District 3 (113th Congress), Arkansas",34.9
2013,"Congressional District 4 (113th Congress), Arkansas",40.7
2013,"Congressional District 1 (113th Congress), California",42.4
2013,"Congressional District 2 (113th Congress), California",43.1
2013,"Congressional District 3 (113th Congress), California",34.4
2013,"Congressional District 4 (113th Congress), California",43.8
2013,"Congressional District 5 (113th Congress), California",40.2
2013,"Congressional District 6 (113th Congress), California",33.5
2013,"Congressional District 7 (113th Congress), California",37.8
2013,"Congressional District 8 (113th Congress), California",33.7
2013,"Congressional District 9 (113th Congress), California",34.5
2013,"Congressional District 10 (113th Congress), California",33.4
2013,"Congressional District 11 (113th Congress), California",39.3
2013,"Congressional District 12 (113th Congress), California",38.4
2013,"Congressional District 13 (113th Congress), California",36.7
2013,"Congressional District 14 (113th Congress), California",39.7
2013,"Congressional District 15 (113th Congress), California",37.9
2013,"Congressional District 16 (113th Congress), California",29.6
2013,"Congressional District 17 (113th Congress), California",36.5
2013,"Congressional District 18 (113th Congress), California",40.3
2013,"Congressional District 19 (113th Congress), California",35.3
2013,"Congressional District 20 (113th Congress), California",33.6
2013,"Congressional District 21 (113th Congress), California",28.5
2013,"Congressional District 22 (113th Congress), California",32.8
2013,"Congressional District 23 (113th Congress), California",33.9
2013,"Congressional District 24 (113th Congress), California",35.9
2013,"Congressional District 25 (113th Congress), California",35.7
2013,"Congressional District 26 (113th Congress), California",36.2
2013,"Congressional District 27 (113th Congress), California",41.0
2013,"Congressional District 28 (113th Congress), California",39.2
2013,"Congressional District 29 (113th Congress), California",33.0
2013,"Congressional District 30 (113th Congress), California",38.9
2013,"Congressional District 31 (113th Congress), California",31.8
2013,"Congressional District 32 (113th Congress), California",35.1
2013,"Congressional District 33 (113th Congress), California",40.8
2013,"Congressional District 34 (113th Congress), California",33.7
2013,"Congressional District 35 (113th Congress), California",31.1
2013,"Congressional District 36 (113th Congress), California",38.6
2013,"Congressional District 37 (113th Congress), California",34.6
2013,"Congressional District 38 (113th Congress), California",36.0
2013,"Congressional District 39 (113th Congress), California",37.7
2013,"Congressional District 40 (113th Congress), California",29.3
2013,"Congressional District 41 (113th Congress), California",30.4
2013,"Congressional District 42 (113th Congress), California",34.6
2013,"Congressional District 43 (113th Congress), California",34.2
2013,"Congressional District 44 (113th Congress), California",31.5
2013,"Congressional District 45 (113th Congress), California",39.9
2013,"Congressional District 46 (113th Congress), California",31.4
2013,"Congressional District 47 (113th Congress), California",35.8
2013,"Congressional District 48 (113th Congress), California",40.3
2013,"Congressional District 49 (113th Congress), California",37.9
2013,"Congressional District 50 (113th Congress), California",36.9
2013,"Congressional District 51 (113th Congress), California",30.4
2013,"Congressional District 52 (113th Congress), California",35.6
2013,"Congressional District 53 (113th Congress), California",35.0
2013,"Congressional District 1 (113th Congress), Colorado",34.8
2013,"Congressional District 2 (113th Congress), Colorado",36.9
2013,"Congressional District 3 (113th Congress), Colorado",40.0
2013,"Congressional District 4 (113th Congress), Colorado",37.3
2013,"Congressional District 5 (113th Congress), Colorado",35.4
2013,"Congressional District 6 (113th Congress), Colorado",35.6
2013,"Congressional District 7 (113th Congress), Colorado",35.9
2013,"Congressional District 1 (113th Congress), Connecticut",40.6
2013,"Congressional District 2 (113th Congress), Connecticut",41.0
2013,"Congressional District 3 (113th Congress), Connecticut",39.6
2013,"Congressional District 4 (113th Congress), Connecticut",39.2
2013,"Congressional District 5 (113th Congress), Connecticut",41.6
2013,"Congressional District (at Large) (113th Congress), Delaware",39.1
2013,"Delegate District (at Large) (113th Congress), District of Columbia",33.8
2013,"Congressional District 1 (113th Congress), Florida",38.3
2013,"Congressional District 2 (113th Congress), Florida",36.6
2013,"Congressional District 3 (113th Congress), Florida",37.9
2013,"Congressional District 4 (113th Congress), Florida",38.3
2013,"Congressional District 5 (113th Congress), Florida",34.1
2013,"Congressional District 6 (113th Congress), Florida",46.4
2013,"Congressional District 7 (113th Congress), Florida",37.8
2013,"Congressional District 8 (113th Congress), Florida",47.7
2013,"Congressional District 9 (113th Congress), Florida",35.0
2013,"Congressional District 10 (113th Congress), Florida",40.7
2013,"Congressional District 11 (113th Congress), Florida",52.3
2013,"Congressional District 12 (113th Congress), Florida",44.5
2013,"Congressional District 13 (113th Congress), Florida",48.0
2013,"Congressional District 14 (113th Congress), Florida",35.6
2013,"Congressional District 15 (113th Congress), Florida",37.9
2013,"Congressional District 16 (113th Congress), Florida",50.5
2013,"Congressional District 17 (113th Congress), Florida",46.7
2013,"Congressional District 18 (113th Congress), Florida",46.5
2013,"Congressional District 19 (113th Congress), Florida",49.1
2013,"Congressional District 20 (113th Congress), Florida",36.8
2013,"Congressional District 21 (113th Congress), Florida",43.1
2013,"Congressional District 22 (113th Congress), Florida",45.2
2013,"Congressional District 23 (113th Congress), Florida",41.4
2013,"Congressional District 24 (113th Congress), Florida",35.6
2013,"Congressional District 25 (113th Congress), Florida",39.5
2013,"Congressional District 26 (113th Congress), Florida",40.3
2013,"Congressional District 27 (113th Congress), Florida",39.9
2013,"Congressional District 1 (113th Congress), Georgia",34.7
2013,"Congressional District 2 (113th Congress), Georgia",35.3
2013,"Congressional District 3 (113th Congress), Georgia",37.2
2013,"Congressional District 4 (113th Congress), Georgia",35.7
2013,"Congressional District 5 (113th Congress), Georgia",33.2
2013,"Congressional District 6 (113th Congress), Georgia",37.8
2013,"Congressional District 7 (113th Congress), Georgia",35.1
2013,"Congressional District 8 (113th Congress), Georgia",36.2
2013,"Congressional District 9 (113th Congress), Georgia",39.9
2013,"Congressional District 10 (113th Congress), Georgia",36.7
2013,"Congressional District 11 (113th Congress), Georgia",35.5
2013,"Congressional District 12 (113th Congress), Georgia",35.1
2013,"Congressional District 13 (113th Congress), Georgia",35.2
2013,"Congressional District 14 (113th Congress), Georgia",37.3
2013,"Congressional District 1 (113th Congress), Hawaii",39.0
2013,"Congressional District 2 (113th Congress), Hawaii",37.0
2013,"Congressional District 1 (113th Congress), Idaho",37.6
2013,"Congressional District 2 (113th Congress), Idaho",34.0
2013,"Congressional District 1 (113th Congress), Illinois",38.9
2013,"Congressional District 2 (113th Congress), Illinois",38.2
2013,"Congressional District 3 (113th Congress), Illinois",36.7
2013,"Congressional District 4 (113th Congress), Illinois",31.3
2013,"Congressional District 5 (113th Congress), Illinois",34.8
2013,"Congressional District 6 (113th Congress), Illinois",40.1
2013,"Congressional District 7 (113th Congress), Illinois",33.7
2013,"Congressional District 8 (113th Congress), Illinois",36.0
2013,"Congressional District 9 (113th Congress), Illinois",39.9
