year,district,mortgage_cost
2012,"Congressional District 1 (113th Congress), Alabama",765
2012,"Congressional District 2 (113th Congress), Alabama",683
2012,"Congressional District 3 (113th Congress), Alabama",676
2012,"Congressional District 4 (113th Congress), Alabama",566
2012,"Congressional District 5 (113th Congress), Alabama",721
2012,"Congressional District 6 (113th Congress), Alabama",909
2012,"Congressional District 7 (113th Congress), Alabama",664
2012,"Congressional District (at Large) (113th Congress), Alaska",1239
2012,"Congressional District 1 (113th Congress), Arizona",764
2012,"Congressional District 2 (113th Congress), Arizona",844
2012,"Congressional District 3 (113th Congress), Arizona",865
2012,"Congressional District 4 (113th Congress), Arizona",772
2012,"Congressional District 5 (113th Congress), Arizona",1155
2012,"Congressional District 6 (113th Congress), Arizona",1124
2012,"Congressional District 7 (113th Congress), Arizona",824
2012,"Congressional District 8 (113th Congress), Arizona",1064
2012,"Congressional District 9 (113th Congress), Arizona",964
2012,"Congressional District 1 (113th Congress), Arkansas",577
2012,"Congressional District 2 (113th Congress), Arkansas",748
2012,"Congressional District 3 (113th Congress), Arkansas",709
2012,"Congressional District 4 (113th Congress), Arkansas",547
2012,"Congressional District 1 (113th Congress), California",954
2012,"Congressional District 2 (113th Congress), California",1372
2012,"Congressional District 3 (113th Congress), California",1197
2012,"Congressional District 4 (113th Congress), California",1352
2012,"Congressional District 5 (113th Congress), California",1396
2012,"Congressional District 6 (113th Congress), California",1079
2012,"Congressional District 7 (113th Congress), California",1333
2012,"Congressional District 8 (113th Congress), California",1012
2012,"Congressional District 9 (113th Congress), California",1236
2012,"Congressional District 10 (113th Congress), California",1179
2012,"Congressional District 11 (113th Congress), California",1543
2012,"Congressional District 12 (113th Congress), California",1628
2012,"Congressional District 13 (113th Congress), California",1331
2012,"Congressional District 14 (113th Congress), California",1820
2012,"Congressional District 15 (113th Congress), California",1786
2012,"Congressional District 16 (113th Congress), California",898
2012,"Congressional District 17 (113th Congress), California",1827
2012,"Congressional District 18 (113th Congress), California",1911
2012,"Congressional District 19 (113th Congress), California",1772
2012,"Congressional District 20 (113th Congress), California",1436
2012,"Congressional District 21 (113th Congress), California",838
2012,"Congressional District 22 (113th Congress), California",1081
2012,"Congressional District 23 (113th Congress), California",1051
2012,"Congressional District 24 (113th Congress), California",1385
2012,"Congressional District 25 (113th Congress), California",1609
2012,"Congressional District 26 (113th Congress), California",1654
2012,"Congressional District 27 (113th Congress), California",1445
2012,"Congressional District 28 (113th Congress), California",1372
2012,"Congressional District 29 (113th Congress), California",1280
2012,"Congressional District 30 (113th Congress), California",1670
2012,"Congressional District 31 (113th Congress), California",1243
2012,"Congressional District 32 (113th Congress), California",1396
2012,"Congressional District 33 (113th Congress), California",2007
2012,"Congressional District 34 (113th Congress), California",1016
2012,"Congressional District 35 (113th Congress), California",1307
2012,"Congressional District 36 (113th Congress), California",1033
2012,"Congressional District 37 (113th Congress), California",1342
2012,"Congressional District 38 (113th Congress), California",1384
2012,"Congressional District 39 (113th Congress), California",1662
2012,"Congressional District 40 (113th Congress), California",1094
2012,"Congressional District 41 (113th Congress), California",1238
2012,"Congressional District 42 (113th Congress), California",1692
2012,"Congressional District 43 (113th Congress), California",1251
2012,"Congressional District 44 (113th Congress), California",1189
2012,"Congressional District 45 (113th Congress), California",1985
2012,"Congressional District 46 (113th Congress), California",1380
2012,"Congressional District 47 (113th Congress), California",1306
2012,"Congressional District 48 (113th Congress), California",1730
2012,"Congressional District 49 (113th Congress), California",1746
2012,"Congressional District 50 (113th Congress), California",1409
2012,"Congressional District 51 (113th Congress), California",1037
2012,"Congressional District 52 (113th Congress), California",1750
2012,"Congressional District 53 (113th Congress), California",1425
2012,"Congressional District 1 (113th Congress), Colorado",1058
2012,"Congressional District 2 (113th Congress), Colorado",1262
2012,"Congressional District 3 (113th Congress), Colorado",905
2012,"Congressional District 4 (113th Congress), Colorado",1123
2012,"Congressional District 5 (113th Congress), Colorado",1073
2012,"Congressional District 6 (113th Congress), Colorado",1261
2012,"Congressional District 7 (113th Congress), Colorado",1125
2012,"Congressional District 1 (113th Congress), Connecticut",1218
2012,"Congressional District 2 (113th Congress), Connecticut",1274
2012,"Congressional District 3 (113th Congress), Connecticut",1319
2012,"Congressional District 4 (113th Congress), Connecticut",1814
2012,"Congressional District 5 (113th Congress), Connecticut",1281
2012,"Congressional District (at Large) (113th Congress), Delaware",1101
2012,"Delegate District (at Large) (113th Congress), District of Columbia",1431
2012,"Congressional District 1 (113th Congress), Florida",929
2012,"Congressional District 2 (113th Congress), Florida",843
2012,"Congressional District 3 (113th Congress), Florida",810
2012,"Congressional District 4 (113th Congress), Florida",1055
2012,"Congressional District 5 (113th Congress), Florida",830
2012,"Congressional District 6 (113th Congress), Florida",886
2012,"Congressional District 7 (113th Congress), Florida",1116
2012,"Congressional District 8 (113th Congress), Florida",865
2012,"Congressional District 9 (113th Congress), Florida",1059
2012,"Congressional District 10 (113th Congress), Florida",983
2012,"Congressional District 11 (113th Congress), Florida",683
2012,"Congressional District 12 (113th Congress), Florida",927
2012,"Congressional District 13 (113th Congress), Florida",908
2012,"Congressional District 14 (113th Congress), Florida",923
2012,"Congressional District 15 (113th Congress), Florida",933
2012,"Congressional District 16 (113th Congress), Florida",903
2012,"Congressional District 17 (113th Congress), Florida",746
2012,"Congressional District 18 (113th Congress), Florida",1055
2012,"Congressional District 19 (113th Congress), Florida",949
2012,"Congressional District 20 (113th Congress), Florida",978
2012,"Congressional District 21 (113th Congress), Florida",1182
2012,"Congressional District 22 (113th Congress), Florida",1194
2012,"Congressional District 23 (113th Congress), Florida",1273
2012,"Congressional District 24 (113th Congress), Florida",1068
2012,"Congressional District 25 (113th Congress), Florida",1163
2012,"Congressional District 26 (113th Congress), Florida",1291
2012,"Congressional District 27 (113th Congress), Florida",1134
2012,"Congressional District 1 (113th Congress), Georgia",866
2012,"Congressional District 2 (113th Congress), Georgia",678
2012,"Congressional District 3 (113th Congress), Georgia",937
2012,"Congressional District 4 (113th Congress), Georgia",1028
2012,"Congressional District 5 (113th Congress), Georgia",1015
2012,"Congressional District 6 (113th Congress), Georgia",1262
2012,"Congressional District 7 (113th Congress), Georgia",1246
2012,"Congressional District 8 (113th Congress), Georgia",728
2012,"Congressional District 9 (113th Congress), Georgia",797
2012,"Congressional District 10 (113th Congress), Georgia",860
2012,"Congressional District 11 (113th Congress), Georgia",1112
2012,"Congressional District 12 (113th Congress), Georgia",705
2012,"Congressional District 13 (113th Congress), Georgia",1032
2012,"Congressional District 14 (113th Congress), Georgia",741
2012,"Congressional District 1 (113th Congress), Hawaii",1546
2012,"Congressional District 2 (113th Congress), Hawaii",1434
2012,"Congressional District 1 (113th Congress), Idaho",850
2012,"Congressional District 2 (113th Congress), Idaho",772
2012,"Congressional District 1 (113th Congress), Illinois",1054
2012,"Congressional District 2 (113th Congress), Illinois",1005
2012,"Congressional District 3 (113th Congress), Illinois",1175
2012,"Congressional District 4 (113th Congress), Illinois",969
2012,"Congressional District 5 (113th Congress), Illinois",1286
2012,"Congressional District 6 (113th Congress), Illinois",1646
2012,"Congressional District 7 (113th Congress), Illinois",1203
2012,"Congressional District 8 (113th Congress), Illinois",1287
2012,"Congressional District 9 (113th Congress), Illinois",1249
2012,"Congressional District 10 (113th Congress), Illinois",1389
2012,"Congressional District 11 (113th Congress), Illinois",1332
2012,"Congressional District 12 (113th Congress), Illinois",715
2012,"Congressional District 13 (113th Congress), Illinois",759
2012,"Congressional District 14 (113th Congress), Illinois",1621
2012,"Congressional District 15 (113th Congress), Illinois",635
2012,"Congressional District 16 (113th Congress), Illinois",876
2012,"Congressional District 17 (113th Congress), Illinois",687
2012,"Congressional District 18 (113th Congress), Illinois",798
2012,"Congressional District 1 (113th Congress), Indiana",858
2012,"Congressional District 2 (113th Congress), Indiana",721
2012,"Congressional District 3 (113th Congress), Indiana",707
2012,"Congressional District 4 (113th Congress), Indiana",805
2012,"Congressional District 5 (113th Congress), Indiana",936
2012,"Congressional District 6 (113th Congress), Indiana",718
2012,"Congressional District 7 (113th Congress), Indiana",787
2012,"Congressional District 8 (113th Congress), Indiana",698
2012,"Congressional District 9 (113th Congress), Indiana",808
2012,"Congressional District 1 (113th Congress), Iowa",741
2012,"Congressional District 2 (113th Congress), Iowa",734
2012,"Congressional District 3 (113th Congress), Iowa",887
2012,"Congressional District 4 (113th Congress), Iowa",624
2012,"Congressional District 1 (113th Congress), Kansas",654
2012,"Congressional District 2 (113th Congress), Kansas",723
2012,"Congressional District 3 (113th Congress), Kansas",1099
2012,"Congressional District 4 (113th Congress), Kansas",763
2012,"Congressional District 1 (113th Congress), Kentucky",558
2012,"Congressional District 2 (113th Congress), Kentucky",674
2012,"Congressional District 3 (113th Congress), Kentucky",805
2012,"Congressional District 4 (113th Congress), Kentucky",867
2012,"Congressional District 5 (113th Congress), Kentucky",458
2012,"Congressional District 6 (113th Congress), Kentucky",779
2012,"Congressional District 1 (113th Congress), Louisiana",877
2012,"Congressional District 2 (113th Congress), Louisiana",802
