year,district,unemp_rate
2015,"Congressional District 1 (114th Congress), Alabama",7.1
2015,"Congressional District 2 (114th Congress), Alabama",7.9
2015,"Congressional District 3 (114th Congress), Alabama",7.1
2015,"Congressional District 4 (114th Congress), Alabama",6.0
2015,"Congressional District 5 (114th Congress), Alabama",7.2
2015,"Congressional District 6 (114th Congress), Alabama",5.1
2015,"Congressional District 7 (114th Congress), Alabama",10.2
2015,"Congressional District (at Large) (114th Congress), Alaska",7.9
2015,"Congressional District 1 (114th Congress), Arizona",10.6
2015,"Congressional District 2 (114th Congress), Arizona",7.2
2015,"Congressional District 3 (114th Congress), Arizona",9.5
2015,"Congressional District 4 (114th Congress), Arizona",7.9
2015,"Congressional District 5 (114th Congress), Arizona",4.2
2015,"Congressional District 6 (114th Congress), Arizona",5.2
2015,"Congressional District 7 (114th Congress), Arizona",7.6
2015,"Congressional District 8 (114th Congress), Arizona",5.7
2015,"Congressional District 9 (114th Congress), Arizona",5.4
2015,"Congressional District 1 (114th Congress), Arkansas",6.5
2015,"Congressional District 2 (114th Congress), Arkansas",5.4
2015,"Congressional District 3 (114th Congress), Arkansas",4.4
2015,"Congressional District 4 (114th Congress), Arkansas",7.4
2015,"Congressional District 1 (114th Congress), California",7.9
2015,"Congressional District 2 (114th Congress), California",6.0
2015,"Congressional District 3 (114th Congress), California",9.0
2015,"Congressional District 4 (114th Congress), California",7.6
2015,"Congressional District 5 (114th Congress), California",6.1
2015,"Congressional District 6 (114th Congress), California",8.3
2015,"Congressional District 7 (114th Congress), California",8.3
2015,"Congressional District 8 (114th Congress), California",12.2
2015,"Congressional District 9 (114th Congress), California",10.0
2015,"Congressional District 10 (114th Congress), California",10.9
2015,"Congressional District 11 (114th Congress), California",6.8
2015,"Congressional District 12 (114th Congress), California",4.8
2015,"Congressional District 13 (114th Congress), California",6.3
2015,"Congressional District 14 (114th Congress), California",5.6
2015,"Congressional District 15 (114th Congress), California",4.4
2015,"Congressional District 16 (114th Congress), California",11.6
2015,"Congressional District 17 (114th Congress), California",5.1
2015,"Congressional District 18 (114th Congress), California",3.7
2015,"Congressional District 19 (114th Congress), California",6.3
2015,"Congressional District 20 (114th Congress), California",6.0
2015,"Congressional District 21 (114th Congress), California",12.4
2015,"Congressional District 22 (114th Congress), California",8.0
2015,"Congressional District 23 (114th Congress), California",8.6
2015,"Congressional District 24 (114th Congress), California",5.7
2015,"Congressional District 25 (114th Congress), California",7.4
2015,"Congressional District 26 (114th Congress), California",7.1
2015,"Congressional District 27 (114th Congress), California",5.6
2015,"Congressional District 28 (114th Congress), California",6.6
2015,"Congressional District 29 (114th Congress), California",7.5
2015,"Congressional District 30 (114th Congress), California",6.0
2015,"Congressional District 31 (114th Congress), California",8.2
2015,"Congressional District 32 (114th Congress), California",7.5
2015,"Congressional District 33 (114th Congress), California",5.7
2015,"Congressional District 34 (114th Congress), California",7.9
2015,"Congressional District 35 (114th Congress), California",9.0
2015,"Congressional District 36 (114th Congress), California",10.5
2015,"Congressional District 37 (114th Congress), California",7.8
2015,"Congressional District 38 (114th Congress), California",6.4
2015,"Congressional District 39 (114th Congress), California",6.6
2015,"Congressional District 40 (114th Congress), California",8.6
2015,"Congressional District 41 (114th Congress), California",9.7
2015,"Congressional District 42 (114th Congress), California",9.1
2015,"Congressional District 43 (114th Congress), California",7.7
2015,"Congressional District 44 (114th Congress), California",9.7
2015,"Congressional District 45 (114th Congress), California",5.2
2015,"Congressional District 46 (114th Congress), California",5.9
2015,"Congressional District 47 (114th Congress), California",5.6
2015,"Congressional District 48 (114th Congress), California",5.0
2015,"Congressional District 49 (114th Congress), California",5.4
2015,"Congressional District 50 (114th Congress), California",6.8
2015,"Congressional District 51 (114th Congress), California",11.5
2015,"Congressional District 52 (114th Congress), California",5.1
2015,"Congressional District 53 (114th Congress), California",7.5
2015,"Congressional District 1 (114th Congress), Colorado",4.9
2015,"Congressional District 2 (114th Congress), Colorado",4.5
2015,"Congressional District 3 (114th Congress), Colorado",7.1
2015,"Congressional District 4 (114th Congress), Colorado",4.7
2015,"Congressional District 5 (114th Congress), Colorado",6.4
