year,district,black_pop,total_pop,white_pop
2017,"Congressional District 1 (115th Congress), Alabama",198799,713410,479792
2017,"Congressional District 2 (115th Congress), Alabama",207087,673776,434984
2017,"Congressional District 3 (115th Congress), Alabama",187176,710488,487936
2017,"Congressional District 4 (115th Congress), Alabama",49177,685553,594163
2017,"Congressional District 5 (115th Congress), Alabama",129234,718713,544610
2017,"Congressional District 6 (115th Congress), Alabama",111541,700401,548436
2017,"Congressional District 7 (115th Congress), Alabama",424453,672406,222797
2017,"Congressional District (at Large) (115th Congress), Alaska",22107,739795,474856
2017,"Congressional District 1 (115th Congress), Arizona",17786,765810,509036
2017,"Congressional District 2 (115th Congress), Arizona",28969,720429,588191
2017,"Congressional District 3 (115th Congress), Arizona",33278,773297,541057
2017,"Congressional District 4 (115th Congress), Arizona",12959,771214,683277
2017,"Congressional District 5 (115th Congress), Arizona",25714,822497,694713
2017,"Congressional District 6 (115th Congress), Arizona",20135,783087,665644
2017,"Congressional District 7 (115th Congress), Arizona",87049,833654,553328
2017,"Congressional District 8 (115th Congress), Arizona",32287,777208,642289
2017,"Congressional District 9 (115th Congress), Arizona",49478,769074,564882
2017,"Congressional District 1 (115th Congress), Arkansas",123723,722287,557968
2017,"Congressional District 2 (115th Congress), Arkansas",175520,765193,540475
2017,"Congressional District 3 (115th Congress), Arkansas",23473,807421,669282
2017,"Congressional District 4 (115th Congress), Arkansas",135651,709378,525582
2017,"Congressional District 1 (115th Congress), California",12970,718214,617412
2017,"Congressional District 2 (115th Congress), California",9587,717999,567892
2017,"Congressional District 3 (115th Congress), California",46683,750271,508019
2017,"Congressional District 4 (115th Congress), California",9752,748410,634393
2017,"Congressional District 5 (115th Congress), California",43914,732438,452155
2017,"Congressional District 6 (115th Congress), California",99006,764344,370267
2017,"Congressional District 7 (115th Congress), California",50137,750860,470796
2017,"Congressional District 8 (115th Congress), California",49699,721449,552585
2017,"Congressional District 9 (115th Congress), California",69130,774266,406224
2017,"Congressional District 10 (115th Congress), California",25902,758005,561987
2017,"Congressional District 11 (115th Congress), California",60493,764135,454724
2017,"Congressional District 12 (115th Congress), California",41427,774736,369755
2017,"Congressional District 13 (115th Congress), California",128064,766731,317337
2017,"Congressional District 14 (115th Congress), California",22042,756389,320344
2017,"Congressional District 15 (115th Congress), California",44801,785387,331442
2017,"Congressional District 16 (115th Congress), California",37218,729788,423863
2017,"Congressional District 17 (115th Congress), California",23236,771078,213102
2017,"Congressional District 18 (115th Congress), California",12740,742728,464984
2017,"Congressional District 19 (115th Congress), California",19473,770105,329817
2017,"Congressional District 20 (115th Congress), California",14738,744295,430748
2017,"Congressional District 21 (115th Congress), California",25784,723549,518307
2017,"Congressional District 22 (115th Congress), California",27851,760328,540781
2017,"Congressional District 23 (115th Congress), California",44295,745328,560589
2017,"Congressional District 24 (115th Congress), California",13378,740039,596837
2017,"Congressional District 25 (115th Congress), California",51987,721740,457045
2017,"Congressional District 26 (115th Congress), California",15380,732091,588300
2017,"Congressional District 27 (115th Congress), California",29913,717980,265889
2017,"Congressional District 28 (115th Congress), California",24215,719156,490429
2017,"Congressional District 29 (115th Congress), California",27851,713745,404339
2017,"Congressional District 30 (115th Congress), California",36624,771201,486606
2017,"Congressional District 31 (115th Congress), California",84418,762208,452790
2017,"Congressional District 32 (115th Congress), California",16202,725317,314430
2017,"Congressional District 33 (115th Congress), California",22531,705588,509336
2017,"Congressional District 34 (115th Congress), California",34148,763303,282523
2017,"Congressional District 35 (115th Congress), California",47636,745237,341600
2017,"Congressional District 36 (115th Congress), California",34441,737403,521771
2017,"Congressional District 37 (115th Congress), California",167539,713530,290173
2017,"Congressional District 38 (115th Congress), California",29943,718428,298107
2017,"Congressional District 39 (115th Congress), California",17267,736480,369482
2017,"Congressional District 40 (115th Congress), California",39026,738618,395417
2017,"Congressional District 41 (115th Congress), California",69553,765770,309958
2017,"Congressional District 42 (115th Congress), California",51834,826899,479369
2017,"Congressional District 43 (115th Congress), California",172010,745656,260614
2017,"Congressional District 44 (115th Congress), California",102749,717097,293616
2017,"Congressional District 45 (115th Congress), California",15666,777871,472558
2017,"Congressional District 46 (115th Congress), California",13617,734649,378893
2017,"Congressional District 47 (115th Congress), California",51668,723526,388169
2017,"Congressional District 48 (115th Congress), California",7616,721632,488364
2017,"Congressional District 49 (115th Congress), California",18868,747350,569225
2017,"Congressional District 50 (115th Congress), California",18318,754388,577251
2017,"Congressional District 51 (115th Congress), California",54650,746496,487406
2017,"Congressional District 52 (115th Congress), California",20798,768240,510283
2017,"Congressional District 53 (115th Congress), California",63129,774182,483466
2017,"Congressional District 1 (115th Congress), Colorado",65562,826995,644168
2017,"Congressional District 2 (115th Congress), Colorado",8640,799734,729280
2017,"Congressional District 3 (115th Congress), Colorado",6490,749478,663374
2017,"Congressional District 4 (115th Congress), Colorado",11150,817251,733800
2017,"Congressional District 5 (115th Congress), Colorado",45490,799622,647299
2017,"Congressional District 6 (115th Congress), Colorado",77076,814636,600831
2017,"Congressional District 7 (115th Congress), Colorado",15028,799438,701743
2017,"Congressional District 1 (115th Congress), Connecticut",110085,710509,486308
2017,"Congressional District 2 (115th Congress), Connecticut",27326,705217,605201
2017,"Congressional District 3 (115th Congress), Connecticut",102989,716547,522014
2017,"Congressional District 4 (115th Congress), Connecticut",82988,737616,542303
2017,"Congressional District 5 (115th Congress), Connecticut",57190,718295,567187
2017,"Congressional District (at Large) (115th Congress), Delaware",210356,961939,662084
2017,"Delegate District (at Large) (115th Congress), District of Columbia",318220,693972,284536
2017,"Congressional District 1 (115th Congress), Florida",102046,770361,588485
2017,"Congressional District 2 (115th Congress), Florida",99494,731845,591584
2017,"Congressional District 3 (115th Congress), Florida",115769,739130,558581
2017,"Congressional District 4 (115th Congress), Florida",75962,800494,650103
2017,"Congressional District 5 (115th Congress), Florida",347173,729175,324724
2017,"Congressional District 6 (115th Congress), Florida",78757,764500,632897
2017,"Congressional District 7 (115th Congress), Florida",80419,772969,592201
2017,"Congressional District 8 (115th Congress), Florida",71454,756993,630082
2017,"Congressional District 9 (115th Congress), Florida",117943,868945,632876
2017,"Congressional District 10 (115th Congress), Florida",239686,830014,448512
2017,"Congressional District 11 (115th Congress), Florida",55718,770114,674987
2017,"Congressional District 12 (115th Congress), Florida",38440,779151,684803
2017,"Congressional District 13 (115th Congress), Florida",93502,730650,570573
2017,"Congressional District 14 (115th Congress), Florida",140160,776940,555232
2017,"Congressional District 15 (115th Congress), Florida",133833,804652,591057
2017,"Congressional District 16 (115th Congress), Florida",72444,814209,685108
2017,"Congressional District 17 (115th Congress), Florida",58817,778091,674376
2017,"Congressional District 18 (115th Congress), Florida",100662,772184,620382
2017,"Congressional District 19 (115th Congress), Florida",59262,814074,696230
2017,"Congressional District 20 (115th Congress), Florida",417013,776092,299551
2017,"Congressional District 21 (115th Congress), Florida",132577,788240,597999
2017,"Congressional District 22 (115th Congress), Florida",114346,757352,579779
2017,"Congressional District 23 (115th Congress), Florida",117992,753950,543715
2017,"Congressional District 24 (115th Congress), Florida",376755,770480,336665
2017,"Congressional District 25 (115th Congress), Florida",35161,780826,705942
2017,"Congressional District 26 (115th Congress), Florida",77384,797160,651995
2017,"Congressional District 27 (115th Congress), Florida",41739,755809,649876
2017,"Congressional District 1 (115th Congress), Georgia",218988,747334,473783
2017,"Congressional District 2 (115th Congress), Georgia",351267,674100,285379
2017,"Congressional District 3 (115th Congress), Georgia",180429,738066,511544
2017,"Congressional District 4 (115th Congress), Georgia",461416,765854,203164
2017,"Congressional District 5 (115th Congress), Georgia",457063,784370,250754
2017,"Congressional District 6 (115th Congress), Georgia",101114,756389,512219
2017,"Congressional District 7 (115th Congress), Georgia",165469,807492,438984
2017,"Congressional District 8 (115th Congress), Georgia",219698,702262,438414
2017,"Congressional District 9 (115th Congress), Georgia",51911,755181,662950
2017,"Congressional District 10 (115th Congress), Georgia",181090,736838,507062
2017,"Congressional District 11 (115th Congress), Georgia",126476,768968,573682
2017,"Congressional District 12 (115th Congress), Georgia",254478,722937,418046
2017,"Congressional District 13 (115th Congress), Georgia",455970,752631,234457
2017,"Congressional District 14 (115th Congress), Georgia",66692,716957,612518
2017,"Congressional District 1 (115th Congress), Hawaii",13089,714328,126170
2017,"Congressional District 2 (115th Congress), Hawaii",10297,713210,230943
2017,"Congressional District 1 (115th Congress), Idaho",5685,890052,799153
2017,"Congressional District 2 (115th Congress), Idaho",5662,826891,746858
2017,"Congressional District 1 (115th Congress), Illinois",362478,720977,301363
2017,"Congressional District 2 (115th Congress), Illinois",406149,702756,255289
2017,"Congressional District 3 (115th Congress), Illinois",34516,725538,546187
2017,"Congressional District 4 (115th Congress), Illinois",30889,700585,394981
2017,"Congressional District 5 (115th Congress), Illinois",22293,729300,583221
2017,"Congressional District 6 (115th Congress), Illinois",22125,720542,580295
2017,"Congressional District 7 (115th Congress), Illinois",318963,697263,269266
2017,"Congressional District 8 (115th Congress), Illinois",36215,713012,467746
2017,"Congressional District 9 (115th Congress), Illinois",65776,732614,527107
2017,"Congressional District 10 (115th Congress), Illinois",49553,714681,495221
2017,"Congressional District 11 (115th Congress), Illinois",80694,721823,473197
2017,"Congressional District 12 (115th Congress), Illinois",117909,695178,538586
2017,"Congressional District 13 (115th Congress), Illinois",82290,698295,566165
2017,"Congressional District 14 (115th Congress), Illinois",23028,746748,646788
2017,"Congressional District 15 (115th Congress), Illinois",28666,701482,649324
2017,"Congressional District 16 (115th Congress), Illinois",26924,690420,621469
2017,"Congressional District 17 (115th Congress), Illinois",83233,689744,568539
2017,"Congressional District 18 (115th Congress), Illinois",27285,701065,635168
2017,"Congressional District 1 (115th Congress), Indiana",131496,714257,497973
2017,"Congressional District 2 (115th Congress), Indiana",52365,722928,624684
2017,"Congressional District 3 (115th Congress), Indiana",44618,744914,651867
2017,"Congressional District 4 (115th Congress), Indiana",31152,758815,673402
2017,"Congressional District 5 (115th Congress), Indiana",71308,781441,654034
2017,"Congressional District 6 (115th Congress), Indiana",21410,720147,670777
2017,"Congressional District 7 (115th Congress), Indiana",220433,755875,462354
2017,"Congressional District 8 (115th Congress), Indiana",28896,714623,654641
2017,"Congressional District 9 (115th Congress), Indiana",22283,753818,688165
2017,"Congressional District 1 (115th Congress), Iowa",30463,774043,704638
2017,"Congressional District 2 (115th Congress), Iowa",30640,780802,699117
2017,"Congressional District 3 (115th Congress), Iowa",34198,835190,732513
2017,"Congressional District 4 (115th Congress), Iowa",11775,755676,694798
2017,"Congressional District 1 (115th Congress), Kansas",18842,702327,630124
2017,"Congressional District 2 (115th Congress), Kansas",33080,715120,624034
2017,"Congressional District 3 (115th Congress), Kansas",66398,770493,620539
2017,"Congressional District 4 (115th Congress), Kansas",48887,725183,587518
2017,"Congressional District 1 (115th Congress), Kentucky",51828,716177,636504
2017,"Congressional District 2 (115th Congress), Kentucky",41225,760681,678195
2017,"Congressional District 3 (115th Congress), Kentucky",166022,746559,530221
2017,"Congressional District 4 (115th Congress), Kentucky",26828,760043,696547
2017,"Congressional District 5 (115th Congress), Kentucky",9924,696337,672153
2017,"Congressional District 6 (115th Congress), Kentucky",65810,774392,659050
2017,"Congressional District 1 (115th Congress), Louisiana",119936,808968,622417
