year,district,bach_deg_num,median_HH_income,high_school_num
2007,"Congressional District 1 (110th Congress), Alabama",57822,20667,150456
2007,"Congressional District 2 (110th Congress), Alabama",54569,20394,139977
2007,"Congressional District 3 (110th Congress), Alabama",46561,19731,138563
2007,"Congressional District 4 (110th Congress), Alabama",32817,18896,151386
2007,"Congressional District 5 (110th Congress), Alabama",76351,22399,137299
2007,"Congressional District 6 (110th Congress), Alabama",99012,30065,133563
2007,"Congressional District 7 (110th Congress), Alabama",41468,17551,126886
2007,"Congressional District (at Large) (110th Congress), Alaska",67754,27114,127441
2007,"Congressional District 1 (110th Congress), Arizona",54896,20853,148087
2007,"Congressional District 2 (110th Congress), Arizona",89937,26939,194772
2007,"Congressional District 3 (110th Congress), Arizona",103056,30072,115760
2007,"Congressional District 4 (110th Congress), Arizona",34414,21410,126965
2007,"Congressional District 5 (110th Congress), Arizona",116614,31562,87661
2007,"Congressional District 6 (110th Congress), Arizona",109564,30197,160567
2007,"Congressional District 7 (110th Congress), Arizona",45929,20133,144203
2007,"Congressional District 8 (110th Congress), Arizona",101487,26758,115247
2007,"Congressional District 1 (110th Congress), Arkansas",40529,17970,171173
2007,"Congressional District 2 (110th Congress), Arkansas",84236,22249,148381
2007,"Congressional District 3 (110th Congress), Arkansas",70591,21122,166795
2007,"Congressional District 4 (110th Congress), Arkansas",44373,18220,177502
2007,"Congressional District 1 (110th Congress), California",77350,23540,115278
2007,"Congressional District 2 (110th Congress), California",57372,20775,123032
2007,"Congressional District 3 (110th Congress), California",98927,31996,131058
2007,"Congressional District 4 (110th Congress), California",108572,29128,126921
2007,"Congressional District 5 (110th Congress), California",70584,24827,109921
2007,"Congressional District 6 (110th Congress), California",109597,34455,92160
2007,"Congressional District 7 (110th Congress), California",71860,30042,107634
2007,"Congressional District 8 (110th Congress), California",148697,33954,82755
2007,"Congressional District 9 (110th Congress), California",90106,28178,78368
2007,"Congressional District 10 (110th Congress), California",112308,37089,96960
2007,"Congressional District 11 (110th Congress), California",104384,35068,112870
2007,"Congressional District 12 (110th Congress), California",137809,38183,85891
2007,"Congressional District 13 (110th Congress), California",111764,33429,104017
2007,"Congressional District 14 (110th Congress), California",126316,41286,60301
2007,"Congressional District 15 (110th Congress), California",122674,38209,75322
2007,"Congressional District 16 (110th Congress), California",85073,30914,96040
2007,"Congressional District 17 (110th Congress), California",67787,23754,79290
2007,"Congressional District 18 (110th Congress), California",30828,19159,122599
2007,"Congressional District 19 (110th Congress), California",66774,24009,127433
2007,"Congressional District 20 (110th Congress), California",21242,16811,108019
2007,"Congressional District 21 (110th Congress), California",50933,20513,117292
2007,"Congressional District 22 (110th Congress), California",59871,25599,130782
2007,"Congressional District 23 (110th Congress), California",69367,22728,77170
2007,"Congressional District 24 (110th Congress), California",94953,32971,96715
2007,"Congressional District 25 (110th Congress), California",65168,26073,136138
2007,"Congressional District 26 (110th Congress), California",104068,32524,92431
2007,"Congressional District 27 (110th Congress), California",93816,26735,99847
