year,district,bach_deg_num,high_school_num,median_HH_income
2016,"Congressional District 1 (115th Congress), Alabama",73720,158178,25500
2016,"Congressional District 2 (115th Congress), Alabama",64329,148183,23108
2016,"Congressional District 3 (115th Congress), Alabama",64031,144060,22907
2016,"Congressional District 4 (115th Congress), Alabama",51327,157757,22069
2016,"Congressional District 5 (115th Congress), Alabama",90532,137219,26753
2016,"Congressional District 6 (115th Congress), Alabama",109930,119956,31291
2016,"Congressional District 7 (115th Congress), Alabama",52811,145883,19440
2016,"Congressional District (at Large) (115th Congress), Alaska",90861,133928,31981
2016,"Congressional District 1 (115th Congress), Arizona",71911,129997,23997
2016,"Congressional District 2 (115th Congress), Arizona",97801,107850,25908
2016,"Congressional District 3 (115th Congress), Arizona",50853,125460,21896
2016,"Congressional District 4 (115th Congress), Arizona",66553,164128,24763
2016,"Congressional District 5 (115th Congress), Arizona",117145,108817,33273
2016,"Congressional District 6 (115th Congress), Arizona",158682,98763,35935
2016,"Congressional District 7 (115th Congress), Arizona",43889,131581,21835
2016,"Congressional District 8 (115th Congress), Arizona",107049,132930,31315
2016,"Congressional District 9 (115th Congress), Arizona",121896,105971,30582
2016,"Congressional District 1 (115th Congress), Arkansas",53291,188548,21826
2016,"Congressional District 2 (115th Congress), Arkansas",92424,153864,26855
2016,"Congressional District 3 (115th Congress), Arkansas",86672,156727,25715
2016,"Congressional District 4 (115th Congress), Arkansas",50221,182830,21343
2016,"Congressional District 1 (115th Congress), California",74088,123490,23679
2016,"Congressional District 2 (115th Congress), California",128218,95315,31246
2016,"Congressional District 3 (115th Congress), California",75409,107743,27183
2016,"Congressional District 4 (115th Congress), California",113568,109052,34947
2016,"Congressional District 5 (115th Congress), California",106891,103142,31892
2016,"Congressional District 6 (115th Congress), California",91108,124467,26842
2016,"Congressional District 7 (115th Congress), California",106181,100091,33332
2016,"Congressional District 8 (115th Congress), California",48196,131187,24185
2016,"Congressional District 9 (115th Congress), California",63096,124854,27265
2016,"Congressional District 10 (115th Congress), California",54502,134339,26325
2016,"Congressional District 11 (115th Congress), California",140399,82285,37547
2016,"Congressional District 12 (115th Congress), California",214645,69146,51055
2016,"Congressional District 13 (115th Congress), California",139750,75232,34901
2016,"Congressional District 14 (115th Congress), California",158041,89655,41653
2016,"Congressional District 15 (115th Congress), California",145648,101042,43528
2016,"Congressional District 16 (115th Congress), California",34442,103628,20071
2016,"Congressional District 17 (115th Congress), California",166589,82759,49468
2016,"Congressional District 18 (115th Congress), California",156598,59177,53091
2016,"Congressional District 19 (115th Congress), California",118685,97891,32097
2016,"Congressional District 20 (115th Congress), California",77389,89082,26058
2016,"Congressional District 21 (115th Congress), California",22020,111966,19942
2016,"Congressional District 22 (115th Congress), California",72310,107966,26043
2016,"Congressional District 23 (115th Congress), California",64134,126372,26785
2016,"Congressional District 24 (115th Congress), California",97129,84312,28913
2016,"Congressional District 25 (115th Congress), California",85760,102501,32221
2016,"Congressional District 26 (115th Congress), California",99382,84878,30338
2016,"Congressional District 27 (115th Congress), California",129785,103175,29887
2016,"Congressional District 28 (115th Congress), California",168414,92044,31238
2016,"Congressional District 29 (115th Congress), California",69559,128471,22452
2016,"Congressional District 30 (115th Congress), California",151465,92691,34427
2016,"Congressional District 31 (115th Congress), California",66283,106789,25795
2016,"Congressional District 32 (115th Congress), California",73695,129898,24314
2016,"Congressional District 33 (115th Congress), California",196763,47356,52135
2016,"Congressional District 34 (115th Congress), California",95654,109057,20675
2016,"Congressional District 35 (115th Congress), California",55605,124808,22391
2016,"Congressional District 36 (115th Congress), California",64351,146720,22511
2016,"Congressional District 37 (115th Congress), California",110932,92677,27827
2016,"Congressional District 38 (115th Congress), California",78309,121875,27028
2016,"Congressional District 39 (115th Congress), California",138477,91287,31903
2016,"Congressional District 40 (115th Congress), California",31452,108505,20326
2016,"Congressional District 41 (115th Congress), California",50108,124144,25421
2016,"Congressional District 42 (115th Congress), California",85883,121557,30496
2016,"Congressional District 43 (115th Congress), California",86734,106935,25960
2016,"Congressional District 44 (115th Congress), California",37921,114164,21668
2016,"Congressional District 45 (115th Congress), California",181876,66345,42661
2016,"Congressional District 46 (115th Congress), California",65970,107756,23714
2016,"Congressional District 47 (115th Congress), California",100086,92616,29820
2016,"Congressional District 48 (115th Congress), California",149881,78455,37790
2016,"Congressional District 49 (115th Congress), California",137148,74032,36040
2016,"Congressional District 50 (115th Congress), California",94410,114463,29662
2016,"Congressional District 51 (115th Congress), California",46855,116472,20360
2016,"Congressional District 52 (115th Congress), California",174580,62037,41305
2016,"Congressional District 53 (115th Congress), California",129790,95034,34691
2016,"Congressional District 1 (115th Congress), Colorado",169278,104775,35820
2016,"Congressional District 2 (115th Congress), Colorado",172763,86491,32717
2016,"Congressional District 3 (115th Congress), Colorado",96434,141168,26431
2016,"Congressional District 4 (115th Congress), Colorado",119608,129506,32335
2016,"Congressional District 5 (115th Congress), Colorado",117285,110609,30980
2016,"Congressional District 6 (115th Congress), Colorado",142503,117395,35759
2016,"Congressional District 7 (115th Congress), Colorado",116402,132200,33065
2016,"Congressional District 1 (115th Congress), Connecticut",105070,138673,36068
2016,"Congressional District 2 (115th Congress), Connecticut",98611,143463,33586
2016,"Congressional District 3 (115th Congress), Connecticut",93200,153898,34043
2016,"Congressional District 4 (115th Congress), Connecticut",135613,100786,37106
2016,"Congressional District 5 (115th Congress), Connecticut",108875,141956,35143
2016,"Congressional District (at Large) (115th Congress), Delaware",121717,212474,31366
2016,"Delegate District (at Large) (115th Congress), District of Columbia",115097,85248,42082
2016,"Congressional District 1 (115th Congress), Florida",92389,138161,26329
2016,"Congressional District 2 (115th Congress), Florida",70145,173358,24608
2016,"Congressional District 3 (115th Congress), Florida",71249,156648,23340
2016,"Congressional District 4 (115th Congress), Florida",142234,127241,34877
2016,"Congressional District 5 (115th Congress), Florida",67873,145158,22288
2016,"Congressional District 6 (115th Congress), Florida",85887,177606,25241
2016,"Congressional District 7 (115th Congress), Florida",127196,109301,29885
2016,"Congressional District 8 (115th Congress), Florida",100480,157050,25081
2016,"Congressional District 9 (115th Congress), Florida",95690,168690,24323
2016,"Congressional District 10 (115th Congress), Florida",110363,142930,26222
2016,"Congressional District 11 (115th Congress), Florida",75644,213588,22793
2016,"Congressional District 12 (115th Congress), Florida",101848,181179,26091
2016,"Congressional District 13 (115th Congress), Florida",99671,154928,26649
2016,"Congressional District 14 (115th Congress), Florida",114065,138321,26819
2016,"Congressional District 15 (115th Congress), Florida",88857,170998,26444
2016,"Congressional District 16 (115th Congress), Florida",111446,173202,27747
2016,"Congressional District 17 (115th Congress), Florida",80130,218793,23961
2016,"Congressional District 18 (115th Congress), Florida",108032,151069,27146
2016,"Congressional District 19 (115th Congress), Florida",121545,171853,27131
2016,"Congressional District 20 (115th Congress), Florida",69583,168604,22544
2016,"Congressional District 21 (115th Congress), Florida",119505,137908,26976
2016,"Congressional District 22 (115th Congress), Florida",126858,133416,31567
2016,"Congressional District 23 (115th Congress), Florida",127455,119905,31368
2016,"Congressional District 24 (115th Congress), Florida",66140,166330,21329
2016,"Congressional District 25 (115th Congress), Florida",81860,162043,21381
2016,"Congressional District 26 (115th Congress), Florida",102471,153386,23709
2016,"Congressional District 27 (115th Congress), Florida",117291,138067,25950
2016,"Congressional District 1 (115th Congress), Georgia",78181,142657,26516
2016,"Congressional District 2 (115th Congress), Georgia",46899,148766,20769
2016,"Congressional District 3 (115th Congress), Georgia",81139,148385,27040
2016,"Congressional District 4 (115th Congress), Georgia",92663,132386,28002
2016,"Congressional District 5 (115th Congress), Georgia",119002,112644,27204
2016,"Congressional District 6 (115th Congress), Georgia",189570,66576,41303
2016,"Congressional District 7 (115th Congress), Georgia",130527,102521,32281
2016,"Congressional District 8 (115th Congress), Georgia",58035,158170,23895
2016,"Congressional District 9 (115th Congress), Georgia",67430,163302,24071
2016,"Congressional District 10 (115th Congress), Georgia",70313,150966,24999
2016,"Congressional District 11 (115th Congress), Georgia",135515,106114,32739
2016,"Congressional District 12 (115th Congress), Georgia",55841,160942,22781
2016,"Congressional District 13 (115th Congress), Georgia",89167,135734,30060
2016,"Congressional District 14 (115th Congress), Georgia",55993,154917,24747
