year,district,mortgage_cost
2011,"Congressional District 1 (112th Congress), Alabama",793
2011,"Congressional District 2 (112th Congress), Alabama",683
2011,"Congressional District 3 (112th Congress), Alabama",686
2011,"Congressional District 4 (112th Congress), Alabama",574
2011,"Congressional District 5 (112th Congress), Alabama",721
2011,"Congressional District 6 (112th Congress), Alabama",964
2011,"Congressional District 7 (112th Congress), Alabama",705
2011,"Congressional District (at Large) (112th Congress), Alaska",1186
2011,"Congressional District 1 (112th Congress), Arizona",721
2011,"Congressional District 2 (112th Congress), Arizona",982
2011,"Congressional District 3 (112th Congress), Arizona",1132
2011,"Congressional District 4 (112th Congress), Arizona",829
2011,"Congressional District 5 (112th Congress), Arizona",1113
2011,"Congressional District 6 (112th Congress), Arizona",1095
2011,"Congressional District 7 (112th Congress), Arizona",786
2011,"Congressional District 8 (112th Congress), Arizona",918
2011,"Congressional District 1 (112th Congress), Arkansas",586
2011,"Congressional District 2 (112th Congress), Arkansas",777
2011,"Congressional District 3 (112th Congress), Arkansas",700
2011,"Congressional District 4 (112th Congress), Arkansas",538
2011,"Congressional District 1 (112th Congress), California",1158
2011,"Congressional District 2 (112th Congress), California",923
2011,"Congressional District 3 (112th Congress), California",1341
2011,"Congressional District 4 (112th Congress), California",1362
2011,"Congressional District 5 (112th Congress), California",1046
2011,"Congressional District 6 (112th Congress), California",1540
2011,"Congressional District 7 (112th Congress), California",1386
2011,"Congressional District 8 (112th Congress), California",1561
2011,"Congressional District 9 (112th Congress), California",1329
2011,"Congressional District 10 (112th Congress), California",1736
2011,"Congressional District 11 (112th Congress), California",1632
2011,"Congressional District 12 (112th Congress), California",1848
2011,"Congressional District 13 (112th Congress), California",1621
2011,"Congressional District 14 (112th Congress), California",1806
2011,"Congressional District 15 (112th Congress), California",1775
2011,"Congressional District 16 (112th Congress), California",1670
2011,"Congressional District 17 (112th Congress), California",1362
2011,"Congressional District 18 (112th Congress), California",949
2011,"Congressional District 19 (112th Congress), California",1070
2011,"Congressional District 20 (112th Congress), California",848
2011,"Congressional District 21 (112th Congress), California",961
2011,"Congressional District 22 (112th Congress), California",1101
2011,"Congressional District 23 (112th Congress), California",1423
2011,"Congressional District 24 (112th Congress), California",1787
2011,"Congressional District 25 (112th Congress), California",1367
2011,"Congressional District 26 (112th Congress), California",1598
2011,"Congressional District 27 (112th Congress), California",1518
2011,"Congressional District 28 (112th Congress), California",1377
2011,"Congressional District 29 (112th Congress), California",1380
2011,"Congressional District 30 (112th Congress), California",1822
2011,"Congressional District 31 (112th Congress), California",994
2011,"Congressional District 32 (112th Congress), California",1234
2011,"Congressional District 33 (112th Congress), California",1222
2011,"Congressional District 34 (112th Congress), California",1080
2011,"Congressional District 35 (112th Congress), California",1149
2011,"Congressional District 36 (112th Congress), California",1573
2011,"Congressional District 37 (112th Congress), California",1178
2011,"Congressional District 38 (112th Congress), California",1287
2011,"Congressional District 39 (112th Congress), California",1361
2011,"Congressional District 40 (112th Congress), California",1568
2011,"Congressional District 41 (112th Congress), California",1097
2011,"Congressional District 42 (112th Congress), California",1951
2011,"Congressional District 43 (112th Congress), California",1203
2011,"Congressional District 44 (112th Congress), California",1615
2011,"Congressional District 45 (112th Congress), California",1241
2011,"Congressional District 46 (112th Congress), California",1610
2011,"Congressional District 47 (112th Congress), California",1351
2011,"Congressional District 48 (112th Congress), California",1918
2011,"Congressional District 49 (112th Congress), California",1467
2011,"Congressional District 50 (112th Congress), California",1723
2011,"Congressional District 51 (112th Congress), California",1208
2011,"Congressional District 52 (112th Congress), California",1502
2011,"Congressional District 53 (112th Congress), California",1277
2011,"Congressional District 1 (112th Congress), Colorado",998
2011,"Congressional District 2 (112th Congress), Colorado",1299
2011,"Congressional District 3 (112th Congress), Colorado",869
2011,"Congressional District 4 (112th Congress), Colorado",989
2011,"Congressional District 5 (112th Congress), Colorado",1072
2011,"Congressional District 6 (112th Congress), Colorado",1541
2011,"Congressional District 7 (112th Congress), Colorado",1057
2011,"Congressional District 1 (112th Congress), Connecticut",1209
2011,"Congressional District 2 (112th Congress), Connecticut",1292
2011,"Congressional District 3 (112th Congress), Connecticut",1327
2011,"Congressional District 4 (112th Congress), Connecticut",1794
2011,"Congressional District 5 (112th Congress), Connecticut",1296
2011,"Congressional District (at Large) (112th Congress), Delaware",1113
2011,"Delegate District (at Large) (112th Congress), District of Columbia",1401
2011,"Congressional District 1 (112th Congress), Florida",907
2011,"Congressional District 2 (112th Congress), Florida",899
2011,"Congressional District 3 (112th Congress), Florida",837
2011,"Congressional District 4 (112th Congress), Florida",1016
2011,"Congressional District 5 (112th Congress), Florida",788
2011,"Congressional District 6 (112th Congress), Florida",890
2011,"Congressional District 7 (112th Congress), Florida",995
2011,"Congressional District 8 (112th Congress), Florida",1044
2011,"Congressional District 9 (112th Congress), Florida",1013
2011,"Congressional District 10 (112th Congress), Florida",934
2011,"Congressional District 11 (112th Congress), Florida",921
2011,"Congressional District 12 (112th Congress), Florida",878
2011,"Congressional District 13 (112th Congress), Florida",891
2011,"Congressional District 14 (112th Congress), Florida",942
2011,"Congressional District 15 (112th Congress), Florida",941
2011,"Congressional District 16 (112th Congress), Florida",902
2011,"Congressional District 17 (112th Congress), Florida",1035
2011,"Congressional District 18 (112th Congress), Florida",1151
2011,"Congressional District 19 (112th Congress), Florida",1085
2011,"Congressional District 20 (112th Congress), Florida",1306
2011,"Congressional District 21 (112th Congress), Florida",1237
2011,"Congressional District 22 (112th Congress), Florida",1320
2011,"Congressional District 23 (112th Congress), Florida",984
2011,"Congressional District 24 (112th Congress), Florida",1100
2011,"Congressional District 25 (112th Congress), Florida",1340
2011,"Congressional District 1 (112th Congress), Georgia",755
2011,"Congressional District 2 (112th Congress), Georgia",663
2011,"Congressional District 3 (112th Congress), Georgia",1035
2011,"Congressional District 4 (112th Congress), Georgia",1048
2011,"Congressional District 5 (112th Congress), Georgia",1055
2011,"Congressional District 6 (112th Congress), Georgia",1325
2011,"Congressional District 7 (112th Congress), Georgia",1231
2011,"Congressional District 8 (112th Congress), Georgia",758
2011,"Congressional District 9 (112th Congress), Georgia",843
2011,"Congressional District 10 (112th Congress), Georgia",822
2011,"Congressional District 11 (112th Congress), Georgia",950
2011,"Congressional District 12 (112th Congress), Georgia",750
2011,"Congressional District 13 (112th Congress), Georgia",1016
2011,"Congressional District 1 (112th Congress), Hawaii",1454
2011,"Congressional District 2 (112th Congress), Hawaii",1392
2011,"Congressional District 1 (112th Congress), Idaho",869
2011,"Congressional District 2 (112th Congress), Idaho",729
2011,"Congressional District 1 (112th Congress), Illinois",971
2011,"Congressional District 2 (112th Congress), Illinois",1055
2011,"Congressional District 3 (112th Congress), Illinois",1105
2011,"Congressional District 4 (112th Congress), Illinois",983
2011,"Congressional District 5 (112th Congress), Illinois",1156
2011,"Congressional District 6 (112th Congress), Illinois",1414
2011,"Congressional District 7 (112th Congress), Illinois",1281
2011,"Congressional District 8 (112th Congress), Illinois",1466
2011,"Congressional District 9 (112th Congress), Illinois",1162
2011,"Congressional District 10 (112th Congress), Illinois",1601
2011,"Congressional District 11 (112th Congress), Illinois",1036
2011,"Congressional District 12 (112th Congress), Illinois",743
2011,"Congressional District 13 (112th Congress), Illinois",1639
2011,"Congressional District 14 (112th Congress), Illinois",1326
2011,"Congressional District 15 (112th Congress), Illinois",764
2011,"Congressional District 16 (112th Congress), Illinois",998
2011,"Congressional District 17 (112th Congress), Illinois",658
2011,"Congressional District 18 (112th Congress), Illinois",732
2011,"Congressional District 19 (112th Congress), Illinois",720
2011,"Congressional District 1 (112th Congress), Indiana",879
2011,"Congressional District 2 (112th Congress), Indiana",728
2011,"Congressional District 3 (112th Congress), Indiana",750
2011,"Congressional District 4 (112th Congress), Indiana",888
2011,"Congressional District 5 (112th Congress), Indiana",929
2011,"Congressional District 6 (112th Congress), Indiana",689
2011,"Congressional District 7 (112th Congress), Indiana",777
2011,"Congressional District 8 (112th Congress), Indiana",707
2011,"Congressional District 9 (112th Congress), Indiana",762
