year,district,black_pop,total_pop,white_pop
2012,"Congressional District 1 (113th Congress), Alabama",192099,693136,470105
2012,"Congressional District 2 (113th Congress), Alabama",204416,683565,451176
2012,"Congressional District 3 (113th Congress), Alabama",180938,696249,489433
2012,"Congressional District 4 (113th Congress), Alabama",49544,680966,598955
2012,"Congressional District 5 (113th Congress), Alabama",120106,696690,536553
2012,"Congressional District 6 (113th Congress), Alabama",97358,688675,553061
2012,"Congressional District 7 (113th Congress), Alabama",431703,682742,234088
2012,"Congressional District (at Large) (113th Congress), Alaska",26207,731449,486551
2012,"Congressional District 1 (113th Congress), Arizona",18034,722706,466617
2012,"Congressional District 2 (113th Congress), Arizona",35582,727099,587594
2012,"Congressional District 3 (113th Congress), Arizona",34677,719765,524877
2012,"Congressional District 4 (113th Congress), Arizona",12306,720881,630472
2012,"Congressional District 5 (113th Congress), Arizona",19999,737326,635666
2012,"Congressional District 6 (113th Congress), Arizona",20348,722561,621351
2012,"Congressional District 7 (113th Congress), Arizona",71618,735599,506305
2012,"Congressional District 8 (113th Congress), Arizona",35983,730846,624989
2012,"Congressional District 9 (113th Congress), Arizona",37796,736472,566328
2012,"Congressional District 1 (113th Congress), Arkansas",131412,729169,573558
2012,"Congressional District 2 (113th Congress), Arkansas",166322,747332,552404
2012,"Congressional District 3 (113th Congress), Arkansas",21077,754704,646773
2012,"Congressional District 4 (113th Congress), Arkansas",143371,717926,535216
2012,"Congressional District 1 (113th Congress), California",10214,711354,620859
2012,"Congressional District 2 (113th Congress), California",12669,704148,566582
2012,"Congressional District 3 (113th Congress), California",36044,712075,468948
2012,"Congressional District 4 (113th Congress), California",8207,704230,600122
2012,"Congressional District 5 (113th Congress), California",45800,715809,488255
2012,"Congressional District 6 (113th Congress), California",94114,714536,382125
2012,"Congressional District 7 (113th Congress), California",52755,719962,465443
2012,"Congressional District 8 (113th Congress), California",72530,708578,510793
2012,"Congressional District 9 (113th Congress), California",61538,724666,404615
2012,"Congressional District 10 (113th Congress), California",22855,713348,526630
2012,"Congressional District 11 (113th Congress), California",68058,726253,469187
2012,"Congressional District 12 (113th Congress), California",41938,717042,371702
2012,"Congressional District 13 (113th Congress), California",129044,719569,331694
2012,"Congressional District 14 (113th Congress), California",23594,725771,361692
2012,"Congressional District 15 (113th Congress), California",50619,732515,365847
2012,"Congressional District 16 (113th Congress), California",45580,716746,385426
