year,district,bach_deg_num,high_school_num,median_HH_income
2017,"Congressional District 13 (115th Congress), Florida",110486,164142,27675
2017,"Congressional District 14 (115th Congress), Florida",123161,145006,27410
2017,"Congressional District 15 (115th Congress), Florida",92162,171854,27835
2017,"Congressional District 16 (115th Congress), Florida",122934,169272,29827
2017,"Congressional District 17 (115th Congress), Florida",80488,214984,25356
2017,"Congressional District 18 (115th Congress), Florida",119846,159605,28796
2017,"Congressional District 19 (115th Congress), Florida",124222,184725,28640
2017,"Congressional District 20 (115th Congress), Florida",69613,169482,23917
2017,"Congressional District 21 (115th Congress), Florida",126455,145925,28778
2017,"Congressional District 22 (115th Congress), Florida",139872,139019,31888
2017,"Congressional District 23 (115th Congress), Florida",132922,115961,32405
2017,"Congressional District 24 (115th Congress), Florida",71369,173614,21737
2017,"Congressional District 25 (115th Congress), Florida",89806,180208,22050
2017,"Congressional District 26 (115th Congress), Florida",108722,155270,24924
2017,"Congressional District 27 (115th Congress), Florida",133944,126191,26037
2017,"Congressional District 1 (115th Congress), Georgia",74860,144540,26488
2017,"Congressional District 2 (115th Congress), Georgia",45276,154443,21693
2017,"Congressional District 3 (115th Congress), Georgia",89249,147630,28398
2017,"Congressional District 4 (115th Congress), Georgia",91964,132482,29771
2017,"Congressional District 5 (115th Congress), Georgia",120915,126464,29318
2017,"Congressional District 6 (115th Congress), Georgia",199812,67567,44928
2017,"Congressional District 7 (115th Congress), Georgia",147299,111004,34381
2017,"Congressional District 8 (115th Congress), Georgia",62174,156301,25028
2017,"Congressional District 9 (115th Congress), Georgia",75395,162283,25957
2017,"Congressional District 10 (115th Congress), Georgia",72931,163249,25761
2017,"Congressional District 11 (115th Congress), Georgia",137929,109684,34859
2017,"Congressional District 12 (115th Congress), Georgia",61046,152042,22031
2017,"Congressional District 13 (115th Congress), Georgia",82991,144008,29504
2017,"Congressional District 14 (115th Congress), Georgia",49770,164804,26370
2017,"Congressional District 1 (115th Congress), Hawaii",120131,130467,36409
2017,"Congressional District 2 (115th Congress), Hawaii",96862,150027,32921
2017,"Congressional District 1 (115th Congress), Idaho",103077,171930,26247
2017,"Congressional District 2 (115th Congress), Idaho",99723,141099,25143
2017,"Congressional District 1 (115th Congress), Illinois",78097,132940,26893
2017,"Congressional District 2 (115th Congress), Illinois",61680,139959,26579
2017,"Congressional District 3 (115th Congress), Illinois",92087,144784,32308
2017,"Congressional District 4 (115th Congress), Illinois",78803,124809,27129
2017,"Congressional District 5 (115th Congress), Illinois",180046,89914,45111
2017,"Congressional District 6 (115th Congress), Illinois",160712,83118,44606
2017,"Congressional District 7 (115th Congress), Illinois",112887,100670,31030
2017,"Congressional District 8 (115th Congress), Illinois",106562,122423,33618
2017,"Congressional District 9 (115th Congress), Illinois",164305,91032,36131
2017,"Congressional District 10 (115th Congress), Illinois",120248,98997,34293
2017,"Congressional District 11 (115th Congress), Illinois",106025,108432,34297
2017,"Congressional District 12 (115th Congress), Illinois",64614,152508,26538
2017,"Congressional District 13 (115th Congress), Illinois",81952,136190,27232
2017,"Congressional District 14 (115th Congress), Illinois",130189,116976,40373
2017,"Congressional District 15 (115th Congress), Illinois",62586,164613,27389
2017,"Congressional District 16 (115th Congress), Illinois",63286,161618,30220
2017,"Congressional District 17 (115th Congress), Illinois",60153,161449,25746
2017,"Congressional District 18 (115th Congress), Illinois",105671,141742,33421
2017,"Congressional District 1 (115th Congress), Indiana",76383,170121,29430
2017,"Congressional District 2 (115th Congress), Indiana",65774,160692,27286
2017,"Congressional District 3 (115th Congress), Indiana",74147,163296,29065
2017,"Congressional District 4 (115th Congress), Indiana",80698,171469,28603
2017,"Congressional District 5 (115th Congress), Indiana",158118,114974,36593
2017,"Congressional District 6 (115th Congress), Indiana",70334,188536,27389
2017,"Congressional District 7 (115th Congress), Indiana",76736,151447,25459
2017,"Congressional District 8 (115th Congress), Indiana",68218,164759,26623
2017,"Congressional District 9 (115th Congress), Indiana",82860,165473,28696
2017,"Congressional District 1 (115th Congress), Iowa",96770,166318,30766
2017,"Congressional District 2 (115th Congress), Iowa",95514,160325,29772
2017,"Congressional District 3 (115th Congress), Iowa",126005,150589,33649
2017,"Congressional District 4 (115th Congress), Iowa",88341,161998,29999
2017,"Congressional District 1 (115th Congress), Kansas",75051,126511,26455
2017,"Congressional District 2 (115th Congress), Kansas",86596,143714,27337
2017,"Congressional District 3 (115th Congress), Kansas",149759,91370,37034
2017,"Congressional District 4 (115th Congress), Kansas",92136,129174,28731
2017,"Congressional District 1 (115th Congress), Kentucky",44945,184944,22839
2017,"Congressional District 2 (115th Congress), Kentucky",58581,186020,26236
2017,"Congressional District 3 (115th Congress), Kentucky",97498,145146,30467
2017,"Congressional District 4 (115th Congress), Kentucky",90284,157713,30593
2017,"Congressional District 5 (115th Congress), Kentucky",34705,180924,18366
2017,"Congressional District 6 (115th Congress), Kentucky",97903,142313,26912
2017,"Congressional District 1 (115th Congress), Louisiana",108846,162196,30024
2017,"Congressional District 2 (115th Congress), Louisiana",74248,167820,21736
2017,"Congressional District 3 (115th Congress), Louisiana",78947,199412,25780
2017,"Congressional District 4 (115th Congress), Louisiana",61601,184088,21039
2017,"Congressional District 5 (115th Congress), Louisiana",60827,183540,21251
2017,"Congressional District 6 (115th Congress), Louisiana",97970,164470,31343
2017,"Congressional District 1 (115th Congress), Maine",117832,135209,31445
2017,"Congressional District 2 (115th Congress), Maine",76028,165507,25186
2017,"Congressional District 1 (115th Congress), Maryland",97110,152081,33478
2017,"Congressional District 2 (115th Congress), Maryland",100401,150255,35355
2017,"Congressional District 3 (115th Congress), Maryland",132208,106652,41881
2017,"Congressional District 4 (115th Congress), Maryland",97977,140089,39198
2017,"Congressional District 5 (115th Congress), Maryland",105769,137254,42630
2017,"Congressional District 6 (115th Congress), Maryland",116301,122236,35725
2017,"Congressional District 7 (115th Congress), Maryland",99715,124693,32289
2017,"Congressional District 8 (115th Congress), Maryland",139609,87568,47834
2017,"Congressional District 1 (115th Congress), Massachusetts",88906,154913,28970
2017,"Congressional District 2 (115th Congress), Massachusetts",116678,136089,32183
2017,"Congressional District 3 (115th Congress), Massachusetts",110491,136623,33913
2017,"Congressional District 4 (115th Congress), Massachusetts",136612,99437,42755
2017,"Congressional District 5 (115th Congress), Massachusetts",145535,102905,45428
2017,"Congressional District 6 (115th Congress), Massachusetts",151946,136117,40083
2017,"Congressional District 7 (115th Congress), Massachusetts",127508,126404,31442
2017,"Congressional District 8 (115th Congress), Massachusetts",153353,120683,43959
2017,"Congressional District 9 (115th Congress), Massachusetts",115557,150355,35101
2017,"Congressional District 1 (115th Congress), Michigan",86198,167578,25044
2017,"Congressional District 2 (115th Congress), Michigan",91014,150444,26882
2017,"Congressional District 3 (115th Congress), Michigan",106115,136680,30024
2017,"Congressional District 4 (115th Congress), Michigan",66106,168241,25056
2017,"Congressional District 5 (115th Congress), Michigan",59839,153631,24945
2017,"Congressional District 6 (115th Congress), Michigan",83411,140580,27969
2017,"Congressional District 7 (115th Congress), Michigan",72302,161963,30075
2017,"Congressional District 8 (115th Congress), Michigan",116925,106837,32309
2017,"Congressional District 9 (115th Congress), Michigan",96835,140540,31743
2017,"Congressional District 10 (115th Congress), Michigan",74208,156997,31019
2017,"Congressional District 11 (115th Congress), Michigan",146409,94675,40294
2017,"Congressional District 12 (115th Congress), Michigan",81196,120974,30951
2017,"Congressional District 13 (115th Congress), Michigan",45386,149864,21981
2017,"Congressional District 14 (115th Congress), Michigan",75431,120835,26890
2017,"Congressional District 1 (115th Congress), Minnesota",84479,134827,31454
2017,"Congressional District 2 (115th Congress), Minnesota",125635,107030,40488
2017,"Congressional District 3 (115th Congress), Minnesota",157011,89538,43329
2017,"Congressional District 4 (115th Congress), Minnesota",124879,95755,34169
2017,"Congressional District 5 (115th Congress), Minnesota",146349,87863,33819
2017,"Congressional District 6 (115th Congress), Minnesota",101889,128104,37177
2017,"Congressional District 7 (115th Congress), Minnesota",72411,149459,29986
2017,"Congressional District 8 (115th Congress), Minnesota",76227,146332,29105
2017,"Congressional District 1 (115th Congress), Mississippi",65430,158708,25502
2017,"Congressional District 2 (115th Congress), Mississippi",51619,138268,21145
2017,"Congressional District 3 (115th Congress), Mississippi",77074,145184,25349
2017,"Congressional District 4 (115th Congress), Mississippi",71097,153451,24343
2017,"Congressional District 1 (115th Congress), Missouri",88670,129961,26954
2017,"Congressional District 2 (115th Congress), Missouri",156037,99695,40226
2017,"Congressional District 3 (115th Congress), Missouri",95236,172964,31386
2017,"Congressional District 4 (115th Congress), Missouri",79926,170832,25754
2017,"Congressional District 5 (115th Congress), Missouri",93044,163700,30101
2017,"Congressional District 6 (115th Congress), Missouri",90204,177164,30170
2017,"Congressional District 7 (115th Congress), Missouri",86411,165408,25109
2017,"Congressional District 8 (115th Congress), Missouri",54269,197781,21339
2017,"Congressional District (at Large) (115th Congress), Montana",157326,203141,27191
2017,"Congressional District 1 (115th Congress), Nebraska",87515,107833,31296
2017,"Congressional District 2 (115th Congress), Nebraska",112528,91003,35215
2017,"Congressional District 3 (115th Congress), Nebraska",63287,132245,28722
2017,"Congressional District 1 (115th Congress), Nevada",51428,166308,24927
2017,"Congressional District 2 (115th Congress), Nevada",89351,132466,31847
2017,"Congressional District 3 (115th Congress), Nevada",124240,144648,35488
2017,"Congressional District 4 (115th Congress), Nevada",75091,149424,30330
2017,"Congressional District 1 (115th Congress), New Hampshire",111604,129387,35344
2017,"Congressional District 2 (115th Congress), New Hampshire",105146,139177,32608
2017,"Congressional District 1 (115th Congress), New Jersey",103373,153111,33617
2017,"Congressional District 2 (115th Congress), New Jersey",88017,163442,29811
2017,"Congressional District 3 (115th Congress), New Jersey",117468,165085,36677
2017,"Congressional District 4 (115th Congress), New Jersey",136155,131624,39104
2017,"Congressional District 5 (115th Congress), New Jersey",152591,121752,42380
2017,"Congressional District 6 (115th Congress), New Jersey",124048,128936,36713
2017,"Congressional District 7 (115th Congress), New Jersey",151275,111163,47373
2017,"Congressional District 8 (115th Congress), New Jersey",120030,152316,30756
2017,"Congressional District 9 (115th Congress), New Jersey",117799,169982,32089
2017,"Congressional District 10 (115th Congress), New Jersey",105705,159508,29751
2017,"Congressional District 11 (115th Congress), New Jersey",161044,108683,50393
2017,"Congressional District 12 (115th Congress), New Jersey",129394,131256,37267
2017,"Congressional District 1 (115th Congress), New Mexico",88503,116263,27272
2017,"Congressional District 2 (115th Congress), New Mexico",53497,128629,21245
2017,"Congressional District 3 (115th Congress), New Mexico",69995,125707,25440
2017,"Congressional District 1 (115th Congress), New York",102279,138437,40315
2017,"Congressional District 2 (115th Congress), New York",91813,142077,36997
2017,"Congressional District 3 (115th Congress), New York",144278,101534,44228
2017,"Congressional District 4 (115th Congress), New York",116642,121230,40560
2017,"Congressional District 5 (115th Congress), New York",97758,162889,30876
2017,"Congressional District 6 (115th Congress), New York",115755,153149,30917
2017,"Congressional District 7 (115th Congress), New York",108118,121391,27553
2017,"Congressional District 8 (115th Congress), New York",108697,165725,30104
2017,"Congressional District 9 (115th Congress), New York",114413,143590,31772
2017,"Congressional District 10 (115th Congress), New York",158122,74244,50219
2017,"Congressional District 11 (115th Congress), New York",109399,149971,34809
2017,"Congressional District 12 (115th Congress), New York",224422,53310,67111
2017,"Congressional District 13 (115th Congress), New York",102809,125450,23965
2017,"Congressional District 14 (115th Congress), New York",85035,158369,29366
2017,"Congressional District 15 (115th Congress), New York",48830,131717,16883
2017,"Congressional District 16 (115th Congress), New York",103488,118443,33878
2017,"Congressional District 17 (115th Congress), New York",116731,104269,38784
2017,"Congressional District 18 (115th Congress), New York",98438,129924,36953
2017,"Congressional District 19 (115th Congress), New York",81438,162146,30204
2017,"Congressional District 20 (115th Congress), New York",102067,121297,34360
2017,"Congressional District 21 (115th Congress), New York",64222,176410,28369
2017,"Congressional District 22 (115th Congress), New York",67076,161902,27055
