,district,party,votes,year
189,FL-03,GOP,176286,2018
190,FL-03,Dem,129153,2018
191,FL-04,GOP,247197,2018
192,FL-04,Dem,122512,2018
193,FL-04,,9374,2018
194,FL-05,Dem,180105,2018
195,FL-05,GOP,89664,2018
196,FL-06,GOP,187705,2018
197,FL-06,Dem,145546,2018
198,FL-07,Dem,182949,2018
199,FL-07,GOP,134253,2018
200,FL-08,GOP,217931,2018
201,FL-08,Dem,142209,2018
202,FL-09,Dem,171941,2018
203,FL-09,GOP,124460,2018
204,FL-11,GOP,239242,2018
205,FL-11,Dem,127933,2018
206,FL-12,GOP,194436,2018
207,FL-12,Dem,132695,2018
208,FL-12,,7501,2018
209,FL-13,Dem,182563,2018
210,FL-13,GOP,134183,2018
211,FL-15,GOP,151063,2018
212,FL-15,Dem,133686,2018
213,FL-16,GOP,196965,2018
214,FL-16,Dem,163996,2018
215,FL-17,GOP,193185,2018
216,FL-17,Dem,117074,2018
217,FL-18,GOP,183376,2018
218,FL-18,Dem,153543,2018
219,FL-19,GOP,211321,2018
220,FL-19,Dem,127952,2018
221,FL-22,Dem,172220,2018
222,FL-22,GOP,106303,2018
223,FL-23,Dem,154052,2018
224,FL-23,GOP,95220,2018
225,FL-23,,14432,2018
226,FL-25,GOP,128611,2018
227,FL-25,Dem,84034,2018
228,FL-26,Dem,119723,2018
229,FL-26,GOP,115644,2018
230,FL-27,Dem,130636,2018
231,FL-27,GOP,115546,2018
232,FL-27,,6253,2018
233,GA-01,GOP,143931,2018
234,GA-01,Dem,104406,2018
235,GA-02,Dem,135707,2018
236,GA-02,GOP,92132,2018
237,GA-03,GOP,191700,2018
238,GA-03,Dem,100733,2018
239,GA-04,Dem,225879,2018
240,GA-04,GOP,60817,2018
241,GA-06,Dem,159268,2018
242,GA-06,GOP,156396,2018
243,GA-07,GOP,139804,2018
244,GA-07,Dem,138914,2018
245,GA-09,GOP,224412,2018
246,GA-09,Dem,57823,2018
247,GA-10,GOP,190080,2018
248,GA-10,Dem,111938,2018
249,GA-11,GOP,191529,2018
250,GA-11,Dem,118053,2018
251,GA-12,GOP,148092,2018
252,GA-12,Dem,100986,2018
253,GA-13,Dem,220748,2018
254,GA-13,GOP,69401,2018
255,GA-14,GOP,175482,2018
256,GA-14,Dem,53841,2018
257,HI-01,Dem,134603,2018
258,HI-01,GOP,42480,2018
259,HI-01,,7057,2018
260,HI-02,Dem,153132,2018
261,HI-02,GOP,44816,2018
262,ID-01,GOP,195774,2018
263,ID-01,Dem,93634,2018
264,ID-01,,20086,2018
265,ID-02,GOP,170280,2018
266,ID-02,Dem,110386,2018
267,IL-01,Dem,176560,2018
268,IL-01,GOP,49976,2018
269,IL-01,Indp,16506,2018
270,IL-02,Dem,183816,2018
271,IL-02,GOP,43875,2018
272,IL-03,Dem,155940,2018
273,IL-03,GOP,56350,2018
274,IL-04,Dem,134522,2018
275,IL-04,GOP,21083,2018
276,IL-05,Dem,197162,2018
277,IL-05,GOP,62039,2018
278,IL-06,Dem,156346,2018
279,IL-06,GOP,139667,2018
280,IL-07,Dem,199625,2018
281,IL-07,GOP,27776,2018
282,IL-08,Dem,124908,2018
283,IL-08,GOP,65576,2018
284,IL-09,Dem,202372,2018
285,IL-09,GOP,74910,2018
286,IL-10,Dem,151860,2018
287,IL-10,GOP,80361,2018
288,IL-11,Dem,140907,2018
289,IL-11,GOP,80775,2018
290,IL-12,GOP,134009,2018
291,IL-12,Dem,116985,2018
292,IL-12,,7823,2018
293,IL-13,GOP,135680,2018
294,IL-13,Dem,131958,2018
295,IL-14,Dem,142261,2018
296,IL-14,GOP,131819,2018
297,IL-15,GOP,177682,2018
298,IL-15,Dem,69234,2018
299,IL-16,GOP,149205,2018
300,IL-16,Dem,100789,2018
301,IL-17,Dem,139461,2018
302,IL-17,GOP,86218,2018
303,IL-18,GOP,193543,2018
304,IL-18,Dem,93330,2018
305,IN-01,Dem,121800,2018
306,IN-01,GOP,58903,2018
307,IN-02,GOP,117901,2018
308,IN-02,Dem,88588,2018
309,IN-03,GOP,158355,2018
310,IN-03,Dem,86420,2018
311,IN-04,GOP,148603,2018
312,IN-04,Dem,83200,2018
313,IN-05,GOP,175768,2018
314,IN-05,Dem,126586,2018
315,IN-06,GOP,138557,2018
316,IN-06,Dem,73004,2018
317,IN-06,,6858,2018
318,IN-07,Dem,116673,2018
319,IN-07,GOP,69047,2018
320,IN-08,GOP,157209,2018
321,IN-08,Dem,86409,2018
322,IN-09,GOP,144541,2018
323,IN-09,Dem,98292,2018
324,IA-01,Dem,169348,2018
325,IA-01,GOP,152940,2018
326,IA-01,,10228,2018
327,IA-02,Dem,171054,2018
328,IA-02,GOP,133010,2018
329,IA-02,,8010,2018
330,IA-03,Dem,169886,2018
331,IA-03,GOP,164656,2018
332,IA-03,,11976,2018
333,IA-04,GOP,157221,2018
334,IA-04,Dem,146698,2018
335,IA-04,,8251,2018
336,KS-01,GOP,149708,2018
337,KS-01,Dem,69076,2018
338,KS-02,GOP,124895,2018
339,KS-02,Dem,120421,2018
340,KS-02,Libt,14402,2018
341,KS-03,Dem,164253,2018
342,KS-03,GOP,136104,2018
343,KS-03,,7643,2018
344,KS-04,GOP,138856,2018
345,KS-04,Dem,93384,2018
346,KY-01,GOP,172166,2018
347,KY-01,Dem,78849,2018
