congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
99,President,99907,99,0,USA,200,0,0,"REAGAN, Ronald Wilson",,1911,2004.0,0.692,-0.713,-89.07897,0.755,317,35,,,
99,House,10717,41,2,AL,200,0,1,"DICKINSON, William Louis",D000326,1925,2008.0,0.398,-0.057,-325.41201,0.637,721,138,,0.352,-0.15
99,House,11000,41,4,AL,100,0,1,"BEVILL, Tom",B000431,1921,2005.0,-0.213,0.976,-160.74609,0.798,713,69,,-0.205,0.979
99,House,11037,41,3,AL,100,0,1,"NICHOLS, William Flynt",N000095,1918,1988.0,-0.042,0.872,-176.64134,0.76,643,70,,-0.019,0.967
99,House,14419,41,5,AL,100,0,1,"FLIPPO, Ronnie Gene",F000208,1937,,-0.175,0.834,-158.38134,0.793,682,67,,-0.173,0.838
99,House,14659,41,7,AL,100,0,1,"SHELBY, Richard C.",S000320,1934,,0.013,0.658,-274.40557,0.683,719,128,,-0.038,0.513
99,House,15022,41,6,AL,100,0,1,"ERDREICH, Ben",E000201,1938,,-0.06,0.372,-225.3516,0.742,755,112,,-0.076,0.357
99,House,15090,41,1,AL,200,1,1,"CALLAHAN, Herbert Leon (Sonny)",C000052,1932,,0.373,0.202,-234.14722,0.734,757,108,,0.352,0.281
99,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.279,0.014,-418.83271,0.56208,727,202,,0.196,-0.298
99,House,10566,61,2,AZ,100,0,1,"UDALL, Morris King",U000001,1922,1998.0,-0.387,0.008,-120.62542,0.844,710,50,,-0.42,0.131
99,House,14449,61,4,AZ,200,0,1,"RUDD, Eldon Dean",R000495,1920,2002.0,0.422,0.611,-253.74837,0.668,628,120,,0.406,0.812
99,House,14454,61,3,AZ,200,0,1,"STUMP, Robert Lee",S001044,1927,2003.0,0.703,0.203,-180.22154,0.791,768,69,,0.643,0.304
99,House,15039,61,1,AZ,200,0,1,"McCAIN, John Sidney, III",M000303,1936,2018.0,0.381,-0.626,-341.75089,0.62736,733,142,,0.292,-0.173
99,House,15105,61,5,AZ,200,1,1,"KOLBE, James Thomas",K000306,1942,,0.351,-0.534,-238.74298,0.729,756,101,,0.38,-0.518
99,House,11020,42,3,AR,200,0,1,"HAMMERSCHMIDT, John Paul",H000124,1922,2015.0,0.253,0.239,-287.9687,0.684,758,132,,0.273,0.359
99,House,12000,42,1,AR,100,0,1,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1934,,-0.41,0.819,-139.48744,0.822,713,58,,-0.462,0.707
99,House,14601,42,4,AR,100,0,1,"ANTHONY, Beryl Franklin, Jr.",A000213,1938,,-0.254,0.484,-193.80581,0.765,722,92,,-0.262,0.394
99,House,15122,42,2,AR,100,1,1,"ROBINSON, Tommy Franklin",R000354,1942,,-0.013,0.423,-312.083,0.657,744,152,,-0.021,0.458
99,House,10573,71,36,CA,100,0,1,"BROWN, George Edward, Jr.",B000918,1920,1999.0,-0.506,-0.028,-125.00464,0.831,677,50,,-0.521,0.053
99,House,10583,71,10,CA,100,0,1,"EDWARDS, William Donlon (Don)",E000064,1915,2015.0,-0.599,-0.419,-96.25627,0.882,768,36,,-0.613,-0.341
99,House,10595,71,29,CA,100,0,1,"HAWKINS, Augustus Freeman (Gus)",H000367,1907,2007.0,-0.517,-0.369,-177.80673,0.772,688,62,,-0.465,-0.617
99,House,10621,71,25,CA,100,0,1,"ROYBAL, Edward R.",R000485,1916,2005.0,-0.61,-0.141,-131.99221,0.833,721,55,,-0.668,0.089
99,House,12001,71,32,CA,100,0,1,"ANDERSON, Glenn Malcolm",A000189,1913,1994.0,-0.269,-0.052,-289.02489,0.682,756,124,,-0.251,-0.047
99,House,13011,71,8,CA,100,0,1,"DELLUMS, Ronald V.",D000222,1935,,-0.644,-0.646,-109.01739,0.862,736,40,,-0.653,-0.508
99,House,14040,71,22,CA,200,0,1,"MOORHEAD, Carlos John",M000926,1922,2011.0,0.465,-0.119,-191.67407,0.78,771,84,,0.519,-0.188
99,House,14053,71,9,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,,-0.631,-0.605,-100.33882,0.865,693,42,,-0.566,-0.539
99,House,14071,71,19,CA,200,0,1,"LAGOMARSINO, Robert John",L000020,1926,,0.378,-0.267,-216.49816,0.755,772,83,,0.419,-0.373
99,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-136.46575,0.821,693,63,,-0.453,-0.463
99,House,14257,71,13,CA,100,0,1,"MINETA, Norman Y.",M000794,1931,,-0.479,-0.01,-108.49225,0.866,754,45,,-0.511,0.04
99,House,14280,71,24,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-112.31085,0.853,708,48,,-0.472,-0.361
99,House,14403,71,40,CA,200,0,1,"BADHAM, Robert Edward",B000024,1929,2005.0,0.541,0.084,-188.82564,0.758,681,85,,0.545,-0.037
99,House,14405,71,23,CA,100,0,1,"BEILENSON, Anthony Charles",B000318,1932,,-0.44,-0.605,-163.15055,0.801,736,63,,-0.415,-0.446
99,House,14414,71,38,CA,200,1,1,"DORNAN, Robert Kenneth",D000435,1933,,0.49,-0.111,-255.50026,0.704,727,113,,0.493,-0.096
99,House,14444,71,16,CA,100,0,1,"PANETTA, Leon Edward",P000047,1938,,-0.258,-0.186,-178.42262,0.786,741,71,,-0.313,-0.205
99,House,14613,71,15,CA,100,0,1,"COELHO, Tony",C000581,1942,,-0.413,0.344,-91.69177,0.878,707,32,,-0.417,0.379
99,House,14616,71,39,CA,200,0,1,"DANNEMEYER, William Edwin",D000044,1929,,0.691,-0.24,-162.63872,0.807,758,68,,0.669,-0.326
99,House,14620,71,28,CA,100,0,1,"DIXON, Julian Carey",D000373,1934,2000.0,-0.458,-0.076,-102.89101,0.858,670,39,,-0.521,0.001
99,House,14624,71,4,CA,100,0,1,"FAZIO, Victor Herbert, Jr.",F000053,1942,,-0.455,0.36,-136.28086,0.835,756,57,,-0.472,0.493
99,House,14644,71,35,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,,0.348,-0.101,-326.64671,0.621,685,149,,0.36,-0.298
99,House,14647,71,42,CA,200,0,1,"LUNGREN, Daniel Edward",L000517,1946,,0.497,-0.054,-225.14708,0.744,761,100,,0.524,-0.207
99,House,14649,71,3,CA,100,0,1,"MATSUI, Robert T.",M000249,1941,2005.0,-0.404,-0.03,-112.88591,0.86,749,40,,-0.458,-0.05
99,House,14652,71,17,CA,200,0,1,"PASHAYAN, Charles, Jr.",P000097,1941,,0.282,-0.232,-311.41404,0.656,739,158,,0.259,-0.123
99,House,14660,71,14,CA,200,0,1,"SHUMWAY, Norman David",S000393,1934,,0.556,0.39,-235.23686,0.733,758,117,,0.553,0.455
99,House,14669,71,20,CA,200,0,1,"THOMAS, William Marshall",T000188,1941,,0.371,-0.277,-263.00376,0.694,719,115,,0.377,-0.354
99,House,14805,71,2,CA,200,0,1,"CHAPPIE, Eugene A.",C000322,1920,1992.0,0.414,-0.235,-193.89896,0.736,633,80,,0.459,-0.207
99,House,14813,71,33,CA,200,0,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-193.42826,0.776,762,86,,0.616,-0.284
99,House,14816,71,31,CA,100,0,1,"DYMALLY, Mervyn Malcolm",D000592,1926,2012.0,-0.685,-0.039,-120.28055,0.835,668,48,,-0.745,-0.04
99,House,14821,71,21,CA,200,0,1,"FIEDLER, Bobbi",F000102,1937,,0.343,-0.258,-195.05151,0.749,674,73,,0.432,-0.27
99,House,14835,71,45,CA,200,0,1,"HUNTER, Duncan Lee",H000981,1948,,0.47,0.02,-253.22396,0.704,722,117,,0.462,-0.078
99,House,14837,71,11,CA,100,0,1,"LANTOS, Thomas Peter",L000090,1928,2008.0,-0.376,-0.033,-118.78448,0.85,730,49,,-0.332,0.07
