year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,median_HH_income,high_school_num,unemp_rate
2007,"Congressional District 1 (110th Congress), Alabama",186061,668063,455452,685,37.2,57822.0,20667.0,150456.0,5.7
2007,"Congressional District 2 (110th Congress), Alabama",199341,648830,430659,615,37.3,54569.0,20394.0,139977.0,6.9
2007,"Congressional District 3 (110th Congress), Alabama",212959,660448,425264,618,36.2,46561.0,19731.0,138563.0,8.4
2007,"Congressional District 4 (110th Congress), Alabama",31072,647685,593727,509,38.8,32817.0,18896.0,151386.0,5.5
2007,"Congressional District 5 (110th Congress), Alabama",120620,679540,524916,655,38.3,76351.0,22399.0,137299.0,6.2
2007,"Congressional District 6 (110th Congress), Alabama",81502,724660,617344,923,37.7,99012.0,30065.0,133563.0,4.8
2007,"Congressional District 7 (110th Congress), Alabama",380563,598625,206745,647,35.0,41468.0,17551.0,126886.0,10.0
2007,"Congressional District (at Large) (110th Congress), Alaska",25821,683478,465234,1130,33.3,67754.0,27114.0,127441.0,8.8
2007,"Congressional District 1 (110th Congress), Arizona",9604,733756,491213,682,36.5,54896.0,20853.0,148087.0,7.0
2007,"Congressional District 2 (110th Congress), Arizona",31349,939215,773696,1059,37.9,89937.0,26939.0,194772.0,5.4
2007,"Congressional District 3 (110th Congress), Arizona",21814,729373,596303,1163,36.5,103056.0,30072.0,115760.0,4.9
2007,"Congressional District 4 (110th Congress), Arizona",55919,742212,504439,889,28.1,34414.0,21410.0,126965.0,5.9
2007,"Congressional District 5 (110th Congress), Arizona",26122,682514,572332,1140,36.3,116614.0,31562.0,87661.0,5.2
2007,"Congressional District 6 (110th Congress), Arizona",26125,951648,802025,1171,34.6,109564.0,30197.0,160567.0,4.7
2007,"Congressional District 7 (110th Congress), Arizona",28073,820091,502501,784,30.9,45929.0,20133.0,144203.0,8.2
2007,"Congressional District 8 (110th Congress), Arizona",25985,739946,599481,870,40.6,101487.0,26758.0,115247.0,5.4
2007,"Congressional District 1 (110th Congress), Arkansas",111976,670425,540687,532,38.3,40529.0,17970.0,171173.0,8.4
2007,"Congressional District 2 (110th Congress), Arkansas",152074,722414,545610,710,36.0,84236.0,22249.0,148381.0,6.7
2007,"Congressional District 3 (110th Congress), Arkansas",17616,782997,672495,668,35.3,70591.0,21122.0,166795.0,5.7
2007,"Congressional District 4 (110th Congress), Arkansas",160613,658961,467966,515,39.3,44373.0,18220.0,177502.0,8.4
