year,district,mortgage_cost,median_age,bach_deg_num,median_HH_income,high_school_num,unemp_rate
2009,"Congressional District 47 (111th Congress), California",1331,30.0,33942.0,19919.0,90335.0,11.4
2009,"Congressional District 48 (111th Congress), California",1901,39.4,162235.0,40694.0,70015.0,7.7
2009,"Congressional District 49 (111th Congress), California",1525,32.1,76789.0,25461.0,108570.0,13.4
2009,"Congressional District 50 (111th Congress), California",1822,37.0,141630.0,34297.0,79335.0,8.0
2009,"Congressional District 51 (111th Congress), California",1231,32.6,56346.0,22232.0,101970.0,12.6
2009,"Congressional District 52 (111th Congress), California",1607,37.7,90506.0,30596.0,97301.0,9.1
2009,"Congressional District 53 (111th Congress), California",1240,31.7,105590.0,28280.0,67695.0,9.6
2009,"Congressional District 1 (111th Congress), Colorado",1004,33.3,112094.0,27048.0,93295.0,9.7
2009,"Congressional District 2 (111th Congress), Colorado",1318,34.1,120135.0,30717.0,95429.0,8.1
2009,"Congressional District 3 (111th Congress), Colorado",857,38.5,83264.0,23612.0,133301.0,8.5
2009,"Congressional District 4 (111th Congress), Colorado",1008,35.0,90568.0,23580.0,112057.0,8.3
2009,"Congressional District 5 (111th Congress), Colorado",1054,36.3,97973.0,27437.0,106503.0,8.5
2009,"Congressional District 6 (111th Congress), Colorado",1591,38.3,175724.0,39186.0,84736.0,7.3
2009,"Congressional District 7 (111th Congress), Colorado",1033,35.3,82280.0,27022.0,118486.0,9.4
2009,"Congressional District 1 (111th Congress), Connecticut",1202,39.0,85584.0,30223.0,139349.0,9.1
2009,"Congressional District 2 (111th Congress), Connecticut",1347,40.6,90238.0,31008.0,144166.0,8.2
2009,"Congressional District 3 (111th Congress), Connecticut",1362,38.5,86020.0,31221.0,149657.0,9.2
2009,"Congressional District 4 (111th Congress), Connecticut",1851,39.3,118410.0,35062.0,101941.0,9.9
2009,"Congressional District 5 (111th Congress), Connecticut",1328,40.0,94927.0,30250.0,132662.0,9.8
2009,"Congressional District (at Large) (111th Congress), Delaware",1096,38.2,103335.0,27821.0,185594.0,8.6
2009,"Delegate District (at Large) (111th Congress), District of Columbia",1292,35.1,84646.0,34593.0,82834.0,11.1
2009,"Congressional District 1 (111th Congress), Florida",881,37.4,65154.0,22466.0,137776.0,12.0
2009,"Congressional District 2 (111th Congress), Florida",852,35.6,68694.0,21656.0,142313.0,11.6
2009,"Congressional District 3 (111th Congress), Florida",825,34.1,42045.0,17629.0,141199.0,18.9
2009,"Congressional District 4 (111th Congress), Florida",1039,36.6,92507.0,27721.0,138332.0,9.6
