year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,high_school_num,median_HH_income,unemp_rate
2005,"Congressional District 1 (109th Congress), Alabama",180257,643536,442165,615,37.3,57034.0,143509.0,20188.0,6.3
2005,"Congressional District 2 (109th Congress), Alabama",187758,629035,424567,545,37.2,51116.0,132776.0,20268.0,6.7
2005,"Congressional District 3 (109th Congress), Alabama",193818,616491,402707,532,36.6,43940.0,134542.0,18797.0,8.8
2005,"Congressional District 4 (109th Congress), Alabama",30069,634109,582022,468,38.9,34474.0,146741.0,18606.0,6.9
2005,"Congressional District 5 (109th Congress), Alabama",107583,649666,509757,593,38.6,77298.0,128359.0,22070.0,7.0
2005,"Congressional District 6 (109th Congress), Alabama",63646,679525,596136,774,37.6,97495.0,125765.0,27068.0,4.2
2005,"Congressional District 7 (109th Congress), Alabama",381199,590196,196273,571,35.3,37550.0,130291.0,16201.0,11.4
2005,"Congressional District (at Large) (109th Congress), Alaska",22103,641724,443874,976,33.9,66674.0,112102.0,26161.0,8.6
2005,"Congressional District 1 (109th Congress), Arizona",7223,674569,450112,619,36.3,50918.0,123808.0,19587.0,8.8
2005,"Congressional District 2 (109th Congress), Arizona",25123,848603,697394,921,38.6,80340.0,167075.0,25682.0,6.8
2005,"Congressional District 3 (109th Congress), Arizona",19424,654168,544038,944,36.3,85211.0,104771.0,29186.0,4.2
2005,"Congressional District 4 (109th Congress), Arizona",44527,676666,441828,747,27.6,29142.0,102778.0,20099.0,8.0
2005,"Congressional District 5 (109th Congress), Arizona",21953,676482,566335,985,34.9,112789.0,82158.0,29083.0,5.1
2005,"Congressional District 6 (109th Congress), Arizona",23043,869666,720093,1016,34.4,103139.0,135136.0,29250.0,4.5
2005,"Congressional District 7 (109th Congress), Arizona",17418,730215,436932,676,30.7,42814.0,127400.0,20044.0,9.1
2005,"Congressional District 8 (109th Congress), Arizona",22058,699470,584072,772,40.7,97194.0,105770.0,24927.0,5.3
2005,"Congressional District 1 (109th Congress), Arkansas",108653,658744,534459,504,37.8,41012.0,166285.0,17111.0,7.7
2005,"Congressional District 2 (109th Congress), Arkansas",135452,678284,509029,672,36.1,74322.0,146581.0,22591.0,6.1
2005,"Congressional District 3 (109th Congress), Arkansas",15984,722962,630985,598,35.4,66477.0,157963.0,20687.0,5.3
2005,"Congressional District 4 (109th Congress), Arkansas",154171,641441,460596,473,39.0,41258.0,161024.0,17210.0,9.0
2005,"Congressional District 1 (109th Congress), California",7015,653052,524535,967,36.6,72362.0,111028.0,23614.0,6.6
2005,"Congressional District 2 (109th Congress), California",7333,687982,543345,794,36.7,61162.0,122937.0,20541.0,9.4
2005,"Congressional District 3 (109th Congress), California",36703,733436,534977,1249,35.7,96595.0,109769.0,31105.0,6.4
2005,"Congressional District 4 (109th Congress), California",6921,711823,617260,1211,39.6,101590.0,111905.0,27813.0,6.2
