year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,high_school_num,median_HH_income,unemp_rate
2015,"Congressional District 28 (114th Congress), California",21766,714897,481697,1479,39.5,162332.0,95002.0,31320.0,6.6
2015,"Congressional District 29 (114th Congress), California",28394,720532,403201,1341,33.8,71198.0,121049.0,21644.0,7.5
2015,"Congressional District 30 (114th Congress), California",33276,771108,502195,1781,38.6,151919.0,101231.0,33194.0,6.0
2015,"Congressional District 31 (114th Congress), California",80575,738482,454523,1264,32.3,62629.0,114600.0,24331.0,8.2
2015,"Congressional District 32 (114th Congress), California",13948,732927,360923,1415,36.6,69771.0,126502.0,23607.0,7.5
2015,"Congressional District 33 (114th Congress), California",26893,718273,515373,2140,40.8,183896.0,53796.0,50083.0,5.7
2015,"Congressional District 34 (114th Congress), California",34643,735150,298677,1110,34.2,87293.0,103404.0,19261.0,7.9
2015,"Congressional District 35 (114th Congress), California",45776,739819,334892,1345,31.6,49732.0,123287.0,22778.0,9.0
2015,"Congressional District 36 (114th Congress), California",36124,750645,521032,1043,39.6,63061.0,139901.0,22443.0,10.5
2015,"Congressional District 37 (114th Congress), California",171348,722781,299635,1435,35.2,113127.0,87712.0,27060.0,7.8
2015,"Congressional District 38 (114th Congress), California",28174,725433,328116,1445,36.9,74434.0,130860.0,26524.0,6.4
2015,"Congressional District 39 (114th Congress), California",12735,731324,392002,1721,39.2,138830.0,91922.0,32446.0,6.6
2015,"Congressional District 40 (114th Congress), California",34772,721037,435825,1145,30.8,30824.0,97982.0,19837.0,8.6
2015,"Congressional District 41 (114th Congress), California",69366,745630,394462,1314,30.9,49046.0,121040.0,24322.0,9.7
2015,"Congressional District 42 (114th Congress), California",40577,772860,505655,1704,35.8,77206.0,130317.0,30136.0,9.1
2015,"Congressional District 43 (114th Congress), California",168304,744444,239159,1340,34.7,81647.0,116496.0,24055.0,7.7
2015,"Congressional District 44 (114th Congress), California",107704,712204,329929,1211,32.3,42765.0,110005.0,20983.0,9.7
2015,"Congressional District 45 (114th Congress), California",17483,771550,476766,2018,39.5,176054.0,63591.0,41571.0,5.2
2015,"Congressional District 46 (114th Congress), California",14315,738410,439954,1449,31.7,57840.0,110237.0,22411.0,5.9
2015,"Congressional District 47 (114th Congress), California",50888,718339,395061,1370,37.1,97004.0,98630.0,28087.0,5.6
2015,"Congressional District 48 (114th Congress), California",9316,724082,487071,1842,42.0,148393.0,77250.0,36834.0,5.0
2015,"Congressional District 49 (114th Congress), California",18940,735828,592527,1855,37.8,130819.0,80630.0,34073.0,5.4
2015,"Congressional District 50 (114th Congress), California",18985,753486,588334,1548,36.9,90908.0,118904.0,29869.0,6.8
2015,"Congressional District 51 (114th Congress), California",44446,724812,463937,1080,32.5,44219.0,111549.0,19465.0,11.5
2015,"Congressional District 52 (114th Congress), California",22208,755498,521966,1850,36.3,168871.0,63879.0,39949.0,5.1
2015,"Congressional District 53 (114th Congress), California",72302,776583,499756,1516,35.0,125668.0,94744.0,31246.0,7.5
2015,"Congressional District 1 (114th Congress), Colorado",66926,803636,633036,1199,34.7,163525.0,97524.0,35086.0,4.9
2015,"Congressional District 2 (114th Congress), Colorado",6634,782278,711835,1340,37.3,169464.0,83817.0,32315.0,4.5
2015,"Congressional District 3 (114th Congress), Colorado",8760,737812,653349,893,39.0,103269.0,136147.0,25844.0,7.1
2015,"Congressional District 4 (114th Congress), Colorado",10060,787940,715457,1217,36.9,114603.0,121934.0,33307.0,4.7
2015,"Congressional District 5 (114th Congress), Colorado",47785,770782,623553,1120,35.3,108597.0,118834.0,29043.0,6.4
2015,"Congressional District 6 (114th Congress), Colorado",70004,796156,589936,1341,36.3,139864.0,102814.0,35922.0,4.5
2015,"Congressional District 7 (114th Congress), Colorado",14640,777970,680224,1244,36.1,109710.0,135914.0,31988.0,4.7
2015,"Congressional District 1 (114th Congress), Connecticut",110721,711436,497769,1249,41.0,106398.0,133965.0,35421.0,7.0
2015,"Congressional District 2 (114th Congress), Connecticut",29651,709647,605885,1315,41.4,97561.0,143615.0,34543.0,6.2
2015,"Congressional District 3 (114th Congress), Connecticut",95429,720493,526161,1355,39.0,97753.0,148227.0,32577.0,6.8
2015,"Congressional District 4 (114th Congress), Connecticut",95726,736742,537381,1919,39.7,132640.0,108286.0,37201.0,7.7
2015,"Congressional District 5 (114th Congress), Connecticut",49044,712568,580747,1332,41.8,101581.0,144823.0,33754.0,7.0
