year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,high_school_num,median_HH_income,unemp_rate
2017,"Congressional District 1 (115th Congress), Alabama",198799,713410,479792,796,40.0,80791.0,164976.0,25671.0,5.8
2017,"Congressional District 2 (115th Congress), Alabama",207087,673776,434984,733,38.5,66060.0,148915.0,23495.0,6.2
2017,"Congressional District 3 (115th Congress), Alabama",187176,710488,487936,655,38.1,60505.0,150380.0,24279.0,5.3
2017,"Congressional District 4 (115th Congress), Alabama",49177,685553,594163,578,40.7,50197.0,160947.0,22404.0,6.0
2017,"Congressional District 5 (115th Congress), Alabama",129234,718713,544610,754,39.5,99791.0,133786.0,27695.0,4.7
2017,"Congressional District 6 (115th Congress), Alabama",111541,700401,548436,972,39.1,111486.0,122508.0,32942.0,4.4
2017,"Congressional District 7 (115th Congress), Alabama",424453,672406,222797,701,36.3,59189.0,148470.0,19953.0,9.0
2017,"Congressional District (at Large) (115th Congress), Alaska",22107,739795,474856,1285,34.5,86444.0,133132.0,31686.0,7.6
2017,"Congressional District 1 (115th Congress), Arizona",17786,765810,509036,820,37.6,75500.0,134446.0,25001.0,8.0
2017,"Congressional District 2 (115th Congress), Arizona",28969,720429,588191,885,41.4,101259.0,100340.0,29215.0,6.9
2017,"Congressional District 3 (115th Congress), Arizona",33278,773297,541057,918,31.8,51968.0,130406.0,22762.0,7.9
2017,"Congressional District 4 (115th Congress), Arizona",12959,771214,683277,838,48.1,67941.0,173035.0,25405.0,6.2
2017,"Congressional District 5 (115th Congress), Arizona",25714,822497,694713,1271,38.0,131413.0,124694.0,35752.0,3.7
2017,"Congressional District 6 (115th Congress), Arizona",20135,783087,665644,1229,42.3,154467.0,103087.0,37671.0,4.4
2017,"Congressional District 7 (115th Congress), Arizona",87049,833654,553328,930,29.7,45994.0,137688.0,23330.0,7.0
2017,"Congressional District 8 (115th Congress), Arizona",32287,777208,642289,1145,43.1,110959.0,139106.0,32539.0,4.4
2017,"Congressional District 9 (115th Congress), Arizona",49478,769074,564882,1089,33.5,123561.0,93691.0,32110.0,4.7
2017,"Congressional District 1 (115th Congress), Arkansas",123723,722287,557968,604,39.7,53494.0,193380.0,22153.0,6.0
2017,"Congressional District 2 (115th Congress), Arkansas",175520,765193,540475,811,37.4,94553.0,155412.0,27399.0,5.0
2017,"Congressional District 3 (115th Congress), Arkansas",23473,807421,669282,760,35.5,99529.0,151807.0,26845.0,5.0
2017,"Congressional District 4 (115th Congress), Arkansas",135651,709378,525582,569,40.8,53718.0,182686.0,21694.0,6.7
2017,"Congressional District 1 (115th Congress), California",12970,718214,617412,1014,42.3,80208.0,127359.0,25735.0,5.8
2017,"Congressional District 2 (115th Congress), California",9587,717999,567892,1613,44.3,130849.0,92059.0,34686.0,5.0
2017,"Congressional District 3 (115th Congress), California",46683,750271,508019,1357,35.2,77875.0,115632.0,28930.0,5.7
2017,"Congressional District 4 (115th Congress), California",9752,748410,634393,1494,44.6,113952.0,114800.0,35026.0,4.4
2017,"Congressional District 5 (115th Congress), California",43914,732438,452155,1657,40.2,110380.0,106461.0,35050.0,4.8
2017,"Congressional District 6 (115th Congress), California",99006,764344,370267,1226,34.4,91235.0,125112.0,28793.0,7.7
2017,"Congressional District 7 (115th Congress), California",50137,750860,470796,1458,38.7,115002.0,106920.0,34593.0,5.6
2017,"Congressional District 8 (115th Congress), California",49699,721449,552585,1096,34.2,47299.0,135135.0,24300.0,9.7
2017,"Congressional District 9 (115th Congress), California",69130,774266,406224,1380,35.0,73590.0,134410.0,29778.0,7.0
2017,"Congressional District 10 (115th Congress), California",25902,758005,561987,1272,34.6,59643.0,145722.0,29048.0,7.0
2017,"Congressional District 11 (115th Congress), California",60493,764135,454724,1918,39.7,147607.0,85337.0,38250.0,5.2
2017,"Congressional District 12 (115th Congress), California",41427,774736,369755,1982,38.2,224026.0,69525.0,51763.0,3.6
2017,"Congressional District 13 (115th Congress), California",128064,766731,317337,1696,36.8,148009.0,79580.0,36533.0,5.9
2017,"Congressional District 14 (115th Congress), California",22042,756389,320344,2343,39.4,156745.0,82959.0,42334.0,3.8
2017,"Congressional District 15 (115th Congress), California",44801,785387,331442,2240,38.5,152333.0,106621.0,47068.0,3.3
2017,"Congressional District 16 (115th Congress), California",37218,729788,423863,974,30.8,37895.0,104195.0,20641.0,11.3
2017,"Congressional District 17 (115th Congress), California",23236,771078,213102,2399,36.8,156445.0,86440.0,50340.0,3.8
2017,"Congressional District 18 (115th Congress), California",12740,742728,464984,2523,39.8,160229.0,54469.0,55951.0,3.7
2017,"Congressional District 19 (115th Congress), California",19473,770105,329817,2203,36.7,118794.0,99462.0,36408.0,4.7
2017,"Congressional District 20 (115th Congress), California",14738,744295,430748,1633,34.9,79630.0,95993.0,28588.0,6.1
2017,"Congressional District 21 (115th Congress), California",25784,723549,518307,921,30.0,26453.0,118619.0,20357.0,9.2
2017,"Congressional District 22 (115th Congress), California",27851,760328,540781,1129,32.2,76592.0,105019.0,27353.0,7.2
2017,"Congressional District 23 (115th Congress), California",44295,745328,560589,1114,34.5,62950.0,130765.0,26560.0,9.0
2017,"Congressional District 24 (115th Congress), California",13378,740039,596837,1570,36.0,97223.0,87611.0,30416.0,5.0
