year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,high_school_num,median_HH_income,unemp_rate
2013,"Congressional District 1 (113th Congress), Alabama",194215,695176,470677,752,38.5,72934.0,151709.0,22002.0,11.3
2013,"Congressional District 2 (113th Congress), Alabama",216113,690074,445267,672,37.9,57610.0,151310.0,22185.0,9.5
2013,"Congressional District 3 (113th Congress), Alabama",178428,697761,485491,664,37.4,55675.0,149501.0,22077.0,10.0
2013,"Congressional District 4 (113th Congress), Alabama",49936,685175,607896,585,40.3,46061.0,157292.0,20421.0,9.5
2013,"Congressional District 5 (113th Congress), Alabama",121651,701220,540055,728,38.7,90232.0,128814.0,25516.0,9.1
2013,"Congressional District 6 (113th Congress), Alabama",104159,697436,555776,931,38.7,101090.0,123833.0,30209.0,5.7
2013,"Congressional District 7 (113th Congress), Alabama",419600,666880,225316,671,35.7,52414.0,138675.0,17908.0,12.7
2013,"Congressional District (at Large) (113th Congress), Alaska",25077,735132,487762,1201,33.1,84038.0,129029.0,31103.0,8.7
2013,"Congressional District 1 (113th Congress), Arizona",15508,723969,479847,801,36.5,64852.0,123666.0,23103.0,12.0
2013,"Congressional District 2 (113th Congress), Arizona",29446,717970,572388,836,40.2,91298.0,103862.0,24514.0,9.2
2013,"Congressional District 3 (113th Congress), Arizona",34069,722963,549555,825,31.7,41668.0,123551.0,20501.0,12.3
2013,"Congressional District 4 (113th Congress), Arizona",14790,732689,648799,779,46.1,56904.0,168408.0,22320.0,10.7
2013,"Congressional District 5 (113th Congress), Arizona",23161,759102,647918,1129,37.3,110765.0,104988.0,31878.0,5.8
2013,"Congressional District 6 (113th Congress), Arizona",22729,737884,635220,1091,41.2,136977.0,104098.0,32197.0,6.9
2013,"Congressional District 7 (113th Congress), Arizona",73411,749222,496677,823,28.4,37990.0,115286.0,19358.0,11.8
2013,"Congressional District 8 (113th Congress), Arizona",27030,741374,640410,1031,42.0,94723.0,138699.0,29907.0,6.1
2013,"Congressional District 9 (113th Congress), Arizona",37829,741451,562652,944,32.9,106805.0,96591.0,26946.0,7.2
2013,"Congressional District 1 (113th Congress), Arkansas",131617,729971,573842,587,39.3,51794.0,188951.0,19625.0,10.0
2013,"Congressional District 2 (113th Congress), Arkansas",163794,751463,546937,764,36.4,84551.0,157620.0,24400.0,7.0
2013,"Congressional District 3 (113th Congress), Arkansas",25575,757765,645079,703,34.9,76110.0,152955.0,22485.0,6.3
2013,"Congressional District 4 (113th Congress), Arkansas",142942,720174,539868,558,40.7,50300.0,192288.0,19685.0,9.5
2013,"Congressional District 1 (113th Congress), California",10138,707992,612506,945,42.4,71974.0,121412.0,21947.0,10.2
2013,"Congressional District 2 (113th Congress), California",10379,713816,572803,1377,43.1,119850.0,95979.0,30012.0,8.7
2013,"Congressional District 3 (113th Congress), California",46842,714407,465608,1204,34.4,66547.0,107737.0,24892.0,11.5
