year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,median_HH_income,high_school_num,unemp_rate
2012,"Congressional District 1 (113th Congress), Alabama",192099,693136,470105,765,38.7,67218.0,22195.0,154868.0,11.6
2012,"Congressional District 2 (113th Congress), Alabama",204416,683565,451176,683,37.8,64206.0,21499.0,151411.0,9.1
2012,"Congressional District 3 (113th Congress), Alabama",180938,696249,489433,676,37.3,55839.0,20905.0,147007.0,10.3
2012,"Congressional District 4 (113th Congress), Alabama",49544,680966,598955,566,40.6,44156.0,20189.0,159138.0,9.4
2012,"Congressional District 5 (113th Congress), Alabama",120106,696690,536553,721,38.9,90959.0,25089.0,129821.0,9.8
2012,"Congressional District 6 (113th Congress), Alabama",97358,688675,553061,909,38.6,97049.0,29386.0,115167.0,5.9
2012,"Congressional District 7 (113th Congress), Alabama",431703,682742,234088,664,35.5,52610.0,16806.0,146131.0,14.3
2012,"Congressional District (at Large) (113th Congress), Alaska",26207,731449,486551,1239,33.8,79559.0,29932.0,130277.0,7.8
2012,"Congressional District 1 (113th Congress), Arizona",18034,722706,466617,764,36.3,66498.0,22805.0,121709.0,12.2
2012,"Congressional District 2 (113th Congress), Arizona",35582,727099,587594,844,40.6,93730.0,24279.0,103725.0,9.1
2012,"Congressional District 3 (113th Congress), Arizona",34677,719765,524877,865,30.1,43200.0,20625.0,111602.0,12.6
2012,"Congressional District 4 (113th Congress), Arizona",12306,720881,630472,772,45.7,62220.0,21930.0,153470.0,13.0
2012,"Congressional District 5 (113th Congress), Arizona",19999,737326,635666,1155,37.8,106482.0,31081.0,114368.0,6.4
2012,"Congressional District 6 (113th Congress), Arizona",20348,722561,621351,1124,40.8,129456.0,32128.0,95919.0,7.6
2012,"Congressional District 7 (113th Congress), Arizona",71618,735599,506305,824,29.0,38614.0,19870.0,111714.0,12.6
2012,"Congressional District 8 (113th Congress), Arizona",35983,730846,624989,1064,40.5,89578.0,30061.0,127774.0,7.6
2012,"Congressional District 9 (113th Congress), Arizona",37796,736472,566328,964,32.7,105980.0,26973.0,97889.0,9.0
2012,"Congressional District 1 (113th Congress), Arkansas",131412,729169,573558,577,39.4,49657.0,19842.0,191671.0,10.0
2012,"Congressional District 2 (113th Congress), Arkansas",166322,747332,552404,748,36.4,91033.0,24849.0,157210.0,7.9
2012,"Congressional District 3 (113th Congress), Arkansas",21077,754704,646773,709,35.0,74941.0,22754.0,156144.0,6.7
2012,"Congressional District 4 (113th Congress), Arkansas",143371,717926,535216,547,40.5,53510.0,19677.0,180924.0,9.4
2012,"Congressional District 1 (113th Congress), California",10214,711354,620859,954,42.3,72588.0,21675.0,120571.0,14.0
2012,"Congressional District 2 (113th Congress), California",12669,704148,566582,1372,43.0,114728.0,28228.0,96575.0,8.7
2012,"Congressional District 3 (113th Congress), California",36044,712075,468948,1197,34.6,66942.0,24563.0,104926.0,12.4
2012,"Congressional District 4 (113th Congress), California",8207,704230,600122,1352,43.7,102786.0,28721.0,109646.0,12.9
2012,"Congressional District 5 (113th Congress), California",45800,715809,488255,1396,39.7,96637.0,27772.0,103324.0,11.7
2012,"Congressional District 6 (113th Congress), California",94114,714536,382125,1079,33.4,76984.0,23277.0,104952.0,14.7
2012,"Congressional District 7 (113th Congress), California",52755,719962,465443,1333,36.9,100380.0,29336.0,102224.0,13.6
2012,"Congressional District 8 (113th Congress), California",72530,708578,510793,1012,33.6,38526.0,21509.0,128402.0,16.0
2012,"Congressional District 9 (113th Congress), California",61538,724666,404615,1236,33.5,63050.0,23738.0,108445.0,15.7
2012,"Congressional District 10 (113th Congress), California",22855,713348,526630,1179,34.0,50852.0,22605.0,128533.0,15.9
2012,"Congressional District 11 (113th Congress), California",68058,726253,469187,1543,39.0,124625.0,32522.0,86698.0,8.9
2012,"Congressional District 12 (113th Congress), California",41938,717042,371702,1628,38.3,192228.0,37049.0,70406.0,7.4
2012,"Congressional District 13 (113th Congress), California",129044,719569,331694,1331,36.6,125059.0,30779.0,78408.0,11.0
2012,"Congressional District 14 (113th Congress), California",23594,725771,361692,1820,39.8,134542.0,33962.0,91973.0,8.4
2012,"Congressional District 15 (113th Congress), California",50619,732515,365847,1786,37.5,131126.0,38113.0,96768.0,9.0
2012,"Congressional District 16 (113th Congress), California",45580,716746,385426,898,29.4,33044.0,17615.0,104356.0,16.7
2012,"Congressional District 17 (113th Congress), California",21374,719276,242214,1827,36.4,138501.0,41791.0,73774.0,8.1
2012,"Congressional District 18 (113th Congress), California",13795,736397,502414,1911,39.4,150478.0,46091.0,60910.0,6.3
2012,"Congressional District 19 (113th Congress), California",21023,712983,358326,1772,35.1,96597.0,29265.0,85250.0,10.6
2012,"Congressional District 20 (113th Congress), California",15330,721890,555539,1436,33.5,77604.0,23570.0,83719.0,9.6
2012,"Congressional District 21 (113th Congress), California",31234,712866,471144,838,28.5,22660.0,16279.0,98621.0,17.6
2012,"Congressional District 22 (113th Congress), California",22320,717545,517179,1081,31.4,68092.0,22600.0,99661.0,13.3
2012,"Congressional District 23 (113th Congress), California",40268,713959,533668,1051,33.6,54202.0,23652.0,110665.0,11.6
2012,"Congressional District 24 (113th Congress), California",14570,716974,559594,1385,35.6,87726.0,25434.0,88904.0,8.4
2012,"Congressional District 25 (113th Congress), California",48819,717685,464699,1609,34.7,83698.0,30396.0,94530.0,10.3
2012,"Congressional District 26 (113th Congress), California",15038,711999,554789,1654,36.3,91669.0,26851.0,81712.0,10.1
2012,"Congressional District 27 (113th Congress), California",32054,710190,316863,1445,41.1,126273.0,29020.0,93957.0,9.5
2012,"Congressional District 28 (113th Congress), California",21127,727828,495526,1372,38.4,149899.0,26606.0,90174.0,11.5
2012,"Congressional District 29 (113th Congress), California",30912,722810,449952,1280,32.6,69915.0,20664.0,111463.0,13.5
2012,"Congressional District 30 (113th Congress), California",34092,729053,491626,1670,39.0,144498.0,31104.0,93482.0,10.6
2012,"Congressional District 31 (113th Congress), California",71489,724413,437402,1243,31.5,61526.0,23062.0,99114.0,13.1
2012,"Congressional District 32 (113th Congress), California",20268,718635,369434,1396,34.4,61398.0,21900.0,121935.0,12.8
2012,"Congressional District 33 (113th Congress), California",19900,701029,535436,2007,41.4,178317.0,46847.0,52649.0,8.6
2012,"Congressional District 34 (113th Congress), California",29467,708100,240547,1016,34.0,75745.0,17107.0,98476.0,13.8
2012,"Congressional District 35 (113th Congress), California",48727,718067,410225,1307,30.6,46380.0,21157.0,113071.0,13.0
2012,"Congressional District 36 (113th Congress), California",32498,714975,462849,1033,39.1,59102.0,21566.0,118771.0,17.0
2012,"Congressional District 37 (113th Congress), California",186577,716299,280913,1342,35.4,109107.0,24052.0,85912.0,11.6
2012,"Congressional District 38 (113th Congress), California",32114,715745,400795,1384,35.8,67681.0,24809.0,116071.0,9.4
2012,"Congressional District 39 (113th Congress), California",13116,718996,390410,1662,38.0,124851.0,30783.0,91744.0,9.7
2012,"Congressional District 40 (113th Congress), California",34008,694514,373645,1094,29.7,27614.0,17002.0,91668.0,13.1
2012,"Congressional District 41 (113th Congress), California",67596,726487,431902,1238,30.1,44888.0,21472.0,107605.0,15.6
2012,"Congressional District 42 (113th Congress), California",38725,745833,532828,1692,34.1,70768.0,28831.0,116246.0,12.5
2012,"Congressional District 43 (113th Congress), California",167064,697985,255509,1251,33.9,74048.0,23552.0,102987.0,11.7
2012,"Congressional District 44 (113th Congress), California",108941,714989,298270,1189,29.8,36017.0,18932.0,106573.0,15.2
2012,"Congressional District 45 (113th Congress), California",12063,724219,465988,1985,38.5,153302.0,40654.0,62717.0,7.1
2012,"Congressional District 46 (113th Congress), California",11873,717993,432443,1380,30.6,50862.0,21045.0,102494.0,10.5
2012,"Congressional District 47 (113th Congress), California",53021,722624,405090,1306,36.5,94649.0,25126.0,88576.0,10.4
2012,"Congressional District 48 (113th Congress), California",7515,717809,494190,1730,40.3,142737.0,35344.0,80631.0,8.6
2012,"Congressional District 49 (113th Congress), California",17398,714647,549135,1746,36.8,114357.0,30759.0,76842.0,7.5
2012,"Congressional District 50 (113th Congress), California",19694,721337,581165,1409,36.5,80948.0,26801.0,102016.0,9.7
2012,"Congressional District 51 (113th Congress), California",51201,738513,481102,1037,30.8,38800.0,19001.0,110182.0,16.3
