0,1
1,x0
2,x1
3,x2
4,x3
5,x4
6,x5
7,x6
8,x7
9,x8
10,x9
11,x10
12,x11
13,x12
14,x13
15,x14
16,x15
17,x16
18,x17
19,x0^2
20,x0 x1
21,x0 x2
22,x0 x3
23,x0 x4
24,x0 x5
25,x0 x6
26,x0 x7
27,x0 x8
28,x0 x9
29,x0 x10
30,x0 x11
31,x0 x12
32,x0 x13
33,x0 x14
34,x0 x15
35,x0 x16
36,x0 x17
37,x1^2
38,x1 x2
39,x1 x3
40,x1 x4
41,x1 x5
42,x1 x6
43,x1 x7
44,x1 x8
45,x1 x9
46,x1 x10
47,x1 x11
48,x1 x12
49,x1 x13
50,x1 x14
51,x1 x15
52,x1 x16
53,x1 x17
54,x2^2
55,x2 x3
56,x2 x4
57,x2 x5
58,x2 x6
59,x2 x7
60,x2 x8
61,x2 x9
62,x2 x10
63,x2 x11
64,x2 x12
65,x2 x13
66,x2 x14
67,x2 x15
68,x2 x16
69,x2 x17
70,x3^2
71,x3 x4
72,x3 x5
73,x3 x6
74,x3 x7
75,x3 x8
76,x3 x9
77,x3 x10
78,x3 x11
79,x3 x12
80,x3 x13
81,x3 x14
82,x3 x15
83,x3 x16
84,x3 x17
85,x4^2
86,x4 x5
87,x4 x6
88,x4 x7
89,x4 x8
90,x4 x9
91,x4 x10
92,x4 x11
93,x4 x12
94,x4 x13
95,x4 x14
96,x4 x15
97,x4 x16
98,x4 x17
99,x5^2
100,x5 x6
101,x5 x7
102,x5 x8
103,x5 x9
104,x5 x10
105,x5 x11
106,x5 x12
107,x5 x13
108,x5 x14
109,x5 x15
110,x5 x16
111,x5 x17
112,x6^2
113,x6 x7
114,x6 x8
115,x6 x9
116,x6 x10
117,x6 x11
118,x6 x12
119,x6 x13
120,x6 x14
121,x6 x15
122,x6 x16
123,x6 x17
124,x7^2
125,x7 x8
126,x7 x9
127,x7 x10
128,x7 x11
129,x7 x12
130,x7 x13
131,x7 x14
132,x7 x15
133,x7 x16
134,x7 x17
135,x8^2
136,x8 x9
137,x8 x10
138,x8 x11
139,x8 x12
140,x8 x13
141,x8 x14
142,x8 x15
143,x8 x16
144,x8 x17
145,x9^2
146,x9 x10
147,x9 x11
148,x9 x12
149,x9 x13
150,x9 x14
151,x9 x15
152,x9 x16
153,x9 x17
154,x10^2
155,x10 x11
156,x10 x12
157,x10 x13
158,x10 x14
159,x10 x15
160,x10 x16
161,x10 x17
162,x11^2
163,x11 x12
164,x11 x13
165,x11 x14
166,x11 x15
167,x11 x16
168,x11 x17
169,x12^2
170,x12 x13
171,x12 x14
172,x12 x15
173,x12 x16
174,x12 x17
175,x13^2
176,x13 x14
177,x13 x15
178,x13 x16
179,x13 x17
180,x14^2
181,x14 x15
182,x14 x16
183,x14 x17
184,x15^2
185,x15 x16
186,x15 x17
187,x16^2
188,x16 x17
189,x17^2
190,x0^3
191,x0^2 x1
192,x0^2 x2
193,x0^2 x3
194,x0^2 x4
195,x0^2 x5
196,x0^2 x6
197,x0^2 x7
198,x0^2 x8
199,x0^2 x9
200,x0^2 x10
201,x0^2 x11
202,x0^2 x12
203,x0^2 x13
204,x0^2 x14
205,x0^2 x15
206,x0^2 x16
207,x0^2 x17
208,x0 x1^2
209,x0 x1 x2
210,x0 x1 x3
211,x0 x1 x4
212,x0 x1 x5
213,x0 x1 x6
214,x0 x1 x7
215,x0 x1 x8
216,x0 x1 x9
217,x0 x1 x10
218,x0 x1 x11
219,x0 x1 x12
220,x0 x1 x13
221,x0 x1 x14
222,x0 x1 x15
223,x0 x1 x16
224,x0 x1 x17
225,x0 x2^2
226,x0 x2 x3
227,x0 x2 x4
228,x0 x2 x5
229,x0 x2 x6
230,x0 x2 x7
231,x0 x2 x8
232,x0 x2 x9
233,x0 x2 x10
234,x0 x2 x11
235,x0 x2 x12
236,x0 x2 x13
237,x0 x2 x14
